Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,1283797,-91953,549783,-105,449228,-100660,2
2022,1981788,76299,700345,3141,688497,-8707,2
2021,815352,6970,659908,4867,570035,-85006,0
2020,680639,-17563,480935,1292,387667,-91976,0
2019,775422,-28621,430963,2280,354270,-74413,0
2018,805322,-24940,284951,0,239159,-45792,0
2017,892780,-11210,314209,0,293357,-20852,0
2016,441347,-60188,127442,0,117800,-9642,0
2015,364567,-31626,114898,0,165444,50546,1
2014,853436,-69829,164869,9117,237923,82171,1
2013,3255281,9561,1131679,19568,1264112,152001,1
2012,3409557,4894,1042234,30019,1154654,142439,1
2011,2644217,36926,550113,40470,647188,137545,1
2010,1627371,21022,751874,0,852493,100619,1
2009,316032,7046,117745,0,197342,79597,1
2008,10311,-37449,304571,0,377122,72551,1
2023,3805449,552739,991168,1801781,1212417,2023030,19
2022,4713872,799385,1418163,1059867,2331157,1972861,19
2021,3960430,770397,383922,850728,1732920,2199726,19
2020,1919936,147099,280309,732619,977018,1429328,18
2019,2341710,7329,331089,740972,961011,1379816,18
2018,2737232,209994,320971,691900,1073578,1444507,19
2017,3199414,370400,247649,651558,1059082,1462991,19
2016,2964777,426062,269277,581144,1334631,1647331,21
2015,3359491,370669,882514,503528,2074663,1689946,0
2014,3388652,409041,502898,421029,1642961,1547275,20
2013,3673615,239393,190820,449251,1020503,1260937,0
2012,3656905,125227,159198,580456,947628,1340658,20
2011,3750722,163755,169727,608086,894905,1298764,20
2010,3397369,85801,135931,562498,828790,1220810,19
2009,2107826,115052,99225,727390,676006,1257125,16
2008,4244611,200247,121488,774054,743616,1342320,19
2007,4023155,259823,268366,435919,752531,920084,16
2006,2779612,274846,247619,281516,718364,752261,12
2005,1830666,85361,361814,340774,495827,477415,10
2023,338804283,302833,28789819,16479691,65848547,54168550,204
2022,469937663,3170147,37704753,17007100,76556725,55865717,201
2021,392460357,9766445,33430752,17805582,72526343,56908947,203
2020,245557829,3236967,2791039,18680660,33322537,49196338,209
2019,230852715,1316777,4911306,19624630,31261205,45959370,200
2018,230826609,3896423,3206325,22192658,28641264,47618914,169
2017,186246502,4578202,4504880,23473431,24783593,43722491,122
2016,130233144,2604539,8764476,25638658,22333998,39144289,119
2015,125500646,1691059,5394292,27445805,16143059,38132073,115
2014,128505908,1662000,4110200,24457758,16117344,36441014,112
2013,117799778,974150,2865426,26251297,12065868,35456161,109
2012,137713980,1033155,8579394,28191340,15824772,35453478,103
2011,93986039,1078217,7819344,30271402,12265266,34737009,98
2010,59976212,2139366,8894798,32148625,10152844,33416308,93
2009,30348067,-2727471,12103854,33006987,10407842,31276871,151
2008,79886349,2820580,13085188,34664065,12390615,34007926,229
2007,138264562,2632062,18587117,24452590,23306215,29171688,196
2006,165566576,10927868,33321720,4577973,42159357,13284298,174
2005,90366838,1187950,18931758,2235095,19277891,2374380,119
2023,94624166,-6501115,48172641,33718393,37401431,22872864,48
2022,243537038,4088698,87447464,35419950,83462078,29373979,129
2021,214268824,8637176,92572302,36396906,85582121,25285280,160
2020,50274840,1455641,59420355,34627683,42647118,16648104,171
2019,68627864,-3103129,74726314,33209881,56365228,15192463,240
2018,59447840,-628080,49555876,30195816,37528771,18295592,255
2017,63710658,5678091,50594459,29348532,40165387,18923672,293
2016,55103709,2373742,47924121,26159511,35066964,13245581,307
2015,61426292,-941623,47673887,26453740,32353275,10871839,320
2014,65784506,259991,55289382,25575536,41629874,11813463,371
2013,67692665,3921540,41525630,24799629,28305971,11553472,360
2012,68014308,4244563,49414427,22086967,34989981,7631932,359
2011,59642954,56252,52799055,20404703,35337042,3019966,325
2010,44335700,-1796971,47140152,13132584,33175156,-785570,232
2009,32100688,-6175391,37466340,14918780,23560533,1011401,223
2008,46877181,-3041723,39231717,14635762,31297618,6700091,276
2007,41043063,-393256,28039588,15013612,22767790,9741814,323
2006,33816016,2568316,22995689,14946411,14491550,10135070,317
2005,30342082,-3068433,22672941,15565473,14158180,7566754,389
2023,55745466,7316829,10663539,14510355,29575211,32996852,68
2022,59596177,8040501,12476357,14648981,25816615,27584611,74
2021,51373982,3728842,6401423,14863136,18968183,26948552,80
2020,39937427,5671180,3956200,14374669,16080494,25974625,74
2019,40160782,4751050,6340193,13163967,16318825,22588799,78
2018,38335199,3106877,5982096,11192833,14217957,18681476,76
2017,35315374,3182412,6807506,12476578,11620166,16618877,70
2016,32153708,3736988,7453800,12339018,10092671,14225365,68
2015,27954718,2162685,6396613,10042782,9901180,12708641,60
2014,22078463,837282,7283618,8927878,9970234,11645367,53
2013,18506122,388057,6109779,9206074,8346136,11452678,40
2012,18681403,90816,5371465,9547000,7488099,11658175,35
2011,20342835,707480,4397712,10228557,6251618,12061297,45
2010,19277778,1157811,6158981,10743199,8127422,12675024,60
2009,15206018,1251826,5375905,11045709,7329945,12948773,54
2008,20431996,2132200,6696491,11547848,8289380,13104240,68
2007,17217379,1990898,6027753,9455700,8070549,11498496,65
2006,17348698,1924104,6482634,9282550,6664457,9555991,64
2005,11848343,422202,7957195,9028160,6920064,7923225,63
2023,812040749,-189960066,700622808,740103285,426782858,464312797,808
2022,740249196,-35097380,521291882,507397301,467716550,450666904,832
2021,577814263,3849973,321742182,197269173,251860451,123551090,327
2020,292076645,-33195006,239676516,179413381,174921767,109456026,268
2019,367303471,-22286088,179196032,187949225,135754600,137596947,257
2018,437253606,19650333,228448478,187248408,212193817,159745988,249
2017,322295962,-1567431,242593558,182608281,210433328,140968097,231
2016,256212261,-29927431,157710498,181563643,113768619,121488724,225
2015,332568759,-10817107,276956524,211849301,222580731,140225707,230
2014,279959244,-12820722,215893630,209802044,176812568,151899498,203
