Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,5634649,1093661,897787,1532656,3130288,3469047,17
2022,5001856,585779,822941,1358808,2301859,2375386,0
2021,4175730,628858,566701,1564106,2051444,2452261,20
2020,3528444,465648,684494,1694748,2003976,2269101,17
2019,3165044,524135,460276,2022020,1563220,2236249,16
2018,3086418,662654,283764,1811426,1412609,2095464,16
2017,2544958,469156,270220,461035,1302654,1495246,15
2016,2255116,432796,410083,375469,1060505,1026091,15
2015,2190581,383350,353419,408945,655209,711374,14
2014,1692475,62437,384938,414673,362714,394929,15
2013,1744102,118079,372976,282519,415148,332492,14
2012,1692939,66905,382560,408077,286117,325159,15
2011,1537219,86410,449909,398928,307058,274506,14
2010,1210146,16744,361640,269577,270799,181019,13
2009,1014032,3644,682606,312693,532847,164483,13
2008,943100,1449,674956,299307,393263,20839,13
2007,1122998,1343,654262,252817,420834,19389,12
2006,806570,8232,310967,25011,304001,18045,10
2005,641198,2306,248013,3342,254484,9813,8
2023,6961518,28671,4462461,3429767,2851692,518980,49
2022,8727450,-376885,4152978,3746722,2566156,490309,43
2021,8169991,255789,4019809,3311804,3361961,867194,42
2020,7908029,172387,2877406,621227,3088563,833292,42
2019,6403371,91064,2294909,333678,2621055,660906,64
2018,5380493,96150,1988822,403805,2154858,569841,63
2017,4761324,145168,1341730,386466,1428955,473691,76
2016,4594516,144853,1018645,285000,1070538,336893,85
2015,12982681,134566,691578,518631,1064987,892040,72
2014,3347858,157959,1373128,221100,4252823,752385,76
2013,2974419,155173,784071,244720,1133777,594426,83
2012,3140933,7559,817913,279489,977677,439253,84
2011,2776950,132613,808538,350533,889699,431694,82
2010,2333645,98598,457959,265984,525856,333881,80
2009,2369015,179028,526111,340831,420563,235283,82
2008,1784412,35067,494661,234486,316430,56255,85
2007,2847,1188,73895,70888,4395,1388,0
2023,6643609,480644,385773,11335037,6408283,17366729,26
2022,6930509,929157,232120,10537810,7490514,17805622,28
2021,6476283,269261,309807,9927378,7454279,17081966,34
2020,7797464,928508,222116,10853334,6843938,17484005,37
2019,7147205,832171,246638,11148434,6331864,17240497,41
2018,7652649,1165601,301374,12104521,5556618,17367326,44
2017,8103445,928704,215725,12545770,4614830,16955224,45
2016,8342408,1236703,267666,12734261,4508000,16985520,49
2015,8611822,1758321,298197,12729913,4128798,16570817,57
2014,9099490,2094598,255023,10610466,5365840,15742139,63
2013,9027204,995626,412759,11392960,6212943,17386841,64
2012,9367654,1845586,575686,12170080,4732395,16778566,65
2011,8904847,1585862,472577,7808340,5305722,12687312,64
2010,7985450,267910,306955,7973246,3616266,11335656,66
2009,6605908,188662,1465538,8451149,4283340,11238908,71
2008,8234372,771565,1696183,7837817,4719445,10801702,86
2007,8329495,895141,779347,6148655,4660829,10030137,113
2006,9460180,998935,1117391,6017182,4552618,9444876,131
2005,9170858,454456,1177484,4855924,4297673,7977702,148
2023,5444313,233345,883474,1171190,3400624,3687365,27
2022,5633983,362233,1206199,1211311,3572673,3575510,24
