Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,23295,-2670,981,0,32001,31020,0
2022,15620,6516,330,0,34019,33689,0
2021,7680,6045,-5,0,27168,27173,0
2020,10921,-413,14968,0,36095,21127,0
2019,19065,15476,3702,0,25242,21540,0
2018,9022,5896,271,0,6335,6064,0
2017,0,-32,50,0,18,-32,0
2023,12527371,1480233,2196025,2527832,6965299,7333359,38
2022,11291407,2522919,2691911,1481462,7479075,6253126,31
2021,9643593,2342131,1991174,1572883,6043072,5630207,28
2020,8017040,1717283,1747791,1647969,4219361,4138786,28
2019,7537209,871810,1451078,1726167,2991673,3308347,42
2018,7779274,1021540,1977050,1876057,3126807,2940255,43
2017,6667388,1092588,2141824,1268130,2972056,1918715,36
2016,5811630,869535,2447903,1190350,2150631,900254,39
2015,6019442,1298708,527122,959678,3371524,3808719,39
2014,4665713,1012102,730235,1020924,2348063,2644012,36
2013,3994889,586585,705753,883330,1696890,1881909,38
2012,4179650,479733,795722,973838,1312463,1495324,34
2011,3288087,830486,1002354,951078,1260602,1215591,33
2010,1381680,104069,227545,105398,497128,385105,23
2009,907325,139827,135521,81667,327949,281036,16
2008,652448,136107,142373,51791,161146,141208,13
2007,272597,-21619,87710,48571,48229,9090,8
2006,102667,23860,36958,42680,24570,30710,2
2005,45210,9674,6759,2038,11571,6850,1
2023,1604544,1170049,109295,2468,3893629,3786969,3
2022,1533388,919695,112569,59373,2999918,2946820,4
2021,1499634,751615,93072,161868,2416330,2485126,4
2020,1572864,817400,159918,269522,1718907,1828511,4
2019,1512468,820671,182208,390318,873001,1081111,4
2018,1419142,765960,76446,45645,797001,766200,6
2017,1392436,846607,109438,76825,1328981,1296368,6
2016,1200415,573203,137907,25122,1615545,1502760,6
2015,1072625,571977,129224,51965,2270816,2193557,6
2014,1201868,711680,102861,63619,1660822,1621580,6
2013,962450,483011,66704,71325,917185,921806,5
2012,726842,339776,98506,78267,536868,516629,5
2011,236727,122590,36422,71829,141446,176853,3
2010,149669,53831,25361,53527,69670,97836,1
2009,70474,43805,7144,17151,33998,44005,1
2023,32572089,-26017,17855245,746968,16368180,-740097,99
2022,31183122,-542963,9487403,273457,9453561,-714080,90
2021,27524078,1148860,10052394,225540,9655738,-171116,92
2020,24987580,-215067,12044882,315950,10492528,-1225830,89
2019,23194637,-787934,11265650,317765,9920623,-1010764,90
2018,20752730,-1003856,13435126,213970,12998326,-222830,0
2017,19807998,1271770,10278857,185578,10865040,782225,88
2016,15302633,-1255172,7031710,207513,6325081,-489545,90
2015,10895958,1804174,4705184,164347,5281755,765627,47
2014,10628631,650697,5492426,2913201,3865227,1239389,47
2013,10117437,12216,5763528,3110255,3325577,600898,47
2012,9332025,94790,5208897,3325598,2245799,511583,43
2011,6756453,1123010,692984,222101,2207295,1539803,42
2010,6760814,1308568,651177,1511009,4324902,4966617,43
2009,7495205,1899240,544209,1404631,3975415,4702631,43
2008,6992509,1662864,646904,1409058,2640904,3362113,43
2007,5450256,821523,849904,1433099,1370062,1933215,73
2006,3758711,653776,775645,1445628,489629,1242448,60
2005,2332409,317383,591308,870076,465971,726194,35
2023,2861689,229029,285184,491427,868811,1075054,24
2022,2368072,82871,245031,485707,633142,886444,25
2021,2203121,-24357,235838,517545,563287,845573,26
2020,2079612,-44407,244626,558852,595704,909930,28
2019,2121307,2684,233791,578525,609603,954337,28
2018,2063706,11451,215111,641228,525536,951653,28
2017,1986710,62318,199665,539182,598902,940203,28
2016,1972702,9870,219354,575989,590459,951985,29
2015,2238348,164244,308040,636932,690050,1022315,29
2014,2327119,197316,457132,553493,657792,756911,30
2013,2145367,140200,512538,569027,559757,619595,29
2012,1807702,59583,476072,509700,503447,538978,26
2011,1645458,81037,569289,595593,449975,479395,0
2010,1498560,-432776,593911,527528,462889,398358,18
2009,1683756,129090,671498,1029452,471799,831135,25
