Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,115628716,18958330,36624425,95368914,71112272,129074691,102
2022,85689978,18746679,5095729,56914525,58907096,110116361,93
2021,31221513,-391762,4911609,69581554,26957339,91369682,78
2020,25818391,-17376997,4369261,34654195,62215109,91761443,86
2019,71363096,8125311,12121048,47285009,74501965,109138440,95
2018,87288676,28585041,5902037,46784543,65301367,105770329,97
2017,86631788,28432651,18057579,51164833,44523892,77185289,99
2016,68531327,52162279,31082229,57913439,22939061,48752638,96
2015,49894293,538764,91052876,72881149,18070432,-3409641,82
2014,55071136,-6730740,85769308,70379336,20340093,910713,124
2013,148864008,-26794509,78374011,71867561,21605434,7641453,259
2012,245820960,-36411096,93792713,83746233,29869047,12435962,412
2011,293249163,-36504529,69151495,92779746,45814070,54949709,0
2010,293753600,-20333051,86210578,94363610,59295088,49334238,470
2009,263878543,-39067225,53290169,97718905,60698926,69667289,490
2008,334856616,-6441475,51045369,50824612,83924592,55251080,512
2007,271507156,1401787,63162716,52695723,78202815,61692555,477
2006,258073967,2691257,54902150,51107024,74726482,60373752,427
2005,192159819,2006038,38811964,39990963,36255674,23380494,379
2023,23424433,1712923,3764342,324550,8841914,5402122,12
2022,29364838,3246344,4199112,174317,9874784,5689199,14
2021,19161059,1601211,5756090,100233,8401462,2611402,12
2020,14470043,870270,6917493,84950,9373939,2510191,12
2019,17777832,452497,4626573,94789,6216981,1639922,17
2018,18343833,-354097,4521550,128780,5681789,1187425,16
2017,14380019,309561,3532285,111391,5022032,1603049,16
2016,12189356,-74879,2078473,124738,3244499,1293488,18
2015,15823279,1014025,3263260,157582,10470600,7368367,19
2014,12196749,61569,3324918,204324,9474935,6354341,18
2013,15209824,1569442,1748199,203962,7837010,6292773,16
2012,8665932,712904,1302500,137479,5888352,4723331,13
2011,13326390,2965807,686235,149347,4547315,4010427,9
2010,7720824,1316473,1837442,81068,4117637,2361263,7
2009,3895900,334846,639396,32086,1652100,1044790,6
2007,3832955,416419,1813206,69746,2294077,550617,6
2006,1832258,38578,764742,44102,876239,159307,3
2005,314323,-59271,237750,86996,264421,120729,2
2023,855206,4977,821531,235,316996,-495358,4
2022,1147326,49049,853571,469,343893,-500335,4
2021,1917141,40936,1127820,1250,567766,-549384,5
2020,2795506,-172046,1133736,7038,527607,-590320,5
2019,836014,-415828,869901,10594,428752,-418274,6
2018,2215822,-204464,897649,15794,871036,-2446,8
2017,3940268,98632,1258443,20994,1431127,202018,9
2016,2326110,-35426,1045098,27144,1113895,103386,10
2015,3569093,348849,673027,34834,1229421,591444,9
2014,5215425,584719,1066327,38377,1657759,633094,11
2013,3261250,48135,537887,46913,1127025,636276,10
2012,4838530,979686,471394,55451,1557315,1146588,10
2011,8526810,878313,2388192,3886,3262859,878553,7
2010,8287978,2062370,1378318,5727,3433201,2062610,7
2009,7035667,916444,2411257,7342,3320599,916684,5
2008,8748307,1534557,1524786,1952,3057631,1534797,5
2007,4289740,843744,786778,417,1630345,843984,2
2006,3815318,589160,1274134,438,1863096,589400,1
2005,3840413,559007,622804,1128,1180923,559247,1
2023,131024674,3502418,21733583,6856998,24848242,11066581,178
2022,142435700,4234550,28895136,7207965,31435937,10053313,172
2021,112672331,4897110,19607991,4122865,24284691,8786642,156
2020,69484830,3338924,18978530,3126736,20900783,5367542,137
2019,54289528,1805002,12367873,3332910,11864481,3142348,135
2018,50744104,1742915,12164229,2874018,11348874,2337346,125
2017,42591142,1374272,10461196,2320133,9468052,1526371,118
2016,30928272,493443,7393721,2069145,5957243,802099,105
2015,28189718,389228,7493963,1754097,7322616,1743241,100
2014,21186559,164148,7787872,1418379,7578416,1354013,89
2013,13703388,147803,6261507,798615,6525829,1189865,86
2012,14566884,20276,6297947,1119687,6085024,1042062,96
2011,22608129,7924,7456112,1788009,6492043,1021767,102
2010,19166152,127556,8795621,1829241,7901271,1013843,99
2009,14525180,27839,6044541,1017259,5824767,886287,75
2008,17501967,4913,5624846,660399,5753425,858448,71
2007,21108966,17799,5530939,877305,5507169,853535,73
2006,19055191,188819,5611637,1494401,5058911,1024555,69
2005,21103011,31654,5204941,1061899,5081692,1035736,59
2023,1259099442,-87104586,1280824398,726116165,461398816,-462150961,"1,143"
2022,1116291444,-274607571,1417800320,835424027,459726864,-425619069,"1,182"
2021,668703530,0,1266235195,972348156,315484940,-213404499,"1,144"
2020,355310102,-439807079,1062869299,1039247008,230397156,33029521,"1,115"
2019,1354514118,-169649886,731005104,1059930839,288437051,462396779,"1,811"
2018,1195958051,-182779220,316637221,772334447,264378809,617609631,"1,773"
2017,1025234093,-172355725,243671709,799154866,348356460,799058959,"1,776"
2016,1073269470,-46966754,216838098,831907985,501588585,1015745465,"1,841"
2015,1136739193,-27426980,228781800,876648404,517116499,1062248162,"1,880"
2014,1138713562,-110161004,250769539,874789797,425095712,962975067,"1,969"
2013,1085210203,-130167730,272657863,1089493657,306797105,1032924003,"2,005"
2012,1048339557,-230617520,299123799,1025902721,391453597,1043407470,"2,173"
2011,946315772,-262224490,351655225,1158677070,442961871,1233105594,"2,286"
2010,918649548,-332530654,423909298,1269810496,662179608,1481739022,"2,368"
2009,811945430,-234723435,429205052,1246583619,990779910,1800027159,"2,486"
2008,944202571,-6313469,464700883,1179659483,1183980359,1891765033,"2,471"
2007,867401630,72689818,615595600,1273823050,1168015068,1809572741,"2,338"
2006,823189391,43261355,588339922,1348180969,902013594,1484655699,"2,333"
2005,797941139,3840539,778090187,1178643493,770901258,1083460707,"2,289"
2023,10947301,7713,681986,20379,717470,271169,8
2022,9091035,4134,437126,7561,507000,274957,8
2021,5406611,2090,336921,11236,386993,270823,8
2020,2497980,1911,205484,25299,468364,268733,8
2019,7360354,1766,360121,62089,465428,266822,8
2018,7274462,1600,223324,83559,371421,265056,7
2017,6293111,1554,165881,99500,304838,238457,7
2016,6275781,1409,190855,113695,173874,236902,7
2015,6105563,1190,186073,125031,197901,235493,7
2014,5382077,1044,155388,78103,142659,234303,7
2013,4765093,1015,92281,71449,159110,233259,0
2012,5119956,1002,96076,67737,203705,232244,8
2011,4787045,834,83834,48745,166932,231242,8
2010,4744590,-14310,106386,48745,253239,230408,8
2009,4344113,795,70182,50909,263992,244719,8
2008,4269357,1439,106344,52046,297164,243924,8
2007,4731506,136284,69805,63426,248863,242484,8
2006,4017414,177212,264915,73671,188779,200,7
2005,576769,10358,249280,50573,127696,-71011,1
2023,31370302,-7056158,18444096,27706386,18209094,29360938,33
2022,31716619,-1776082,9453259,19757530,12208507,24663746,33
2021,20874113,-4981015,9401257,23868194,60517474,74910052,33
2020,14223529,-70176930,24824171,28064628,58811545,64483246,29
2019,17319210,-7743839,9203735,143849361,12199920,147698930,30
2018,31727412,-10853870,108990138,148209653,18249485,58504638,30
2017,25201868,-7678192,93796635,151829111,10906547,69397061,31
2016,26600190,-12520633,89514492,155982429,10663462,77534976,26
2015,27255042,-12865956,81721391,159958619,11137243,90094176,26
2014,30867413,-17785120,72125486,147480622,10991434,86688120,26
2013,37992038,-15137966,82519600,170925073,17001444,104479972,28
2012,36838808,-9658124,99206002,186714522,14670858,102742922,26
2011,36483340,-25805816,99041739,195444622,15124910,111875360,25
2010,32107800,-29397777,94017540,221657278,9364970,137454445,31
2009,33245668,-26001172,34319366,194191881,7145065,167039984,34
2008,38310497,-6073165,25025265,209293340,10261349,194837272,37
2007,34796099,-1558017,18836683,208680675,12298927,201256149,33
2006,30095668,988837,14240593,209262777,7353121,202814165,22
2005,24441685,-785247,13370692,33694434,4939808,25440519,20
2023,1915864,11005,42545,712101,1127526,1993334,5
2022,4972418,30975,1162449,806834,1744331,1982328,5
2021,3490680,1445223,98250,908394,1466054,2485204,5
2020,3390229,432072,422082,41133,949469,568520,5
2019,4672383,949930,499428,189094,855247,544913,5
2018,1461820,-438664,1381623,325651,462910,-593062,5
2017,1237438,959853,1066956,504791,407767,-154398,6
2016,1055403,4250,3095435,718500,1162636,-1114251,6
2015,1768630,1208688,3284961,865946,1300514,-1118501,5
2014,2573808,408604,3903655,247248,2647305,-1009102,5
2013,1206842,-422420,1744926,261582,65638,-1417706,6
2012,553084,-449257,1622925,484862,142777,-995286,6
2011,711847,-360070,1305934,678524,81381,-546029,7
2010,795909,-386284,1398354,930035,282360,-185959,7
2009,600593,234936,2767507,461372,2506460,200325,4
2008,4058479,17650,2243071,1034175,1017423,-34611,4
2007,3091955,19368,2024005,584307,1387436,-52262,4
2006,428187,8144,2203486,620895,992375,-71630,4
2005,308677,4233,1099292,233553,134922,-79774,4
