Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,0,-1838,417,0,153291,152874,0
2022,0,-3060,33919,0,188631,154712,0
2021,0,-15763,0,0,830772,830772,1
2020,0,161116,6610,0,853144,846534,3
2019,0,135799,14676,7909,692185,685418,3
2018,0,131042,0,10039,549477,549619,3
2017,0,128684,6365,12778,412164,418577,3
2016,0,134464,3703,16128,277468,289893,3
2015,0,102401,6312,19477,243892,257057,3
2014,0,28610,7973,12363,76166,80556,3
2013,0,6348,8898,9059,51784,51945,2
2012,0,5246,10595,3738,52454,45597,2
2011,0,8329,1367,5262,36457,40352,2
2010,0,3238,2956,28193,28193,32023,2
2009,9280,236,3910,5329,2365,3784,1
2008,6745,1006,502,0,4050,3548,1
2007,5505,1642,287,0,2829,2542,1
2023,0,-69473,281477,98517,588395,438714,6
2022,0,-44968,364619,110614,748378,508187,6
2021,0,150838,287442,135720,696223,553155,6
2020,0,89633,204341,179536,420186,402317,6
2019,0,55031,386912,201658,492588,312684,6
2018,0,22955,0,215488,460447,257653,7
2017,0,26142,263418,160366,298433,234698,6
2016,0,37518,350244,31509,498235,208556,6
2015,0,4708,354662,61833,443165,171038,8
2014,0,31608,243603,71658,308773,151330,9
2013,0,44941,278983,82104,329026,119723,4
2012,0,35975,283825,94502,250350,74781,3
2011,0,13606,67497,38997,79730,38806,2
2023,0,95153,2351012,450383,2228096,332134,6
2022,0,61226,1974866,477664,1730623,236981,7
2021,0,307822,2137703,519498,2077156,460294,7
2020,0,52047,1766482,554346,1358254,152472,8
2019,0,0,1726972,589763,1525781,398709,9
2018,0,27194,0,655009,1918774,720444,9
2017,0,0,1859781,640066,1868015,693250,8
2016,0,7043,2094513,708189,2222579,894095,12
2015,0,13501,1781656,780150,1803098,887095,10
2014,4259885,43490,2064737,558435,2191128,783077,6
2013,3846813,343309,781702,47288,1570265,835851,4
2012,1787624,190753,35744,10242,519878,494376,4
2011,487809,287850,186724,0,490346,303622,1
2010,209036,-12060,54078,0,69851,15773,2
2009,45547,2833,56190,0,84023,27833,2
2023,4084,-72142,-27237,0,190231,217468,0
2022,114972,-32577,-27238,72036,190337,289611,0
2021,119787,-7066,62716,84581,300323,322188,0
2020,30481,-25072,4406,1028,332632,329254,1
2019,252170,78710,10742,3389,361679,354326,2
2018,265119,147036,8518,11197,270537,274816,0
2017,262888,68026,31378,0,159159,127781,3
2016,95297,59555,5072,5000,59827,59755,4
2023,0,3077060,13132241,5682953,16224932,6314423,54
2022,0,2812850,5354103,1659068,9421947,3237363,49
2021,0,4254101,3568497,1555355,9355585,4678614,53
2020,0,5589223,3490696,1752846,9946662,6013736,53
2019,0,3971774,3594223,1832827,9912449,4859539,51
2018,0,463252,0,1824936,8255364,4436970,50
2017,0,2566792,5665615,1802180,14595997,9526162,49
2016,0,2206801,2382844,2053195,8189512,6959370,49
2015,0,2328431,2138150,2400186,5403068,4652569,52
2014,0,-1148870,3371528,2419009,5086281,2324138,48
2012,0,2014190,3528300,2024404,4713479,2318703,35
2011,0,918241,3491173,1894631,5451207,2936811,36
2009,0,4648028,1194359,1996541,7441655,5599492,34
2007,0,3086527,1035126,591116,4592509,3301580,30
2005,0,2194251,1143033,0,0,0,0
2023,0,101891,105426,25863,366473,286910,6
2022,0,138817,105151,49812,357000,301661,6
2021,0,144195,108363,70877,504898,467412,5
2020,0,211497,115002,93692,407264,385954,5
2019,0,48987,67213,44289,367167,344243,5
2018,0,26804,31040,4968,373960,347888,5
2017,0,274,25169,6331,397817,378979,5
2016,0,72561,27830,7300,399235,378705,5
2015,0,75380,35557,225000,590322,779765,5
2014,0,53963,31544,0,610930,579386,5
2013,0,38783,31595,0,557017,525422,5
2012,0,44747,9090,0,495729,486639,4
2011,0,11744,19659,0,461551,441892,5
2010,0,40183,16761,428642,428642,430148,5
2009,0,175,62615,29231,420937,389966,5
2007,0,91336,60776,51855,368897,359976,0
2005,0,100104,11356,0,0,0,0
2023,0,1913310,319352,2369219,452066,2511087,6
2022,0,2376282,2529349,2468567,2726571,2676282,6
2021,0,1769154,1042720,2595508,644239,2210477,7
2020,0,1366323,1249524,2570605,337488,1666323,6
2019,0,879592,308225,1324829,149969,1179592,6
2018,0,630646,0,1233268,61952,930646,3
2017,0,385006,653256,1309061,15835,678127,4
2016,0,479754,539310,1098983,174756,744339,5
2015,0,166509,195112,892371,83994,781253,6
2014,0,128760,350030,858779,105995,614744,6
2013,0,90087,631858,886592,6250,260984,6
2012,0,25000,681573,840335,12135,170897,6
2011,0,7953,67870,123936,103242,159308,7
2010,0,3456,21318,101542,101542,149727,4
2009,76123,-6148,1840,7450,136677,142287,1
2008,155618,107361,2166,12850,137751,148435,1
2006,89619,33764,10668,23650,20982,33964,1
2005,45651,12805,3513,0,16518,13005,1
2023,0,-5655,138521,63757,179788,108699,2
2022,0,41222,178971,82885,209066,114354,2
2021,0,24950,65691,0,138129,73132,2
2020,0,35514,59399,0,106726,48182,2
2019,0,4348,71668,0,82655,12668,2
2018,0,-31816,0,0,152940,8319,2
2017,0,0,127454,0,166599,40135,3
2016,0,13095,187647,404,272602,86370,3
2015,0,0,344902,6755,403356,73276,4
2014,0,-176185,382576,59881,578497,264170,5
2013,0,-134235,445312,172066,688449,440355,5
2012,0,417738,594689,247870,1316932,992328,5
2011,0,1281008,1221899,300889,2791287,1889277,15
2009,0,8232796,1109004,478409,21589023,15463774,24
2007,0,4847425,6621787,675790,13976361,7940109,35
2005,0,1310540,2763950,0,0,0,0
