Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,1002838,40295,574000,277187,956290,676989,8
2022,1150760,337741,311351,299480,627596,636694,8
2021,449136,97799,228759,224030,295226,298954,4
2020,371534,27845,242424,242771,187387,201154,4
2019,441401,173069,67013,72331,244788,256999,3
2018,249544,43776,19644,32,103542,83930,3
2017,79324,39954,4748,170,44732,40154,1
2023,2451395,1774791,574099,275000,2074931,1775832,16
2022,299412,-147105,365699,275000,124350,33651,14
2021,302564,-101593,240903,275000,151114,185211,13
2020,299425,4357,233247,275000,249551,286804,13
2019,298367,793,234619,275000,246566,282447,13
2018,275993,-123,181872,275000,188526,281654,13
2017,219169,-88620,61674,275000,68451,281777,13
2016,219703,-2152,32873,275000,128270,370397,14
2015,215601,-58099,28354,275000,201543,448189,13
2014,217009,17756,21362,275000,252650,506288,8
2013,218372,73969,19011,275000,233542,488531,5
2012,200282,130720,22353,275000,162916,414563,3
2011,32435,5256,79882,275000,88725,283843,1
2010,25287,4514,7559,0,286146,278587,1
2009,60433,-31099,6280,0,280353,274073,3
2008,301728,226567,15537,0,320709,305172,2
2007,68949,36703,12537,0,91141,78604,1
2006,63942,37896,183,0,42084,41901,0
2005,10341,3805,229,0,4234,4005,0
2023,2236423,103918,3887058,498457,698928,-2761133,13
2022,2006477,89423,3988413,561140,638534,-2865050,14
2021,1948482,274704,4246852,749690,621731,-2954473,14
2020,1288174,-104244,4414541,859989,407508,-3229177,12
2019,1207007,146614,4006393,578556,387635,-3124933,12
2018,1011274,-282115,3705154,145242,373087,-3271547,13
2017,416744,-910786,3377910,208020,265062,-2989432,11
2016,335011,-969675,3143921,863668,286173,-2078646,10
2015,143709,-1283101,2949138,1498788,425946,-1108971,17
2014,420886,174152,2297041,2091299,379537,174131,1
2023,3028932,-3198701,3109647,5931019,439627,3260999,30
2022,10326758,157291,2622953,3872597,6364533,7738653,104
2021,9176894,58195,1201817,4462464,3942559,7474281,110
2020,8184329,236206,2536438,4086458,5491095,7434178,115
2019,6611340,70129,1597702,3524522,5044400,7505471,110
2018,5155325,-463128,2906667,1972920,7251665,6980036,100
2017,5513400,-1395519,11331446,1079822,8739933,-1511691,100
2016,5303171,257569,4249639,1213374,3829764,793499,100
2015,5199964,29037,5723743,1419524,3816508,-487711,101
2014,5278324,128606,6139220,1432531,4189941,-516748,108
2013,6368105,64125,6547756,1583526,4318876,-645354,127
2012,7236904,128163,6634405,1774618,4210279,-695249,171
2011,5746098,691657,5631939,1334499,3526618,-823411,166
2010,5968499,82103,4935409,703154,2595540,-1712548,165
2009,4984530,-621327,5113351,594218,2795627,-1794651,186
2008,3837180,-969490,2399138,207723,1728665,-448321,164
2007,3673825,-320103,1718727,214205,2025690,521168,164
2006,3651505,755977,2016294,120644,2018282,116270,164
2005,3127968,-654373,3366492,1036472,1703234,-639706,203
2023,4891633,9249,2414585,2492219,1679667,1760503,46
2022,5329382,596785,2266717,2031283,1871005,1751254,47
2021,5313556,166354,2235944,2244623,1174484,1154468,54
2020,6038057,519514,2471624,1868503,1668580,988115,55
2019,3273206,52704,2393632,1900697,1292706,674894,40
2018,3055330,153589,2467750,2064436,1198311,622190,34
2017,2641139,123516,2587796,2149505,1223490,568601,36
2016,2702358,101616,2595993,2338149,1188844,655612,39
2015,3161297,568814,3032615,2449143,1834195,885596,30
2014,1853351,148558,2346270,2225457,1083845,483458,24
2013,1496970,8340,1933182,1598631,1076556,328147,20
2012,869580,9632,1864155,1511656,711974,319807,16
2011,666677,10728,1559839,1336701,550989,310174,12
2010,433560,4747,1220955,850243,482598,102556,10
2009,212179,5252,1013385,860108,266028,120681,4
2008,188816,18072,123775,129126,17267,31429,1
2007,152125,13157,114694,4774,123277,13357,1
2023,4760562,1062839,1712428,2206203,1339503,1833278,26
2022,4216549,1408765,1501152,1829856,1146301,1475005,24
2021,2252688,424230,806277,1186239,456124,836086,23
2020,1720091,415449,484633,857502,377889,750758,20
2019,1622532,459216,352826,785422,305871,738467,18
2018,1060456,320960,346513,761224,613635,1028346,17
2017,782046,100059,331158,731627,310424,711733,18
2016,839802,104545,464484,665143,490959,691800,16
2015,878302,354065,91389,87711,590933,587255,11
2014,218069,91336,12667,18536,227321,233190,6
2013,215048,35822,482,19800,122536,141854,2
2012,201339,109637,2648,3278,105401,106031,1
2011,11303,-2217,35426,20583,11237,-3606,1
2010,9108,-34905,25496,22143,1964,-1389,2
2009,123451,-30123,30497,36866,27147,33516,3
2008,143481,15767,31074,50683,59797,79406,3
2007,101436,56163,35529,80338,55081,99890,1
2006,62966,15830,1258,23116,37699,59557,1
2005,46821,17142,1461,32064,23124,53727,2
2023,124840886,24803623,12931018,42558267,118239450,143551752,442
2022,105836902,18091436,11545472,41175683,92501078,118486832,354
2021,91283050,18997689,12277557,50647413,64927795,100395395,299
2020,77885848,16283473,9276883,51637893,41537092,81397707,298
2019,73688754,10232978,14474650,53846740,28302152,65349886,345
2018,54928089,7341816,8426839,37789778,23769927,52376217,157
2017,49107230,8763064,5721252,34502490,15750937,45034401,154
2016,45067049,6781283,4590172,33328488,8692654,36290575,123
2015,38514785,6673755,11750382,33946389,8583924,29509292,115
2014,34765095,5138507,10000683,27264009,6776185,22835537,111
2013,32365507,4298722,18669833,30661751,6754311,17697030,106
2012,31035816,3615612,16258376,24318453,6412130,13398308,102
2011,27122142,2213531,18477104,22703546,6041867,9782697,117
2010,28419350,3284883,20639566,22439138,6170859,7569165,140
2009,24193750,1992621,18733957,17507042,5712274,4284283,130
2008,16283391,-76479,15825335,12950748,5354872,2318553,105
2007,9282456,-166991,7514132,3930522,4145572,561962,83
2006,5243516,-99365,5331208,2821344,3304701,728953,54
2005,3696284,-343824,3697314,1855434,2686466,828318,36
2023,883865,305384,219868,50795,506281,337208,6
2022,628421,30049,79944,67837,164257,152150,6
2021,416792,-24277,50514,79137,93478,122101,3
2020,232337,146138,78241,0,224619,146378,3
2019,317683,166144,34455,0,348503,314048,5
2018,294127,91647,27631,0,175534,147903,7
2017,114823,56056,23680,107,79829,56256,3
