Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,116848,50378,433106,0,63140,-362188,1
2022,64917,-8440,487502,53982,13176,-412566,1
2021,22285,-45566,482413,53982,11607,-404126,2
2020,67426,-40295,419406,0,41413,-358560,1
2019,240649,170925,440856,0,95941,-318264,1
2018,155624,53587,555810,0,66621,-489189,1
2017,98602,27663,608767,0,65990,-542777,1
2016,212104,907,638152,0,67712,-570440,4
2015,283094,1716,588094,0,16747,-571347,6
2014,291761,16289,594939,0,21877,-573062,6
2013,288186,-2841,611661,0,22310,-589351,8
2012,296275,31245,608064,9647,11906,-586511,8
2011,255657,27948,637789,9647,10892,-617756,7
2010,74844,-130608,658532,9852,11369,-644629,8
2009,88195,-152005,512248,9493,9770,-492985,5
2008,86500,-177623,367296,10474,13692,-343130,5
2007,28251,-163221,187122,9395,12304,-165423,4
2023,167100,80139,190610,212869,483420,505679,1
2022,144150,65703,214744,224104,416180,425540,1
2021,136000,46299,232994,236496,356913,359836,1
2020,124950,45998,251227,249069,317410,313537,1
2019,155750,83648,250640,262209,258591,267540,1
2018,177750,96126,300205,271369,212318,183892,1
2017,157068,57384,296296,283611,100183,87766,1
2016,199730,65763,321591,296100,61962,30382,7
2015,219668,-7425,342338,286474,21980,-35381,7
2014,178818,-40361,332304,272243,38956,-27956,7
2013,116202,-82749,306142,268506,51858,12405,7
2012,95435,-38116,222838,278869,38716,95154,4
2011,107349,-20236,183945,276093,39149,133270,5
2010,238088,24933,188656,286595,50360,153506,5
2009,319815,58736,230048,293641,61139,128573,5
2008,280335,4109,284778,301435,44740,69836,13
2007,313774,-19167,260215,312969,12973,65727,18
2006,307889,4537,221616,315271,18991,84894,20
2005,298559,10958,235978,331303,16947,80357,18
2023,940234,77772,42149,15344,510161,483356,0
2022,852607,119470,115890,61629,459845,405584,9
2021,660039,138864,31176,0,453290,422114,1
2020,450808,43547,43860,0,327110,283250,0
2019,554848,47723,94963,0,334666,239703,8
2018,499808,20092,53478,0,245458,191980,9
2017,500745,48132,46557,0,222135,175578,9
2016,452442,173515,17386,0,145216,127830,5
2015,293164,-134590,121357,0,75672,-45685,7
2014,291507,50629,85748,0,174653,88905,6
2013,176554,59012,41996,0,80273,38277,4
2012,81408,-4619,64326,0,43591,-20735,6
2023,145435,8971,32920,31767,7406,-17758,2
2022,130932,-34202,49122,43939,12506,-26729,3
2021,58910,4501,9930,45559,165376,7472,3
2020,3000,2571,1090,321,452588,2971,0
2023,281849,-212858,630670,0,110868,-519802,11
2022,140504,-204950,321291,260,14088,-306943,9
2021,404888,81336,128929,0,26935,-101994,8
2020,183855,-39037,196255,4202,8723,-183330,6
2019,295985,-38902,159170,4842,9985,-144343,9
2018,282113,-49114,131280,3104,22735,-105441,11
2017,296355,-10142,63046,903,5816,-56327,10
2016,350870,-20715,63257,2334,14738,-46185,12
2015,367740,-25710,50103,3874,20759,-25470,13
2014,296257,31517,15061,5247,31011,21197,10
2013,171494,15806,37016,6784,19912,-10320,7
2012,49496,-26326,66858,8338,32394,-26126,4
2023,14965,-26469,27276,0,6080,-21196,1
2022,21000,4484,5759,0,11032,5273,1
2021,2100,-918,1751,0,2540,789,0
2020,1933,-363,154,0,1861,1707,0
2019,4936,15,664,0,2734,2070,0
2018,15838,97,4906,0,6960,2054,1
2017,10064,1059,698,0,2655,1957,0
2016,1575,698,417,539,776,898,0
2023,84384,7992,3614,4352,6694,7432,1
2022,68203,8202,8101,5215,2267,-561,1
2021,107929,-4239,24083,6079,9197,-8762,2
2020,88327,-11184,27521,6942,16011,-4523,2
2019,178671,230,16495,7806,15299,6661,3
2018,201509,5792,18767,3200,21946,6430,3
2017,201481,7006,20458,3200,17860,638,1
2016,219686,-12597,4253,3200,-6038,-6368,4
2015,183547,611,11604,3200,14467,6229,3
2014,152618,3741,8049,0,13667,5618,3
2013,128783,9822,33386,0,34688,1878,3
2012,108157,1518,37618,0,29553,-7944,2
2011,81225,0,38368,9000,19906,-9462,1
2010,81365,1395,9544,18000,5246,13702,2
2009,89799,2538,23490,27000,5349,12307,2
2008,65649,-6040,38727,36290,8257,9769,1
2007,108125,36499,7628,1104,32333,25809,1
2006,54684,-10900,408,1992,2756,4340,2
2005,62755,428,1852,2860,6459,7467,1
2023,715960,-32731,1044732,2971,643057,-398704,1
2022,434936,-66121,930390,4704,559713,-365973,1
2021,695854,20497,908854,11258,597743,-299853,1
2020,636265,95753,1147894,14184,813360,-320350,1
2019,367103,-28773,1017850,5693,596055,-416102,1
2018,293100,-95068,987985,5997,594658,-387330,1
2017,359037,80588,930714,3549,634904,-292261,1
2016,241055,-106748,790692,2751,415092,-372849,1
2015,448257,14669,696909,2162,428646,-266101,1
2014,271247,-138042,539945,136,292737,-280770,1
2013,240168,-56123,263381,0,267649,-84537,1
2012,74082,-50118,54709,1605,24690,-28414,0
