Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,1958200,496187,629191,307334,890015,591158,0
2022,733875,196977,552164,247778,399314,94972,2
2021,382572,3121,178553,48081,75604,-102056,2
2020,272301,-34019,159532,59291,53803,-105177,3
2019,249901,-24989,136549,72226,64236,-71158,3
2018,104712,-36973,71213,89671,21659,-46169,3
2023,9064778,570379,3867585,4600692,1852965,2623121,33
2022,7022101,790662,1513127,2345354,1420516,2252743,30
2021,5954879,847144,992999,1208110,1734027,1949138,26
2020,4684101,610073,410730,582506,1169916,1341692,22
2019,2844049,526714,444336,656156,519799,731619,13
2018,2281554,108178,715896,696935,232245,213284,11
2017,1727138,105855,701176,608546,334417,241787,11
2016,1175123,55317,435836,319716,257114,140994,12
2015,618539,11937,305342,170660,187012,52330,7
2014,397181,38180,105884,81142,65135,40393,7
2013,33519,1964,130110,85203,47071,2164,3
2013,131350,35817,95192,5000,110411,20219,1
2012,247088,9046,112204,5000,91606,-13598,2
2011,265987,8657,107123,5000,75206,-22644,2
2010,204527,5536,93602,5533,54768,-31301,2
2009,144902,-9945,89221,6668,43416,-36837,2
2008,59537,-27092,63275,7802,26081,-26892,2
2023,23218485,2074694,3901494,2427737,9293920,7820469,13
2022,19601744,1535225,4961019,2106703,8840412,6017514,13
2021,21006701,1975111,4941694,2050918,9314744,6452921,15
2020,18019589,1701392,4306187,2139421,7418807,5283074,14
2019,15761096,805546,4141175,1408676,6287312,3581682,14
2018,15353650,1310665,3756202,418536,6089771,2776136,12
2017,12374494,740956,3611363,423244,4629109,1465471,12
2016,8051869,424318,3124131,335240,3500865,724515,10
2015,5920468,378224,1809933,227969,2212196,641151,8
2014,5636612,127234,1616369,145366,1724103,262926,7
2013,4449448,25975,1580897,43656,1671005,135739,4
2012,2368867,109563,951581,5350,1055532,109763,0
2023,1571620,4600,2377502,6312817,526395,4461710,12
2022,1559392,-23938,2428149,6518434,368813,4457110,0
2021,1754763,-128801,2855437,6806914,531817,4481048,0
2020,1799970,89815,1437796,5488817,565808,4609850,0
2019,1707566,-243619,1628589,5502418,646205,4520034,23
2018,1714095,-124155,1695700,5677933,781284,4763654,23
2017,2696625,314889,1921450,5787827,1004313,4871079,32
2016,2211566,-184906,2073592,6174117,539387,4640040,19
2015,2240134,-524326,2049317,6299535,574548,4824945,19
2014,10277284,39435,2006253,6502651,852164,5349271,0
2013,13138025,245570,5560519,6924195,4031004,5357635,57
2012,13409213,299170,5817274,6936918,4013536,5135578,55
2011,13571861,481855,5937206,6491803,3496885,4053588,55
2010,13496565,630657,5563143,5536940,3591904,3569735,60
2009,14322355,105479,4559358,4291906,3189159,2939078,60
2008,14120642,193238,4918916,3577249,3306892,1971086,60
2007,9688902,517330,3737674,3067044,2448477,1777847,56
2006,7920686,664221,3029892,2017200,2240672,1294372,0
2005,5685527,405774,1725860,1164201,1709541,1144563,51
2023,7281509,732928,2987019,123441,3654451,790873,11
2022,5653147,583302,2422021,180888,2824938,583805,10
2021,4945837,610201,1016145,67239,2434720,1485814,10
2020,4207891,649588,851919,101253,1626279,875613,11
2019,3276174,428779,1159415,113176,1472264,426025,10
2018,2554642,323720,1054411,156181,1219199,320969,10
2017,2196600,310143,740523,2984,1044931,307392,10
2016,2099985,256344,448376,2984,698985,253593,10
2015,1912482,218014,295400,734,517600,222934,10
2014,1528899,57593,332045,9411,327554,4920,10
2013,954475,25944,321544,47353,221516,-52675,10
2012,771771,-4401,336685,84091,173976,-78618,10
2011,619619,-51332,350266,106655,132134,-111477,9
2010,532545,-63202,308153,70361,112496,-125296,8
2009,522336,-59596,299759,104783,132882,-62094,7
2008,508732,1556,175731,62941,110292,-2498,8
2007,470121,15629,141122,18879,118189,-4054,8
2006,356017,5915,132723,12464,106491,-13768,8
2005,325099,6689,102476,23839,58954,-19683,8
2022,32995,-6998,265493,0,243,-265250,1
2021,111867,19398,269055,137,10666,-258252,1
2020,40111,-11230,286586,273,8663,-277650,1
2019,59731,-112156,282057,198,15439,-266420,1
2018,72303,-17099,218682,1522,62896,-154264,2
2017,105640,-36599,172521,5499,29857,-137165,3
2016,104230,-33873,121085,9475,11045,-100565,2
2015,108626,-13251,87903,11004,10207,-66692,3
2014,59722,-14870,66970,3649,9880,-53441,3
2013,39791,-22096,60259,4214,17473,-38572,2
2012,8978,-16676,39493,4895,18122,-16476,0
2023,831736,-43882,536637,202528,175035,-153524,4
2022,764036,8516,336093,55383,169148,-107962,4
2021,794064,27634,287238,66773,100451,-120014,5
2020,654056,11109,294330,53038,93644,-147648,4
2019,652432,-40074,309073,71453,78863,-158757,4
2018,818643,6745,240044,46938,74423,-118683,5
2017,924193,4104,305923,54466,126029,-125428,5
2016,798095,13708,331410,57472,144405,-129533,5
2015,662321,28858,336556,62382,130934,-143240,5
2014,454068,-69438,325396,69068,84230,-172098,4
2013,404035,-28622,172644,39812,30172,-102660,5
2012,385876,-40551,172555,39602,59541,-73412,4
2011,395986,-52406,134769,37997,63911,-32861,4
2010,393298,7149,94383,33671,80257,19545,3
2009,225781,17370,37702,0,50098,12396,1
2008,941,-5174,6200,329,897,-4974,0
