Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,14289403,440502,993343,1877353,2272896,3156906,34
2022,14057083,453986,1407352,1917413,2314342,2824403,21
2021,13127141,294877,2114137,2028931,2455623,2370417,29
2020,12631167,344187,1931581,1855073,2152049,2075541,31
2019,11792752,217548,1520144,1597972,2008989,2031354,33
2018,10953491,331829,1742669,1539275,2017201,1813807,31
2017,9578068,207990,1316195,778796,2219376,1681977,33
2016,8853041,146879,1696114,804762,2365339,1473987,40
2015,7893363,115009,1562691,348112,2541686,1327107,34
2014,6875108,40609,1462591,377307,1797383,712099,36
2013,4441316,3554,1298467,384461,1585496,671490,28
2012,2897923,642,546341,391048,823229,667936,20
2011,2555851,23211,206543,52511,818715,667294,12
2010,1494469,5352,766606,7235,803654,44283,8
2009,489643,28948,631828,4000,666760,38932,1
2008,156103,9784,81043,4000,87027,9984,0
2022,33000,4331,17600,0,27892,10292,1
2021,47100,19182,15124,0,21085,5961,1
2020,27900,792,13221,0,0,-13221,1
2019,31140,-712,15017,0,1004,-14013,1
2018,23640,-5630,13921,0,120,-13801,1
2017,18900,-6022,8204,0,33,-8171,1
2016,27020,1257,3069,0,920,-2149,1
2015,26590,651,3830,0,424,-3406,1
2014,22920,-1268,4175,0,117,-4058,0
2013,29900,4273,3596,0,806,-2790,1
2012,31980,1454,7573,0,511,-7062,1
2011,27880,4020,9098,0,581,-8517,2
2010,25380,-4205,12581,0,44,-12537,0
2009,28120,-4677,8410,0,79,-8331,2
2008,19710,-12911,5522,0,1868,-3654,2
2007,16800,8757,1976,0,11233,9257,2
2006,12600,3920,1998,0,6418,4420,2
2005,7520,73,1873,0,2446,573,2
2023,453425,61246,133997,0,548438,414441,2
2022,1088248,846828,91488,0,938556,847068,2
2021,1877227,1637477,64579,11461,1690835,1637717,2
2020,523172,302982,285180,66288,1171739,952847,2
2019,865683,598664,95856,154307,591413,649864,2
2018,250539,13922,290282,249357,92125,51200,2
2017,187846,29862,198461,113679,122060,37278,2
2016,722097,20591,267481,153942,120955,7416,9
2015,732947,-4379,796579,0,792818,-3761,8
2014,-497,-8086,830,0,1448,618,0
2013,48096,8504,17618,304,26018,8704,0
2023,1135481,-38561,229842,109817,48530,-71495,14
2022,587910,-24809,266349,195726,37689,-32934,10
2021,1319299,-8365,502987,357529,137333,-8125,17
2020,2209846,119388,252692,125959,246361,119628,25
2019,532149,16390,62803,0,79393,16590,19
2023,21685,-72883,143327,7114,89707,-46506,1
2022,15950,-8155,121738,44274,103842,26378,1
2021,31876,558,102434,42491,94476,34533,0
2020,20297,3402,155089,56808,132256,33975,0
2019,103945,56358,144454,71593,103434,30573,0
2018,13234,-7093,96802,12431,58586,-25785,0
2017,37326,-13432,72806,8168,46011,-18627,1
2016,47176,27224,44467,4102,35170,-5195,1
2015,5810,1331,41572,3901,5252,-32419,0
2014,5310,2075,41501,3901,3850,-33750,0
2013,4763,2192,40515,3639,1108,-35768,0
2010,2314,-2566,42380,1337,1283,-39760,1
2009,7665,-14764,40170,1954,1022,-37194,1
2008,11034,-20224,38781,13420,2931,-22430,1
2007,10563,-9328,28900,25012,1682,-2206,1
2006,19561,5994,31586,31384,7020,7122,1
2005,16150,1223,1893,2036,985,1128,1
2023,4825,4068,727,0,6370,5643,0
2022,9132,8057,9034,0,10609,1575,0
2021,21516,12241,2671,0,19333,16662,0
2020,24163,23218,117540,0,121961,4421,0
2019,35827,30172,117172,0,98375,-18797,0
2018,38909,33067,118585,0,69616,-48969,1
2017,35415,30795,117506,0,35470,-82036,1
2016,4998,2064,116025,0,3194,-112831,1
2015,5101,210,113828,0,997,-112831,1
2014,2740,721,116381,0,3340,-113041,1
2013,4518,2069,116144,0,2382,-113762,1
2012,36183,28881,115834,0,2,-115832,1
2011,6500,-80651,147682,2035,934,-144713,1
2010,17135,-29435,109674,44756,856,-64062,1
2009,10732,-25032,101905,65101,1958,-34627,1
2008,9310,-11170,44510,32561,353,-9595,2
2007,2410,466,4008,484,5490,1966,0
2023,233670,-77987,191358,32110,55309,-103939,5
2022,27080,-26152,44276,13130,5194,-25952,1
