Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,3854224,830188,202347,41372,1347459,1193471,11
2022,3486495,606119,227703,32722,880757,689370,13
2021,3862343,642242,1196634,72273,1951694,830620,14
2020,1218778,-47464,265308,34970,416541,188378,11
2019,2763417,348265,226833,63158,817568,656895,12
2018,2634471,236976,217401,104626,732462,624420,12
2017,2316967,300915,265511,140476,740872,619022,10
2016,1498966,203460,124726,18214,592819,488108,7
2015,971286,321306,34329,3092,421147,389910,2
2014,424346,188404,22286,0,210890,188604,2
2013,167617,129219,6756,0,136175,129419,0
2023,1750505,923912,53840,172735,806786,927426,5
2022,792382,349024,23196,186350,201061,352538,4
2021,569840,323875,22995,201634,160821,327389,0
2020,785975,416641,21247,190557,261504,420155,4
2019,795694,377783,9680,197910,203632,381297,5
2018,764266,296507,12502,221266,104484,300021,6
2017,791312,407607,9156,258669,189222,411121,5
2016,738954,604069,12169,301343,361298,607583,5
2015,833443,285626,83116,344699,505173,289140,10
2014,785033,268268,105655,312085,1224827,318645,8
2013,762796,459325,487079,206971,281908,1800,4
2012,711570,405182,433036,196166,238670,1800,4
2011,979054,648305,694819,272728,489671,67580,4
2010,409823,177710,262784,282468,47896,67580,4
2009,422167,242410,291413,315780,43213,67580,4
2008,376919,196742,212601,250000,45015,82414,4
2007,292078,157686,243667,269053,57028,82414,4
2006,211902,90614,231125,289053,24486,82414,8
2005,186672,81331,83229,42053,42976,1800,0
2023,1863326,322434,1492486,1153370,873082,611458,6
2022,1351982,99336,694665,187316,770937,289024,6
2021,1716149,524448,814933,264908,1318409,793820,5
2020,1450384,451389,762165,319384,1303106,885761,4
2019,1282558,434132,525580,50195,884321,434372,6
2018,1096376,174063,322146,61230,1440321,1204841,7
2017,1319341,445189,466391,68114,1403620,1030779,12
2016,1130645,420374,395776,84665,871264,585589,15
2015,494951,-238576,432789,122087,481235,195969,9
2014,1648234,306124,590909,179946,881053,497044,10
2013,770991,100532,433255,221648,409142,222170,9
2012,1240838,324399,248811,179082,399897,324639,7
2011,869673,179831,671227,187752,621884,180031,2
2023,58880,-18055,3129,0,34991,31862,1
2022,95930,33402,3497,0,58414,54917,2
2021,92335,46762,3111,0,24516,21405,1
2020,112940,33883,41595,0,16238,-25357,2
2019,113630,254265,66731,2592,4898,-59241,2
2018,181740,22178,326936,5319,7125,-314492,2
2017,174337,-9240,353363,9173,7519,-336671,6
2016,158845,-10867,351119,13174,10514,-327431,9
2015,82473,-410157,378558,17174,4083,-357301,9
2014,89955,678,223718,21701,8862,52856,9
2013,105090,1636,332759,25472,7286,52178,16
2012,123820,171,431872,32012,5710,50542,21
2011,112856,388,445274,50679,53088,50371,17
2010,101139,44178,578785,79385,909354,50624,17
2009,113837,-29732,257510,89538,243951,6446,4
2008,92104,4074,228069,87813,176434,36178,46
2007,114526,15658,15508,0,47612,32104,1
2006,107870,591,1091,0,17537,16446,0
2005,79300,15355,13670,0,29525,15855,0
2023,1653778,754820,357557,171012,961805,775260,4
2022,2003160,1250335,193926,186885,1257816,1250775,4
2021,1878607,1064915,145879,629445,1608328,2091894,4
2020,397365,125755,102030,631765,1093738,1623473,4
2019,1754978,856853,425378,646028,2153384,2374034,6
2018,1136631,486402,48007,679971,1327017,1958981,9
2017,1484450,857768,23226,731263,989542,1697579,11
2016,1260268,615272,29754,487542,733023,1190811,9
2015,1060703,436135,50445,344401,545811,839767,11
2014,783529,380978,65667,267025,202274,403632,12
2013,268521,-25884,204904,195745,31813,22654,10
2012,425646,109709,21603,8571,151570,138538,5
2011,411874,94983,21256,17921,98520,95185,7
2010,252500,14730,25349,15688,24591,14930,4
2023,505255,1826,153790,105242,122831,81030,4
2022,565534,37088,125562,93228,129286,109205,3
2021,460543,13441,146353,119176,94187,85558,3
2020,507606,42323,166680,145768,107434,112116,4
2019,611147,39733,100965,73669,122090,94794,3
2018,440422,-40098,160548,93086,122523,55061,3
2017,542586,948,110071,75853,97377,63159,3
2016,656590,29105,132503,81862,132852,82211,3
2015,579751,89841,153225,48808,200861,96444,2
2014,392495,-13140,116763,66916,56451,6604,0
2013,329048,12427,131571,85025,66290,19744,2
2012,179540,7067,274304,103134,178487,7317,0
2023,78485,26113,4725,23,52401,47699,1
2022,76364,56346,25718,117,82187,56586,1
2021,30058,19878,309,210,20217,20118,0
2020,15291,7927,427,880,18249,18702,0
2019,79547,59860,2067,1596,60571,60100,0
2018,53502,39609,983,2465,38367,39849,0
2017,36073,24219,683,0,25142,24459,0
2016,31149,25308,1530,0,27078,25548,0
2015,8133,4142,484,0,15616,15132,0
2014,945,-1687,239,0,11229,10990,0
2013,0,-2966,211,0,12888,12677,0
2012,13360,1268,4211,0,19853,15642,0
2011,47869,40075,2698,0,17072,14374,0
2010,22490,-15391,27242,0,1540,-25702,0
2009,16112,-13815,10430,0,120,-10310,0
2008,32311,3305,938,0,4443,3505,0
2007,0,0,0,0,200,200,0
2006,0,0,0,0,200,200,0
2023,971183,266456,41599,22263,633232,615614,3
2022,713889,125776,44327,19950,386271,363289,2
2021,614741,36311,35099,16943,577910,559754,4
2020,702949,306446,20717,12458,529048,523442,2
2019,592502,113664,26949,7767,523473,504291,2
2018,564252,87860,35018,9974,452408,427364,2
2017,637425,173160,83776,5055,418225,339504,3
2016,553177,118976,126871,4182,289732,167043,2
2015,539042,104075,28834,510,302716,274392,2
2014,582482,110674,23809,428,205604,182223,2
2013,450474,53560,19079,4846,159325,145092,2
2012,336392,17748,20238,2197,109573,91532,3
2011,466330,73544,21906,5852,167294,151240,3
2010,334314,34283,16134,7555,86275,77696,3
2009,227180,30369,8432,6907,44938,43413,2
2008,70401,12844,5415,711,17748,13044,2
