Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,12439321,-2147888,5779652,0,4845243,-924596,2
2022,7774561,1944497,1460620,0,2464099,1223292,3
2021,4994757,143318,1492221,0,534850,-768198,6
2020,3622690,-90485,1547854,0,332492,-911515,6
2019,1115784,-313173,1397417,26881,549506,-821030,3
2018,0,-78507,651439,117178,26404,-507857,1
2017,0,0,601448,117178,26144,-458126,0
2016,0,0,656172,106350,36487,-513335,0
2015,0,0,656172,106350,36487,-513335,0
2014,0,-55209,656657,106350,36972,-513335,1
2013,6119,-315697,650264,117178,74960,-458126,2
2012,2092477,-284537,263961,117178,4353,-142430,3
2011,9642525,120659,549948,156607,535449,142108,2
2010,3345192,67448,639540,13328,677660,51448,1
2009,57625,3785,124642,5209,103434,-15999,0
2008,0,-30618,75326,6593,48949,-19784,0
2007,0,-10578,45479,9324,46989,10834,0
2006,20000,11212,37537,19555,39394,21412,0
2023,70651,6680,356349,92396,194959,-68481,0
2022,52330,11316,367439,95612,206345,-70053,1
2021,86645,51081,367506,106571,187363,-81369,1
2020,59165,39705,408265,90538,194956,-132450,1
2019,52787,35304,457746,90986,194605,-172155,1
2018,0,-3560,389993,393915,166507,170429,0
2017,0,-5692,384779,392215,166553,173989,0
2016,0,-5733,378721,392214,166188,179681,0
2015,0,-2695,371123,389105,167433,185415,0
2014,10483,-26208,370084,393193,165001,188110,3
2013,112567,-182778,391699,393883,212113,214297,2
2012,79984,37335,143055,383716,156414,397075,0
2011,0,-3195,396524,381355,209,-14960,0
2010,0,-8343,12021,0,256,-11765,0
2009,0,-3722,3823,71,330,-3422,0
2023,81809,9674,518148,255083,117458,-141879,1
2022,4756,-46483,416054,174417,86356,-151553,1
2021,20788,-110660,328145,144052,75295,-105070,1
2020,84774,1895,244541,130172,119959,5590,1
2019,74656,70211,155011,114954,43753,3696,1
2018,0,-7070,173847,77305,30027,-66515,0
2017,0,-568,172947,77305,35797,-59845,0
2016,0,-665,172347,77305,35765,-59277,0
2015,0,-1115,171847,77305,35930,-58612,0
2014,0,-2047,170847,77305,36045,-57497,0
2013,0,-1466,168447,77305,35692,-55450,0
2012,0,-49215,167015,77305,35726,-53984,0
2011,0,-3012,103190,77305,21116,-4769,0
2010,0,-1957,48210,36776,9677,-1757,0
2023,72959,-513874,4498911,126873,1626091,-2745947,1
2022,1206304,-104462,4249408,157345,1859990,-2232073,5
2021,1374194,-535319,4342069,191938,2022520,-2127611,6
2020,788245,-310041,3897286,199823,2105172,-1592291,3
2019,3370309,-501861,4004695,228819,2494360,-1281516,2
2018,953340,-779855,2926959,254012,1969023,-779655,1
2023,0,0,6373,0,1584,-4789,0
2022,0,0,6372,0,1584,-4788,0
2021,0,-1725,6372,0,1584,-4788,0
2020,0,-172,3637,0,574,-3063,0
2019,0,-168,3465,0,574,-2891,0
2018,0,0,3297,0,574,-2723,0
2017,0,-259,3297,0,574,-2723,0
2016,0,-280,2939,2563600,475,2561136,0
2015,0,-2584,2659,2563600,475,2561416,0
2023,0,-50,31407,0,31459,52,0
2022,0,-50,31407,0,31509,102,0
2021,0,-50,31407,0,31559,152,0
2020,0,-50,0,0,628345,628345,0
2019,0,-50,0,0,628395,628395,0
2018,0,108020,0,0,628445,628445,0
2017,0,0,150953,0,671378,520425,0
2016,0,0,150953,0,671378,520425,0
2015,0,0,150953,0,671378,520425,0
2014,0,0,150953,0,671378,520425,0
2013,0,-454,150953,0,671378,520425,0
2012,0,-1101,150952,0,671831,520879,0
2011,0,-1414,150952,0,672932,521980,0
2010,0,-242645,150952,737,673859,523644,0
2009,127488,17790,159830,188128,737990,766288,5
2008,817532,426832,227529,319102,749394,840967,29
2007,901446,-165663,237306,468416,238307,469417,74
2006,1033724,-243517,321159,580217,376022,635080,77
2005,1358703,-80397,1397038,434144,1841490,878596,89
2023,10876295,268968,1864285,1111739,1920562,1168016,5
2022,11594182,171726,2615579,1504980,2239016,1128417,9
2021,10442977,-637918,2880345,1935826,1901210,956691,8
2020,9775960,743629,731214,522705,1803118,1594609,21
2019,9194074,473153,2330163,455108,2726035,850980,37
2018,5656411,-72592,2529272,506398,2400700,377826,36
2017,4268685,25789,1176015,138400,1488033,450418,28
2016,3365080,374631,822929,157554,1090004,424629,18
2015,178107,34023,103415,80981,72432,49998,3
2014,205441,71138,76954,2136,90793,15975,3
2013,87550,-71425,95879,1278,39388,-55213,5
2012,171445,17215,77908,2559,91561,16212,3
2011,0,-1203,1200,0,197,-1003,0
2023,624273,-48735,2072710,136688,1240218,-695804,1
2022,571353,-178836,1601289,143890,983652,-687747,2
2021,571745,60409,1607184,135737,969586,-501861,2
2020,950213,80497,1549387,137520,656651,-755216,2
2019,1403731,33453,1530902,139303,555886,-835713,2
2018,1135699,116500,2546267,127997,1743447,-926821,2
2017,-32989,-170252,1440342,149247,499372,-1043721,2
2016,287875,-269319,1220221,164482,591119,-873468,2
2015,1280778,76983,1619458,198921,1667059,246522,6
2014,4464906,66569,3156048,239721,3145866,229539,6
2013,3124058,412782,892656,59092,1037568,204004,4
2012,442575,26020,574551,0,602131,27580,0
2011,14087,-1016,3279,0,4739,1460,0
2010,6660,85,2933,0,5410,2477,0
2009,6549,1397,5395,0,7787,2392,0
2008,0,0,147259,0,148254,995,0
2007,122533,795,147259,0,148254,995,0
