Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,31113264,7158599,3769132,3525389,7559192,7705270,322
2022,29659525,6828410,3114256,2779868,7113300,6831410,366
2021,26431043,6577059,2418088,2090641,7827235,7604695,384
2020,22903296,4345084,1965538,1366987,7421405,6874974,361
2019,23266748,5063188,2004150,1119464,8555289,7688836,380
2018,20170491,3875993,1921499,826461,8375775,7291432,412
2017,18000042,3412439,3027269,750592,5663198,3415439,398
2016,16295050,2923760,1691931,651314,3881117,2928471,432
2015,13459281,2324510,1348814,550031,5252652,4759090,398
2014,9848999,913265,1012689,426811,3334125,3053247,413
2013,8299309,-170533,736536,228272,2236773,2139982,314
2012,11123245,458087,1079490,929437,2576811,2667658,429
2011,12339394,2257643,1073476,895797,2637019,2789340,462
2010,9290879,1165891,854785,1053725,2150779,2349719,395
2009,8754171,783080,941409,876796,2215437,2193717,390
2008,9836038,1203373,1167842,951999,1965162,1756499,466
2007,7732919,771150,998311,498646,1659933,1160268,496
2006,5624402,736256,856607,442647,1187134,795118,418
2005,3950771,408209,495174,165188,765721,467071,391
2023,93170912,6094987,21191867,7836380,33792937,20491590,64
2022,79185187,2773004,18309323,7681450,24996178,14396604,64
2021,63690641,1765306,18070337,7374404,24307018,13623599,57
2020,57814155,2686957,8806072,4689214,15842235,11730733,44
2019,42982100,2338613,4305066,2233516,11108286,9043775,34
2018,31266154,2302314,2549064,2035998,7834328,7336740,31
2017,25871892,2591442,1406406,2124487,4942117,5666004,27
2016,16400570,1530785,1178296,1415380,3356641,3600878,12
2015,11096995,1132251,1029819,573973,2632957,2180172,9
2014,5635815,578974,575692,500921,1160309,1088305,6
2013,3369417,345787,227401,50946,684978,510018,4
2012,1520483,164337,193111,49929,306325,164231,4
2011,16638,-506,90382,1023,89053,-306,1
2023,685332,21889,68947,153215,138611,222879,7
2022,617871,3382,66866,157620,110236,200990,6
2021,594450,573,53230,154872,97861,199503,8
2020,540825,4884,31182,156510,73602,198930,8
2019,527853,3007,197436,114311,112225,29100,8
2018,536520,277,220748,116380,130460,26092,8
2017,493555,3054,215766,117428,124153,25815,8
2016,525193,18100,248375,68163,143401,-36811,8
2015,498833,1998,287469,70858,161700,-54911,8
2014,445922,1581,253238,81827,114502,-56909,8
2013,327442,-31753,254890,99308,106647,-48935,8
2012,364871,2040,272615,92069,163364,-17182,8
2011,279752,-35085,253272,105953,128097,-19222,9
2010,309033,1424,241246,129479,133038,21271,9
2009,409569,-58876,257669,142028,92487,-23154,11
2008,527607,6296,259187,121751,173158,35722,12
2007,318975,10840,233679,134176,133859,34356,11
2006,244540,-2756,228551,126594,125474,23517,10
2005,237425,8679,196625,105884,117014,26273,11
2023,2481457,522883,1736280,1597927,1394250,690989,11
2022,2277712,977122,2144593,1649387,2082156,986106,11
2021,2190784,672280,193674,1587969,455611,1179141,11
2020,1371003,252933,987281,1709781,1013000,976147,11
2019,2244294,556442,573641,922005,1181103,723214,0
2018,2020446,725584,380591,687685,1303885,726114,9
2017,1704746,769728,168825,423022,511111,771583,8
2016,1747878,759393,172815,388273,542532,763643,0
2015,1270901,453347,318486,375219,863454,923250,6
2014,902866,203938,52293,99198,420583,469903,8
2013,824879,164421,105250,76142,295073,265965,7
2012,431255,59750,103517,10729,201916,101543,6
2011,331768,9029,88100,27461,123312,41793,5
2010,303109,12441,131645,60361,142907,32783,4
2009,184617,3861,105276,95862,86529,21095,3
2008,225799,17034,121948,61563,77619,17234,3
2007,108419,47553,34977,32805,49027,46855,3
2006,0,-898,1398,85,615,-698,1
2023,1538041,-295693,1702707,3661,606701,-328739,27
2022,1359569,41178,1131058,0,334406,-33046,28
2021,1485581,-29527,1005976,0,168146,-74224,32
2020,1516700,-48569,981418,0,908072,-48165,41
2019,1627157,59854,652128,77,653157,60404,43
2018,1432736,78413,583954,0,501424,200550,41
2017,1437215,72755,399133,4091,234099,122137,45
2016,1218561,108859,296647,19724,326305,49382,45
2015,649770,7620,288870,29299,200492,-59079,28
2014,484014,-34414,195258,46495,82319,-66444,22
2013,334625,-191,102375,13212,57780,-31383,18
2012,55328,-30181,47873,15923,758,-31192,15
2011,0,-1211,2000,370,619,-1011,0
2023,4154972,1422701,914226,700739,1899240,1732640,54
2022,3838193,1355033,695307,642721,1865593,1853426,0
2021,1940566,532401,698063,768976,1879564,1972527,0
2020,2668888,705357,930060,1215542,1967489,2282219,0
2019,3469512,689773,621577,591717,1626891,1618968,62
2018,5462136,1766666,647586,602862,1785934,1771297,58
2017,3236531,88824,1320822,440406,1437652,589675,109
2016,1770681,-82788,818936,538505,1371395,1111375,62
2015,4011769,510454,1397984,759010,2214207,1594163,99
2014,3312672,-26808,1543145,980989,1641476,1100484,64
2013,5013610,1001014,2154602,952116,2303974,1126944,124
2012,4205156,138545,3300057,432901,2879511,125930,100
2011,3132554,-118705,2415952,271886,2023301,-12615,162
2010,2526989,2685,790726,264111,550440,106089,26
2009,1356988,103104,518789,208117,414076,103404,120
2023,1957797,170572,356711,334263,647237,624789,6
2022,2122098,163641,346711,300678,663249,617216,6
2021,1573893,210440,169354,352305,320624,503575,6
2020,1370584,197899,168145,170119,411162,413136,4
2019,1115932,100122,151397,139084,297550,285237,3
2018,1099825,120585,131020,64229,251906,185115,4
2017,944037,70619,119583,12458,171655,64530,4
2016,1183292,44571,301199,0,295110,-6089,3
2015,324738,20204,202420,12892,138868,-50660,2
2014,223718,-36865,139186,0,68322,-70864,1
2013,219821,-7140,119351,1317,84035,-33999,2
2012,257720,-1413,89709,3293,57978,-28438,2
2011,154330,-1641,92233,5269,59939,-27025,2
2010,199231,-64810,115639,7245,43776,-64618,2
2009,125266,10487,16167,424,15935,192,3
2023,1900366,130572,1323050,27131,1332993,37074,1
2022,948355,44625,497773,24530,379745,-93498,1
2021,664446,-76780,701615,34852,528640,-138123,1
2020,796866,49800,308692,12395,234954,-61343,1
2019,634844,24665,335733,14242,210348,-111143,1
2018,506963,1417,426733,16849,274076,-135808,1
2017,223229,446,81159,10716,96658,1715,1
2016,80030,712,178210,30750,106729,1269,1
2015,6835,66,3582,0,4139,557,1
2014,2866,48,6425,0,6916,491,1
2013,5730,49,6221,0,2568,443,1
2012,3100,194,5700,0,4594,394,1
