Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,6085309,2011972,2096103,2205847,2103309,2213053,20
2022,4475867,46550,1345107,1993043,1091844,1739780,18
2021,4405355,1660315,1301656,2046637,1998249,2743230,17
2020,2107215,108258,379579,1481803,1251000,1110747,14
2019,3926941,1163821,748551,1408481,1268037,1502489,10
2018,3139415,1558784,636553,389948,2181736,1852177,8
2017,1711732,713699,335267,48541,1001173,714447,7
2016,879699,418833,127667,24090,522667,419090,5
2015,626975,227417,136343,23077,536319,423053,4
2014,361095,111938,132767,12739,315664,195636,4
2013,158069,85692,68718,0,152416,83698,1
2023,552477,364361,134163,40848,458901,365861,1
2022,996257,770723,73963,10777,833156,772223,4
2021,1017164,435250,76262,11646,493218,436790,6
2020,749102,376677,108846,11520,591184,508736,6
2019,832998,374585,134819,9831,610857,506644,6
2018,709644,175576,118926,4748,421813,307635,7
2017,581265,135593,46457,17048,297061,267652,8
2016,632133,109945,85647,35522,291919,242005,8
2015,658062,152185,57371,187,341688,284504,8
2014,773687,45775,441277,3822,306326,-131129,8
2013,831698,17920,506501,4858,324758,-176885,10
2012,902999,29233,193489,7447,289216,103174,9
2011,990487,12880,293856,4371,376307,86822,9
2010,1037203,94802,180042,0,339480,168744,5
2009,315397,283,132612,11278,194888,73942,3
2008,344506,6219,100293,19630,158610,78942,8
2007,395626,54532,56375,31834,151796,127255,8
2006,475990,204114,87344,48011,311212,276837,11
2005,335473,109985,81453,64572,170907,162708,7
2023,155965396,341120,83845574,41707781,53556265,12777597,101
2022,133985924,3019265,71376260,55735480,45551203,30756100,99
2021,91034760,5029444,58854463,56261487,30555979,28148816,90
2020,87058562,-6377638,68052343,60238956,30796987,23004429,100
2019,77487863,-10115525,63540036,50604669,31980880,19346068,103
2018,82463209,-277535,62350789,51995935,39464132,29461545,107
2017,70644131,-6841856,59287692,53717923,42831965,38092693,111
2016,70737625,152431,56380029,53893746,44994066,43201909,115
2015,69980404,-2084103,57346892,55333847,44387752,49023242,113
2014,81489663,-564969,56481989,56813518,44262579,51107345,110
2013,76062439,-4355628,63443929,57986455,48722937,49758078,130
2012,95529586,585607,71589746,64114495,56576435,56303099,156
2011,104491311,1717020,69937246,67133249,53942691,55717492,174
2010,94644373,1523482,72227458,68938058,52804977,54000471,165
2009,89418927,1034650,68491966,67664595,46259204,52476989,145
2008,126975954,621922,74063823,64939654,49844737,47994518,183
2007,121295074,14772826,49767894,43942619,54297723,48472448,172
2006,98900489,15257042,35330638,27593541,43347592,36472795,166
2005,48225697,2241879,22603117,22297300,19910931,19748677,144
2023,6192135,1197749,2379488,962261,4436882,3019655,31
2022,4725892,540704,2350090,1067185,3645515,2362610,31
2021,3335704,61365,2176985,1349207,2711048,1883270,37
2020,4493466,571252,2296959,1741965,2376900,1821906,37
2019,6401060,1029901,3308770,2096872,3492453,2280555,36
2018,7184404,572441,6421374,2647381,5585746,1811753,40
2017,4398032,79726,3782569,2404523,2447173,1069127,40
2016,3642830,8249,2661022,1770968,1879456,989402,0
2015,4414101,44534,2802263,2202026,1581390,981153,27
2014,3253997,43184,4069940,2632346,2374213,936619,26
2013,2812967,10981,3852011,2911854,1804935,870778,33
2012,3748783,85765,4496523,2178355,3031516,713348,33
2011,4436332,409180,2917642,974235,2570990,627583,26
2010,4826748,168986,3350538,1003765,2565175,218402,23
2009,7455527,486387,4989496,1251022,4271309,535803,27
2008,7920229,306156,3857522,1207377,2981187,353322,33
2007,4072258,206430,1562965,856782,959779,253596,28
2006,3934028,277724,1621858,876472,1016187,311657,28
2005,2339285,28688,1289045,875115,357039,33933,21
2023,24677111,1790892,12449920,1835850,13374237,2749740,59
2022,20151716,131101,14230936,3171151,12094406,958848,62
2021,13174229,-3808376,12549775,5301051,8382865,827747,73
2020,16032275,-2374822,12396424,7277810,9622084,4636123,87
2019,28667155,115909,13426671,7741216,12590482,7066630,95
2018,20315885,564693,11195299,5938466,12333399,6939651,91
2017,21621151,814474,10901379,4726611,13235205,6897374,104
2016,27032303,2812301,9790033,3213806,12813984,5997796,96
2015,29089362,4721825,6517092,2290827,10191936,5068495,60
2014,5939853,452749,3285768,813540,5032402,346670,19
2013,4179978,-446165,2260776,239496,3226266,-106079,9
2012,5054513,373600,2660489,153623,2993546,340085,7
2011,1146221,2174,599319,97225,858189,-33515,5
2010,673347,-28503,323594,26062,603035,-35689,2
2009,5425,-7386,84211,398,404304,-7186,0
2023,19929245,315603,7213890,44300,13587837,6381826,76
2022,12322993,-3419123,3222685,33618,9547852,6066223,82
2021,15339450,-1072993,2877298,74300,12352342,9561081,81
2020,20965738,848403,6492629,131823,16986407,10634074,88
2019,17419139,886758,3195570,209747,12764717,9785671,0
2018,19987466,476584,6224571,156964,16286652,10271994,94
2017,16531288,995177,3327557,247168,13308061,10260540,99
2016,32971836,5181433,6961577,189653,18341049,11563774,101
2015,20216007,2024160,5179680,208377,12715628,7734110,90
2014,19215046,1422807,6688167,130489,13599979,7044440,93
2013,14955250,200042,4931138,24936,10525880,5621633,90
2012,18088576,1151210,5019451,29075,10409776,5421591,91
2011,15906812,580910,5687180,11712,10240822,4570381,88
2010,21449688,2723577,6158569,21109,10123189,3989471,87
2009,11771109,746719,5142919,32854,6372602,1265894,86
2008,8395539,775550,3070451,38422,4017487,986827,89
2007,2549398,467283,1694237,0,2162520,468283,89
2023,6395349,107164,1717807,366056,3726394,2015035,20
2022,5230527,72795,2349536,389205,4227810,1907871,24
2021,5940668,50251,2605176,421754,4378106,1835076,25
2020,4089011,62959,2500647,449823,4235513,1825081,29
2019,5898920,295953,1620815,481011,3427327,1927915,34
2018,7916051,185956,1382798,456289,2951554,1665437,34
