Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,962921,147064,287270,107629,327185,147544,12
2022,928030,326404,193125,36466,484335,327676,10
2021,498881,93402,128924,27320,234876,133272,8
2020,471243,75043,141140,61004,246006,165870,9
2019,368913,1139,125430,38233,177825,90628,9
2018,288379,1322,102180,49358,142311,119801,8
2017,246784,76436,103528,49796,181899,158479,6
2016,169518,69681,107709,46668,162772,132043,4
2015,179342,38896,70585,51931,100904,112562,4
2014,256531,67630,116492,54565,105081,73466,9
2013,223132,-5882,90464,11302,54686,5836,7
2012,269141,11527,113657,28578,71116,11718,10
2011,290824,1770,119966,18312,62716,-5310,9
2010,227351,6985,153952,18856,35868,-50517,6
2009,194697,-54179,150369,10143,71127,-57502,9
2008,34526,-3523,27456,2603,21530,-3323,7
2023,88257452,1302184,23662860,9312416,37269304,24616118,163
2022,82215018,2251828,20211183,8489317,33356941,23313934,170
2021,73708255,8139203,23566294,6756985,43645675,27166508,172
2020,80769815,14335972,29592785,5651952,49244758,24406977,225
2019,101063296,13541591,18945692,6764922,38150594,24680380,473
2018,82931890,7999297,17726520,6962532,32355034,20869104,442
2017,63426505,1543212,21567440,8561899,26828349,12869807,392
2016,65419998,3354405,26851120,11850661,27702000,11326595,321
2015,71847463,3715481,27166187,5280368,31271025,7972191,309
2014,68513560,917399,26767295,6427093,24721540,4321380,409
2013,71222303,737846,29127739,3373876,29467618,3892453,434
2012,68094812,848052,34121589,2180268,31271263,-351462,446
2011,54964763,-4201825,27286336,2941864,22883858,-1234409,456
2010,44544351,175780,18899853,3617551,18586435,3084595,531
2009,55246849,2114714,12820869,2905652,17101869,5635980,525
2008,68325915,13004172,13514559,3007204,24835334,13493285,532
2007,41317875,6983145,10187946,3172045,15120187,8104286,545
2006,30176140,2480694,10314961,2557674,9702185,2303601,476
2005,12510994,-929894,4839465,1329219,2971411,-70003,223
2023,601223,-93592,392397,80747,304978,-6286,7
2022,459853,-103666,238602,87810,237572,87306,5
2021,476020,-64560,60782,92108,159224,190973,6
2020,622085,9069,135285,49820,285627,200612,10
2019,642592,2208,156133,63568,197836,105613,9
2018,683163,1181,174555,81210,195737,103405,0
2017,509458,-60582,90201,54985,136839,102224,7
2016,423251,-76429,102418,40128,45602,-16544,6
2015,314191,-73194,52671,42672,53564,44005,5
2014,394114,826,88082,52061,116075,80466,6
2013,368265,-22145,86026,61528,103525,79641,6
2012,351817,-132184,43036,77243,66120,101786,5
2011,402288,-36665,32087,54782,81772,104767,6
2010,235981,-193927,69414,75041,135805,141432,4
2009,254786,-221332,761860,71584,93540,-596571,2
2008,540360,-103813,580513,96458,108132,-375240,3
2007,443643,-199312,505112,132753,108425,-271427,2
2006,14056,-74115,324181,148463,101847,-72115,1
2023,67166,-160570,2366021,991462,439464,307004,1
2022,207019,16322,1960115,847119,340467,467576,0
2021,180627,-473815,1998875,887165,322859,451254,1
2020,135163,1036619,1602103,917868,369198,925068,1
2019,174138,-351162,2928874,1233487,343731,-111551,6
2018,240325,-131341,2622047,1281045,340508,239611,5
2017,175102,-251420,2541671,1330586,341932,370952,5
2016,436513,-80677,2312463,1369302,288278,622372,15
2015,701282,-36544,966182,1404659,264571,703048,19
2014,825024,25245,1097557,1461736,356264,739592,30
2013,764022,-41657,1001617,1668982,195179,862544,31
2012,817404,429235,1019382,1991777,188644,1161039,31
