Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,2712,2092,2213,0,4753,2540,0
2022,2902,-10116,87,0,535,448,0
2021,43978,15832,950,4849,104397,108296,0
2020,14455,3337,400,9698,83166,82785,0
2019,55790,39286,6071,0,85519,79448,0
2018,8328,-12580,5124,0,45286,40162,0
2017,22105,-10108,132,0,52774,52642,0
2016,62318,28122,695,8,63437,62750,0
2015,172785,18737,1141,8,35761,34628,0
2014,102984,-132,6825,5,22711,15891,0
2013,187428,16627,677,0,16701,16024,0
2012,87353,-803,26914,0,26311,-603,0
2023,977814,277345,244276,704074,1180756,1638026,1
2022,1408264,771723,159204,597213,955903,1395464,1
2021,1899688,1121539,164778,333621,1434813,1604375,1
2020,583664,284279,499125,64521,910989,482836,1
2019,672626,91305,774647,4863,961890,198557,1
2018,187373,70638,426460,2832,530881,107253,1
2017,65283,36415,8048,188,44475,36615,1
2023,855,401,40074,0,35546,601,0
2023,9000,7181,10093,110,27300,17317,0
2022,17600,9770,8784,1463,17340,10136,1
2021,14615,560,7856,2748,4904,366,1
2020,600,-1194,5572,2362,2176,-194,0
2023,121572,110333,4869,0,115402,110533,1
2023,0,-590,20719,20525,16,-25638,0
2022,0,0,28813,42664,8700,-25048,0
2021,0,0,28812,42663,8700,-25048,1
2020,0,-566,7829,0,79547,-366,1
