Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2006,941573,519611,1054622,2068631,418028,1432579,2
2005,337136,190582,462237,372117,316966,234379,2
2007,6141409,-319525,39547364,17322234,27070398,4659227,63
2006,1129668,-613508,22629385,12460134,12759529,2571772,47
2023,9308916,2489906,3303682,851662,6715185,4264984,6
2022,6614376,1712525,4409600,902812,5281866,1775078,6
2021,6512696,1518468,213817,1014313,4135739,4936235,5
2020,4729171,1083968,596657,1155966,5844732,6406087,4
2019,6437502,1037196,1029255,1070317,5156704,5199619,6
2018,6418323,536920,2058498,1105010,5115692,4162423,6
2017,6845041,491710,2657803,1172177,5106334,3625503,0
2016,5127886,708846,1532699,1041281,4224490,3733794,8
2015,8198644,571376,356816,989241,3958338,4591409,7
2014,5738328,454477,35926,421029,3752685,4139081,8
2013,8761525,627796,558676,389823,3910712,3744112,10
2012,14018143,1284818,556946,385910,3761475,3592509,9
2011,8230252,891350,929778,104273,3251590,2426691,7
2010,3395442,474581,538728,78456,2490851,2030579,4
2009,3059785,399945,531191,57443,2029397,1555649,9
2008,1772828,492666,370028,112381,1615651,1358004,8
2007,1058025,295457,23098,63820,850216,890938,4
2006,852937,260620,141619,146179,746658,755481,3
2005,899505,493861,81779,46118,529739,494861,3
2006,27110036,927865,412127579,422335094,3624800,2383431,343
2005,8920458,-5967977,246426672,255016489,2385984,1625572,184
2023,2460283,609376,2020156,8198283,482694,6608295,7
2022,2310402,837628,2244191,7663216,1178583,6505089,7
2021,2127544,1528669,364506,6793299,802202,7196130,7
2020,1958595,2529186,553233,4908912,3897290,8136968,7
2019,1869108,491978,265854,12566493,1273473,13562503,8
2018,1771518,425133,266740,12214160,1142185,13070525,9
2017,1401618,-33090,239765,12272968,613023,12645392,7
2016,1237788,-187511,188541,12776308,143649,12725055,6
2015,1026410,-37278,275581,12875131,361988,12912566,4
2014,1273683,-2901944,233341,12933691,259407,12949844,3
2013,765518,-36275,981257,16348658,493131,15851988,2
2012,857784,9337,1029036,15888675,490076,15351186,7
2011,988336,155726,1364543,6818535,924754,6378746,11
2010,1771902,1312314,1693883,4929322,1469180,4095013,10
2009,1226070,285735,1855404,4450915,777644,2782699,12
2008,925603,235339,1942515,4533441,496495,2496965,3
2007,493695,400644,3552176,3864829,220972,533625,2
2006,313357,184165,2817690,3006345,89783,132982,2
