Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,24693477,965663,4596994,3341506,11501220,10063070,126
2022,24280930,1204234,5315722,2875820,12671172,10297406,125
2021,19490301,957949,4147568,2358154,11792300,10043172,120
2020,19134730,1426193,3638237,1921551,12164227,10485222,126
2019,22372601,1568661,2965865,2166112,11321007,10570810,126
2018,19458342,1236311,3122877,2413702,10902689,10232149,116
2017,21412698,1328788,2807867,2840916,10175959,10254031,118
2016,18394960,1912259,3245471,2828338,11200458,10837502,115
2015,20916353,2139886,767256,2841156,10900604,12993952,118
2014,23491536,2604791,2062580,2686329,10615793,11288928,118
2013,19374702,1527704,1832511,2676669,9021398,9844136,0
2012,15628277,1284084,2353602,2673413,8765885,9103432,96
2011,21061023,1857644,2133488,2630731,7888393,8413782,95
2010,17921587,1996602,2598189,2496769,7117969,7056137,98
2009,12523601,1901136,1856813,2322291,5054487,5537993,94
2008,13280562,1366479,1958374,1804094,3974277,3836380,92
2007,11706484,1366342,2749643,1636312,3783232,2669901,84
2006,7994300,482768,1218216,760317,1762702,1342180,7
2005,5700036,473160,881511,385876,1345704,859412,3
2023,130012856,2053255,30820716,4881096,55379845,29440225,434
2022,143064821,2700415,43991172,5710909,65903868,27621021,459
2021,128207281,2882621,46527525,7034950,64848493,25301486,447
2020,98411853,1670757,31243507,5413525,48458384,22418865,438
2019,109340189,5955332,39670420,6625532,54299506,20863898,454
2018,113086454,3795591,34941375,7467329,44033875,15961197,471
2017,114834567,4069166,40907416,8908918,45126016,12291922,0
2016,100064929,3600581,46050572,8108599,47227961,8222756,458
2015,62565679,2773711,25320675,6955397,31055589,11399443,458
2014,68508687,3158833,26289453,7944144,28504029,8635965,492
2013,51932939,1369610,24087996,6846310,25127713,6127133,440
2012,41426923,1349059,28229550,6805574,28185848,4757523,420
2011,36351483,1203963,21137973,5291038,21477653,3408464,434
2010,34878159,992329,12154734,1423746,12950146,2264501,349
2009,23771400,138306,10021752,1194920,10218052,1391220,328
2008,29714798,474185,11391625,761951,11882588,1252914,405
2007,27647243,283978,8924603,750674,8952655,778726,444
2006,23290041,394748,8401275,770496,8125527,494748,505
2023,4396889,385129,448261,823179,1721193,2096111,20
2022,4338568,670795,673672,696943,1907163,1768374,20
2021,3625309,680458,303743,624600,1357301,1678158,18
2020,2787127,400870,145860,433395,1096086,1248279,19
2019,2588095,297425,258319,457131,857717,1053726,21
2018,2358713,326702,158295,479603,693914,1015059,21
2017,2233816,394320,231001,506059,651499,926357,20
2016,1918005,167405,253724,538638,505190,770426,20
2015,1764768,154103,184671,542587,400168,755152,21
2014,1549130,41848,150638,533684,312269,682265,23
2013,1065453,13298,254174,236851,418552,395949,20
2012,1018690,10758,195869,254286,351811,402651,24
2011,1049301,11050,159154,269339,324807,428892,23
2010,924306,273254,122222,277988,267119,414798,29
2009,1237777,23534,546825,331109,356429,141544,37
2008,1179549,9764,650374,361945,405657,118010,42
2007,1147333,1114,647214,327584,371310,51680,52
2006,1378930,11008,596075,296820,354403,50566,60
2005,1239140,2521,679498,288812,419228,39557,79
2023,7470281,59348,612354,3035988,1846236,4269870,113
2022,10507074,1152487,894124,1592201,2401649,3100502,177
2021,10114316,1332801,1688577,1586791,2631351,2529565,156
2020,6098892,384333,1533848,1556145,1842062,1870449,159
2019,9722255,1146738,1422227,1575538,2609972,2764010,159
2018,10707868,1602681,1706360,1589355,2574125,2459377,168
2017,10820753,2151118,2372991,1511641,3084871,2169540,175
2016,10911348,1867949,1786613,1648263,3136289,2844200,175
2015,12494367,2727649,1766450,1807677,2956825,2746071,180
2014,9514911,1618757,2353991,1981828,2359705,1637179,180
2013,9114358,1207594,1987436,2169270,1739981,1472673,183
2012,9169195,708334,1739521,2671986,1434683,1818520,213
2011,9323254,770437,2128522,3232776,1996799,2455491,211
2010,8057519,1288076,2447872,3221173,2078499,2211248,170
2009,4188539,196536,1737841,1681075,1102732,1064498,80
2008,2284335,128266,1452860,1678941,628024,872637,102
2007,2031537,14573,781724,1490155,51391,759822,91
2006,1723504,188031,687026,1091166,332285,742393,79
2005,1837608,-23966,488241,633566,452042,603242,0
2023,10344837,-925667,5277708,4113184,2171042,-843835,144
2022,9656938,26928,4230266,4732540,1695623,81832,135
2021,8610800,6302,6550235,5352134,1317214,119113,138
2020,7710952,12227,6338093,5576261,885932,124100,140
2019,10713207,48474,6185114,6055604,333343,203833,204
2018,11929714,62828,6770512,6505244,420628,155360,222
2017,11095741,75269,7278847,7066409,352093,139655,221
2016,9741721,23558,8507226,7520375,722483,64385,223
2015,8606623,80458,8444807,7564349,590785,184200,242
2014,8099964,156135,4058197,182036,1649395,196957,238
2013,6960446,281589,816674,243886,684501,322411,239
2012,5947528,185266,1045037,379166,815818,226106,204
2011,5571591,118238,930707,461882,604038,178394,188
2010,4742574,98501,839830,535310,443842,139322,183
2009,4009162,42026,835411,528817,396778,90422,188
2008,4318222,100173,709170,468168,302999,148569,118
2007,2811329,2954,810696,456918,402174,48396,105
2006,2325292,3547,563539,451480,146480,45442,98
2005,1081952,2444,411563,323254,125817,41896,98
2023,119905328,7827979,55770332,31386324,83932055,59402003,607
2022,104242375,10821713,56475403,30457506,77998415,51574024,514
2021,78980205,4607789,46793271,21595915,72539475,47231281,453
2020,62700422,4278453,53778014,22828263,73868262,42623493,471
2019,78875026,24594333,42555447,23599459,60837466,41750040,485
2018,77550333,7137113,47452665,30072114,61313486,43694457,521
2017,77497675,8098091,44892547,30977559,55587584,41357344,547
2016,73471721,8544576,34921958,32448314,40881711,38059254,537
2015,60588204,4222712,31812123,31799915,34718530,34314677,452
2014,54767557,6940217,25946401,30372529,28782001,32544265,423
2013,47435519,6161505,26302206,29298406,26420223,29004049,373
2012,38750330,3599125,25048409,31848970,22702288,29038333,308
2011,33048794,4650070,22605747,30767557,20344541,28236829,251
2010,24397676,2415692,20774132,31159934,14401382,24301045,223
2009,21753333,1363131,19621189,46852771,11088228,37693720,226
2008,22924674,765309,20295901,47773214,9548812,36330589,268
2007,18109140,2442476,7333369,34658260,10474104,37003601,186
2006,15552587,2654023,6744383,37708783,6199080,37617553,178
2005,13102177,3257840,7352642,9492876,6761115,9510901,165
2023,7110971,-1811923,1776449,1575566,848120,612151,68
2022,18911095,22638,1022666,1271499,2678528,2921590,102
2021,21192118,532531,1657672,1527173,4336470,4211334,113
2020,24725522,503892,2216586,1400168,4745907,3942803,114
2019,22359558,-1314736,1382178,1445152,3722545,3801911,118
2018,50956443,887517,5110030,1422700,8907156,5238526,170
2017,64628005,4415037,7087964,1685314,11233122,5844167,177
2016,63433247,4467481,8401247,1949773,12476199,5896611,184
2015,61119181,4156290,5367765,2248516,10134308,6894000,184
2014,66583599,5618541,5935764,2579618,11858222,8356251,179
2013,67274664,5149051,8113416,2891022,13019516,7621239,180
2012,67320807,6542900,10824155,3276296,15296374,7706508,181
2011,58811136,5610338,7816561,3669630,11317789,7134837,192
2010,52711272,3594454,7726733,2809995,9267169,4357818,193
