Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,80408,11181,80619,2404,123908,45693,0
2022,105483,36404,92140,1214,125439,34513,0
2021,63205,9781,78620,2540,74189,-1891,0
2020,39621,11358,51994,0,40323,-11671,0
2019,91505,-107501,46914,750,23135,-23029,1
2018,64451,-63620,34510,11705,107078,84273,0
2017,54608,28573,11574,18910,140604,147940,1
2016,128446,46468,15164,28364,116693,129893,1
2015,86228,57610,39399,37819,94191,93683,1
2014,65346,36182,64456,0,100529,36073,1
2013,45179,16267,66291,0,66182,-109,1
2012,12115,1951,57838,0,41462,-16376,1
2011,3905,-18527,30658,277,12054,-18327,1
2023,12564597,-5550993,20669982,19540317,10390620,9260955,15
2022,17228115,2135012,21775587,19043868,18005695,15273976,17
2021,20291688,3556365,15503512,15699425,17382556,17644244,24
2020,12756110,744029,14493182,15688715,12957716,14214196,0
2019,15089199,1557914,13511364,16767057,12069495,15358487,34
2018,14569044,815605,12483315,12774879,12013706,11577929,37
2017,14606536,2002337,12127873,13411844,10887800,11444430,38
2016,14395774,1925587,10812307,10090903,11263497,10542093,33
2015,12246008,1420068,9596487,8583526,10805767,9792806,32
2014,16572071,2438329,10119661,8961478,9940382,8625312,39
2013,17869156,3888927,7583431,7783664,7996579,7695563,30
2012,12231941,825103,5011087,6695879,3286872,3806635,31
2011,10318844,566588,4385648,4389467,3982346,2981533,16
2010,7031316,307562,5200235,5326956,4147416,2414945,19
2009,6686025,404603,4026941,3632356,3610432,2088626,8
2008,5572150,457113,3125576,2694961,2332123,1608622,15
2007,2983952,173302,2857673,2308025,1701158,1151510,25
2006,3090385,328719,1479327,2589672,897328,978208,26
2005,3203891,348778,1007350,1249820,655724,649486,29
2023,36416217,316985,15551621,7672330,13873065,4400827,16
2022,41264170,684771,10092621,5564146,9374840,4901662,14
2021,38963744,582319,8892770,6764755,7386099,5410164,16
2020,15327494,149262,10093181,6998924,7785271,4827845,15
2019,32780078,545261,10346723,6554894,9145844,5483499,17
2018,38550692,805977,8945087,6407362,7922685,5438238,18
2017,30930639,944673,9174474,5015785,8790951,4632262,18
2016,25805402,1041170,5478133,4757026,5474083,4756344,17
2015,29157907,508176,7868123,3788982,7775738,3715173,15
2014,31424683,1530874,8223497,3413987,7947752,3138242,14
2013,30462312,1430320,7892679,1833898,8942299,2507368,10
2012,24271229,943105,5449643,1160677,6172017,2020153,7
2011,21148218,1215242,2907880,653140,3789854,1677048,6
2010,10878712,733314,3761703,400021,4423403,1061806,3
2009,5876747,370463,3532609,214288,3946813,628492,2
2008,5337849,452093,1895473,126467,2327035,558029,1
2007,1168522,81702,332513,53254,385195,105936,0
2006,766830,10765,302243,59584,264562,24234,0
2005,145618,13269,80610,0,94079,13469,0
2023,3036622,-12668,3036030,747344,5931953,3643267,19
2022,3082778,346222,2721789,768460,5609264,3655935,19
2021,3214509,746567,2444090,820400,4933404,3309714,19
2020,2598365,82972,2317134,880663,3999618,2563147,18
2019,2669429,199379,2231838,936676,3804138,2508976,17
2018,2960151,251871,1645170,1117444,2837323,2309597,19
2017,3149264,32812,2234078,1322313,2913178,2001413,19
2016,3318543,80155,2817568,1558540,3227629,1968601,0
2015,3738607,-120528,3299182,1848600,3356716,1906134,26
2014,3538497,-1760126,5746651,1864748,3712528,-169375,28
2013,3923846,181019,5791212,1935214,5446430,1590751,29
2012,3884160,-379101,5927758,2030233,5093701,1196176,33
2011,4176894,336142,5821806,1814724,5140179,1132933,32
2010,4615822,11053,6551885,2123809,5226083,796790,42
2009,4530163,498430,7905474,2444256,6252912,785737,19
2008,4077460,83250,7105893,2793253,4648398,326048,35
2007,3249735,239794,7159904,3119045,4433339,392480,32
2006,2924803,408661,8189781,3647713,4603883,56032,31
2005,2678168,-14104,9232755,4463324,4416803,-352628,30
2023,16446423,1231911,23512954,28763351,4257940,7371594,24
2022,21047401,3061112,24216694,22173070,11120707,7131116,22
2021,10516962,-378864,18894120,19840412,5364242,4470004,20
2020,8820992,435114,13522995,14895639,5640889,4848868,24
2019,7839446,972272,17720504,15918416,9675177,5386026,31
2018,12485935,1656454,13671960,16923153,4417613,4943755,30
2017,9433343,2010123,25264242,17991909,13602152,3287301,33
2016,5922863,918997,25545013,18838777,11359285,1277177,32
2015,9018835,38098,23250897,19901406,7404822,434498,37
2014,7630593,-372093,21532730,20832483,5010148,396399,45
2013,10951946,-2433021,19822095,23105055,1937886,768492,47
2012,5798329,-762035,25394230,23806070,8913544,3201513,23
2011,7938189,-198402,13421451,9817880,7136143,3624637,9
2010,2491064,68579,9406921,9124106,4050422,3823041,9
2009,8165346,103179,6229339,8529033,1454767,3754461,10
2008,389017,10514,1961466,745039,1427790,211363,0
2007,1000,849,731342,930385,1806,200849,0
2023,1630537,31580,738366,3063183,5554859,7905557,2
2022,3056256,519717,475388,2614598,5704593,7841781,3
2021,2774077,165581,238902,2799369,5268972,7832154,5
2020,1565173,38096,157245,2700062,5146306,7691838,6
2019,3534799,20654,147803,2941929,4907828,7681639,6
2018,2766410,265745,220326,3156472,5182639,7898590,6
2017,5504551,179394,627010,3211709,5934725,7912042,7
2016,4127848,519026,656387,3295564,5731265,7999498,7
2015,4354636,881584,299364,2847240,5877683,7639509,7
2014,9529051,605042,947749,2690980,7007013,7459725,0
2013,11907702,1811031,665812,1946044,6424632,7080874,7
2012,12136461,3613604,1311933,1414236,5367584,5507939,7
2011,6908105,1582573,2691091,852605,4110209,2055049,7
2010,3640507,128788,3453907,687724,3332967,472476,7
2009,4545324,241775,2934330,759959,2268753,338888,3
2008,3603530,21790,2418578,498495,1786407,97113,4
2007,1547796,75123,1552949,533342,1094930,75323,2
2023,336438404,24565084,85283328,69567191,94939224,79373432,933
2022,376239196,-8337172,98241097,121407481,123190896,146490688,910
2021,289382828,2571552,104773261,120210873,139350668,154827860,928
2020,286796150,1443206,92260729,108799830,137189321,153755088,1004
2019,313924886,5375955,82912145,113624778,121803095,152335424,1116
2018,313318276,-5937261,88220999,120169469,115451445,147180119,1034
2017,291570088,15974408,84725406,125366099,127236854,167100563,1115
2016,266950243,8446941,84848551,96041937,134079312,144927152,1137
2015,276589424,1686683,66142938,93559233,110403981,137100419,1155
2014,302808511,23563874,50834753,82829367,125245255,156675768,1101
2013,281912461,3037095,40018456,85119565,79845207,124160457,1081
2012,240003115,11092896,45175858,84480181,78415660,116300564,988
2011,231060622,8441745,43381793,86306654,64104026,105207669,953
2010,229497374,6467474,48674923,78838845,68822803,96765925,951
2009,244904444,29855961,38335685,53468939,77557949,79867127,1055
2008,175756614,12100730,50082694,55482537,65291403,61425993,965
2007,123679755,12708168,61036378,63916304,46445337,49325263,926
2006,97110749,22547677,39433706,51597186,38932380,40821595,805
2005,88666858,12288826,55492444,47456175,33374372,18273917,756
2023,8808814,180664,16088594,9092844,9553766,2569254,10
2022,11562149,1699750,13552946,6464376,9786978,2719690,9
2021,6717793,415595,7233348,2844517,5852390,1463559,9
2020,8210276,1287649,10067201,2841683,8273481,1047963,9
2019,6114453,-1192545,9837735,2793559,6804491,-239685,9
2018,6659122,587208,6737025,2600890,5335845,1199710,10
2017,4823118,80899,5619208,2247183,4409525,1037500,12
2016,4092122,328953,5336700,2551771,3741530,956601,10
2015,2999850,6217,4401703,1476426,3552925,627648,11
2014,2765633,107486,3117835,1106921,2632345,621431,9
2013,2742369,130186,2408169,591397,2330717,513945,8
2012,2307525,42359,1915185,605274,1693670,383759,7
2011,2166135,107103,1247923,539709,1049614,341400,5
2010,1349835,25314,795958,264949,763822,234297,4
2009,1418694,83363,533497,190590,550385,208983,3
2008,1570654,98251,383381,25593,482607,125620,2
2007,606519,66887,144249,29033,209432,94216,0
2006,170666,27245,39467,1932,64980,27445,0
