Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,31575619,2530056,24840396,1049261,29489775,5748532,47
2022,17936525,2020989,8965752,1120478,12418041,4573234,33
2021,8000880,2316689,4218862,849708,5859380,2552245,20
2020,2390465,87644,1002598,531311,688905,235556,11
2019,736365,14082,228164,0,375302,147912,3
2018,518727,210502,24042,0,237340,234425,1
2017,180000,-16077,12779,0,36685,23923,0
2023,7987281,195039,2149984,296676,2998017,1144709,1
2022,33380035,899470,3462094,113311,4298453,949670,1
2023,7482248,1089776,824973,251507,5463498,4892974,3
2022,6719021,1008391,2234252,351048,5786844,3911894,3
2021,5904075,1262338,475201,18140,4914771,4457710,3
2020,4638645,1043557,382156,13403,3564125,3195372,2
2019,3645019,760247,329167,13464,2491005,2174973,2
2018,2608657,523954,269919,12351,1679930,1423324,2
2017,1909433,295762,380349,20377,1259342,899370,2
2016,1586413,184258,470759,35272,1039095,603608,2
2015,1392590,114643,390323,56514,753158,419349,2
2014,1064575,95140,299193,15867,586329,304573,2
2013,757666,38681,179561,25020,364503,211552,2
2012,788099,62950,326695,30878,468688,172871,1
2011,696303,74477,189015,39379,259081,109445,1
2010,249762,25154,55206,7883,82291,34968,0
2009,53394,-172,24152,0,33966,9814,0
2008,74268,7293,19367,0,29353,9986,0
2007,31281,2788,17818,0,20511,2693,0
2006,4592,-295,2354,0,2259,-95,0
2023,240473549,20460564,70514746,43271107,110699451,79038627,220
2022,177098961,7937936,59724351,37254710,82447856,58578063,219
2021,124035638,6511115,60423241,35912617,76611219,50640126,211
2020,101929285,1345611,48951870,32239440,62160031,44129012,204
2019,96168518,1126768,35667673,33597938,45756573,41783282,196
2018,76794481,534931,34068561,33264682,43219698,40656514,155
2017,39541199,264977,15789454,11314680,26837495,22274452,68
2016,50966080,2660819,15109714,9895386,28576981,23009475,68
2015,128200366,10704951,30670072,9847742,43460692,22348655,73
2014,72790872,5594398,19795715,468657,33529320,14143705,80
2013,48078493,3742184,8753328,730671,18898238,10749307,76
2012,52159943,3228601,11787484,709877,19955044,8621423,73
2011,42799180,3645324,11496987,713756,19316536,8392822,80
2010,32272808,2154902,13168178,499041,19171887,6347498,68
2009,22373600,381785,4734247,715855,8433812,4332595,76
2008,30828488,1414047,5194616,634012,9501078,4750810,78
2007,16772403,1011374,3127698,552529,6347096,3750987,70
2006,12418466,1432986,2177447,510491,4463631,2739613,58
2005,6584675,376885,1651981,411537,2613987,1306627,49
2023,23005587,2365109,19396401,17464023,18181657,13629566,77
2022,14023672,1315864,15768906,18860941,12766480,12518448,33
2021,22123873,5968867,14014461,20320268,11259367,13520436,30
2020,15755759,2081535,11100042,11642902,12614343,8601569,31
2019,18627900,3651652,13122904,11566197,8365273,6811566,39
2018,11652888,3893679,1730610,4682358,2181579,5136327,48
2017,5419870,1933329,1403881,2028518,2373737,3001374,28
2016,4303616,1492544,1364503,1479395,2240134,2358026,26
2015,2634190,239403,891927,1069902,2040082,2221057,15
2014,2693774,1596419,740978,707069,2034563,2003654,5
2013,251954,305765,134866,506933,309168,681235,3
2012,473358,292684,278495,231356,422609,375470,3
2011,90794,312,306268,69682,319372,82786,3
2010,312468,10633,243579,69682,256371,82474,0
2009,225180,67023,4493,71635,4699,71841,0
2008,419638,4618,188808,7183,186443,4818,1
2023,7056904,244176,4648347,2733379,8192206,5459943,14
2022,7548374,231785,1268489,1852443,6312299,5287786,9
2021,7064058,225816,1768971,343630,7460859,5056002,9
2020,7966000,277371,3147565,1561723,6469266,4854186,9
2019,9288256,268598,2558050,1743939,5419598,4576815,9
2018,9349858,368461,4510559,1776046,7486399,4724006,9
2017,9299915,388680,5325561,1940094,7768819,4355544,19
2016,8676360,272718,5260846,2121695,7133115,3966864,6
2015,8347135,236416,4481892,2353115,5849974,3694146,4
2014,10215371,103956,5030886,2851438,5663965,3457730,6
2013,7172189,172008,9234391,3203472,9438401,3353775,13
2012,9111086,51359,11700449,2861561,12333917,3211529,15
2011,12065912,103293,15058915,2628249,15590836,3160170,13
2010,11083059,62006,14181259,2330397,14907738,3056876,13
2009,9758577,67745,11244501,1652660,12586712,2994871,15
2008,14008190,514771,5129963,587434,5565332,1022803,16
2007,8290432,507792,6729521,510252,6727301,508032,11
2006,3654924,186980,2611566,224827,2559419,187220,9
2005,2034665,39482,1622104,170801,1491025,39722,4
2023,59811906,4194274,26651560,11730923,23596858,8686192,52
2022,50733026,871218,22113346,7936735,19329679,5162433,53
2021,38148880,314185,18637128,341754,23926885,5632936,54
2020,36806702,768524,12556330,286496,18910554,6670244,42
2019,28717155,722084,14879150,261521,20780169,6251550,37
2018,28086719,40770,17965855,240883,23189833,5529467,35
2017,24681573,92313,13484889,340458,18863183,5615015,46
2016,19741767,118969,12720782,445168,18084275,5777443,44
2015,23976160,1336097,10586546,455555,16300908,5889002,40
2014,16373152,900529,8146148,475243,13176968,5029097,33
2013,13645769,3270240,4683527,357684,9301417,4303244,19
2012,4159442,1186744,2810321,16673,4163819,1303563,9
2011,506805,124301,393219,5556,504483,116820,0
2010,259587,-8681,194428,5077,181870,-7481,0
2009,2775634,496387,39563,3040,534110,497587,0
2008,727660,88232,195651,629,492694,110783,0
2007,119043,21351,12921,3997,31475,22551,0
2006,212278,38685,58969,7365,78618,27014,1
2005,73276,-12871,38027,10733,15623,-11671,1
2023,2827909069,345649661,1141723983,1205207026,1075099000,1159639475,4769
2022,1705908515,147966534,594747838,708315836,706159357,823708967,3423
2021,1220240365,142821905,572062455,542821561,699490232,684016362,2259
2020,936262491,259344928,516929855,414863705,631039060,541194458,1600
2019,458328578,116186992,364681666,196271650,499999229,283552936,1170
2018,231817793,1703408,191655122,89340980,302661078,167365944,913
2017,192163582,394771,178832857,101930385,242375978,165662536,873
2016,206069625,749898,175485697,109528525,250675484,166017663,947
2015,314173365,3383471,137157992,118848583,245055826,168651236,1266
2014,293601547,30030365,63425300,141693510,179824501,195298130,1009
2013,338804149,43567075,89586672,167477349,193518991,208834840,1207
2012,549761129,73510148,86246396,211480467,130293934,251532891,1364
2011,572444536,124714073,72926916,238712090,137241492,302736816,1293
2010,419721027,96703862,75099123,198925133,169827254,295372885,750
2009,645164746,158901796,183590343,149536124,358439240,324749852,452
2008,441828063,172215769,172543826,126758309,283354644,238063825,317
2007,114410656,10235908,105323775,139447934,31723897,65848056,301
2006,203570859,52932989,64151139,95927808,17410771,54124665,156
2005,131133829,47603625,112256995,54724488,106307223,48795301,162
