Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,30456002,880853,11658881,25077385,12636236,24943708,123
2022,26347224,-5108064,15004895,22440727,13757739,19815337,140
2021,37689339,292914,12096555,24537835,14042554,24923400,148
2020,26413977,-234264,14351162,23965970,16763585,24630487,165
2019,30737340,-760243,13263457,24840866,15318094,24864750,182
2018,40824006,430928,16570512,25664823,17789877,24660589,191
2017,36311957,-2283152,17265885,27138495,17169391,24695945,228
2016,33754051,264942,14076560,26793469,16569059,26979097,240
2015,36518924,1613475,15334049,24501309,19415950,26175939,223
2014,27315321,511880,11941900,20722345,16231475,24562464,218
2013,25016240,201547,12349041,21406174,15491517,24092635,212
2012,18806383,84362,11077503,22405235,13387498,24252882,206
2011,17280975,157190,7856249,21506290,9588144,24168520,183
2010,11434400,-1267271,5734320,22118577,7126599,24011330,179
2009,9469823,3786,5847508,22453580,8650305,24905846,186
2008,17337035,314816,2767253,21933429,6224724,24902060,256
2007,16778521,-9542684,5680414,18535006,4232652,17087244,296
2006,21576589,-2759477,8507657,8081558,5795484,5411845,398
2005,28722291,864422,10543374,9874611,9976926,9389405,592
2023,687532,-40562,60360,347863,239608,527111,10
2022,690610,146626,59106,368628,258152,567674,12
2021,664010,18565,262356,394928,288475,421047,10
2020,770313,-56285,252997,427598,237995,402483,18
2019,1382491,-115735,305183,447897,340335,458770,24
2018,1309264,-16440,317380,478107,447975,574506,23
2017,1414981,-97506,356363,512218,483452,590945,22
2016,1266156,1782,305750,570063,486666,688451,27
2015,1507016,10425,311906,629333,445936,686670,27
2014,1396956,135,303981,679925,401828,676244,28
2013,1470688,663,386243,743789,434257,676108,28
2012,1263866,176,496148,791074,491465,656770,27
2011,1494903,809,517160,859785,806645,1149602,27
2010,1313671,3142,377985,483867,750817,857055,25
2009,1927873,8892,314921,476542,771901,856614,34
2008,2875364,22894,397230,530846,791014,847722,39
2007,2729823,19837,576765,369922,1031671,824828,53
2006,2537175,29244,462947,408073,854615,788128,61
2005,2511641,50638,424660,457915,717539,758885,53
2023,11536058,792645,2533558,4431377,4019802,5967983,28
2022,15695979,1471316,2160922,4292032,4473585,6646654,29
2021,9706207,832074,2960330,4496082,3602502,5175338,25
2020,6636195,436084,2931110,3725196,3106190,4343264,20
2019,7077016,631567,2979826,4298267,2921408,4276933,23
2018,6799206,561835,3521734,3426014,3658462,3645366,23
2017,6075731,454226,2007668,1728784,3302374,3083531,22
2016,5185500,421383,2027317,1711324,2871684,2629305,20
2015,4393923,308421,442117,1849694,2501389,3948140,17
2014,5007465,472304,334132,1654883,2353444,3850676,18
2013,3920097,335419,420754,1799777,1992884,3463585,16
2012,4265803,190024,468820,1991487,1702945,3262696,16
2011,6067432,432489,1126467,1346809,2045370,2350047,15
2010,4201063,92142,1547938,1505433,1845784,1917558,14
2009,3840576,54317,1489875,1574530,1690656,1825416,19
2008,13659043,78851,2820555,1787667,2577051,1771099,51
2007,7971164,231529,2078691,1746477,2024462,1692248,56
2006,6093392,281311,1187171,1154445,1491913,1460719,50
2005,6963188,149892,1569080,1051449,1697739,1180108,68
2023,1039217,133045,527478,16109,677082,182756,5
2022,1011391,73271,454262,19770,1285550,868101,6
2021,844457,20383,427100,32053,1172834,794830,5
2020,952064,-6600,460821,48611,1169614,774447,5
2019,898997,27089,449222,75308,1154960,781046,8
2018,803765,35454,462079,96272,1112667,746860,8
2017,873592,130543,481896,74597,1118705,711406,7
2016,745458,72455,524555,47669,1057749,580863,7
2015,770609,100063,634575,90760,1045109,508409,6
2014,842642,150543,718735,149655,970360,408346,6
2013,752377,95325,703497,111444,851992,267005,6
2012,745977,72219,743791,77583,836268,171680,0
2011,635329,80252,851233,48093,900637,99461,5
2010,649133,121747,909291,52218,873779,19209,4
2009,548294,-113091,1023067,91911,825171,-102538,5
2008,881422,18368,1061918,133095,932627,10553,9
2007,633663,-71578,870689,112651,750224,-7814,11
2006,697065,-19791,836874,130815,761705,63764,9
2005,714598,-26207,715670,85724,685595,57815,6
2023,6015283426,143179593,1808288710,1320479089,1435719298,833319460,8813
2022,4879212343,-164560738,1735970503,1259502945,1235004387,690139867,8532
2021,3889706735,-29853044,1111022331,1074119190,933474945,854700604,8644
2020,3411285047,-48935577,1089602009,916007866,1028602311,793722559,7910
2019,3899389767,4083059,737342058,923064683,929620951,1081593135,8581
2018,4001567964,160278637,756820564,885176571,976565044,1077510076,9403
2017,3921743766,113033875,812644895,804815825,887360577,859910391,9758
2016,3543715060,113988718,748936203,713951441,801103948,746876516,8961
2015,3051791239,94320935,652839167,610043894,692990707,632887798,8124
2014,2439910191,52153663,520101294,440414257,603691200,502733506,6893
2013,2119419540,66463038,443113505,387615076,528528468,473003343,5333
2012,1894716682,129830704,372703484,354513102,512091643,495114306,3713
2011,1911619925,160959700,360049525,258339079,538015320,431429865,3101
2010,1617456226,147299071,403101310,283845269,395686968,270470164,2798
2009,1164287243,28982841,514443479,299716573,336943105,123171093,2476
2008,758062651,-7534903,372901448,303883993,149964063,82953554,2071
2007,341029696,16686502,260457913,232536711,118409659,90488457,1344
2006,133804412,3172956,143434314,149767530,66528252,73140225,1099
2005,46365019,-4590418,64352848,86911248,25278007,47915710,532
2023,12665872,4272660,4288397,10275997,4952551,7927765,102
2022,9485297,2604421,9566605,10780560,5643788,3655106,112
2021,10213691,3185616,4302986,10892605,4685883,7742615,116
2020,9404098,3599542,5179206,11276417,5730684,8104757,120
2019,12268588,3758242,5609298,11363431,5116252,7036267,81
2018,12217073,3892787,2378887,4673668,6080163,4540826,47
2017,9456225,3008401,3686190,2299481,5056957,3670248,48
2016,8357155,2222594,3849517,2128668,7024671,5303822,49
2015,9892146,2419381,1672014,958638,5122546,4409170,46
2014,7967043,1804022,2885507,1029964,4009520,2153977,43
2013,5503895,975358,1048324,519866,3017840,2489382,71
2012,6054152,990395,811111,569175,1880960,1639024,61
2011,3329290,43855,311597,381444,560198,655045,35
2010,1639800,17755,306776,377941,501836,573001,21
2009,727356,1783,325501,416129,464618,555246,10
2008,893838,348367,273583,450819,376228,553464,15
2007,778167,307787,392867,459601,90638,157372,9
2006,567373,44067,806150,588626,60342,-150415,15
2005,591438,-357406,863706,625021,29233,-194482,16
2023,13545193,1133376,947262,2602028,2509806,4164572,190
2022,7623480,1102836,1486875,2105664,2912064,3530853,108
2021,5472531,1116127,365317,1275804,1704132,2614619,70
2020,1296296,496251,312965,114962,695454,497451,15
2019,848367,43393,670030,44555,670068,44593,0
2018,1269938,477694,828204,44555,1239325,478894,0
2017,1150961,417778,690452,44555,1064875,418978,0
2016,1095871,451276,134487,44555,508991,452476,0
2015,905734,619500,103881,0,817372,713491,0
2014,900622,544487,107160,0,846618,832409,0
2013,358877,110434,154133,0,162931,287922,0
