Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,41889,11144,14655,6286,6781,-469,0
2022,59019,36579,57852,8505,37735,-11612,0
2021,30895,15622,56707,5804,2712,-48191,0
2020,35906,473,81575,10242,7520,-63813,0
2019,31336,18142,100774,12431,24056,-64287,0
2018,11566,-45464,91851,1558,7864,-82429,0
2017,6677,-37165,44246,2750,4531,-36965,2
2023,11530599,28707,1638051,3689166,3858574,5752514,84
2022,12000347,-455137,2282504,3959489,4277802,5723807,90
2021,8815204,-1083841,2361058,4465967,4746048,6778947,89
2020,15140556,1020861,4225731,5092687,7356178,8062785,113
2019,12314738,214978,3586786,5726973,5427177,7284029,137
2018,12751600,1143215,3020553,5628966,5228056,7369051,132
2017,11159680,857855,2389324,5856765,3420388,6226537,129
2016,10287763,952224,2151611,6181612,2815971,5993882,115
2015,10168209,1534948,1450734,5205724,3339220,5950858,114
2014,8489827,1255544,1322171,5576435,2289831,5115010,101
2013,6814405,1479883,1199057,3269161,3377326,3860850,93
2012,6131357,1179964,1297096,2469948,1785865,2380967,78
2011,5341859,943438,1773541,1851247,1756151,1201003,70
2010,4186162,338827,1580126,1843985,1124030,640692,67
2009,3716507,943176,1078197,1165238,1241749,1256014,59
2008,3392417,476372,867883,1170677,581865,798858,65
2007,3070516,702780,871463,1027189,788032,943758,85
2006,2424374,545333,1477812,1074648,775638,282816,88
2005,1881448,421429,636933,893658,485329,752319,99
2023,245046307,219170,181956567,187891962,74425648,75865292,"1,150"
2022,229133652,2937339,178326762,170322311,88061496,75646122,"1,109"
2021,176048984,-3796865,150960763,156985873,71913095,74166580,"1,067"
2020,190518680,667760,146051899,150451305,79686761,77963446,"1,192"
2019,161950220,2746037,132538564,146450906,69912189,77295686,"1,155"
2018,156495479,2669766,110216537,144269199,48949102,74549649,"1,215"
2017,144824727,-1890742,106952885,150293214,38647767,71879883,"1,005"
2016,146537257,-2228905,106213751,149660330,42088694,73770625,"1,343"
2015,153553776,2599441,80528315,127247283,42884230,75999531,"1,344"
2014,141745398,2794696,77830049,131207738,35400476,73955280,"1,331"
2013,118434126,1805241,72561026,129499844,26690459,71160584,"1,057"
2012,119025318,1891631,69151294,100893585,37613052,69355343,995
2011,88299960,1911690,36385824,76649092,27477038,67463712,876
2010,70113406,1470382,15186270,64781842,16129760,65552022,919
2009,57532020,59624,53464905,63320821,13804723,23660639,902
2008,52364685,138834,67811243,62246708,16286230,10721695,"1,499"
2007,14810433,-920976,39375271,28895527,10125105,-354639,412
2006,5006088,435500,13333592,12914167,1121537,702112,175
2005,365485,91612,5303625,2962642,2607595,266612,27
2019,-18263,-653203,46183,113570,459442,526829,1
2018,528646,3241,103081,258027,1025086,1180032,15
2017,719776,3244,130722,258027,1049486,1176791,18
2016,794117,-12606,130988,262133,1042402,1173547,20
2015,973642,122769,95521,315996,1065678,1286153,18
2014,1029200,195087,68408,200178,1151614,1283384,18
2013,911771,160235,113157,178222,1083232,1148297,18
2012,955828,245735,141314,148123,1041248,1048062,18
2011,583104,19136,153226,158620,796268,802327,18
2010,644717,41519,153741,200868,730743,783191,20
2009,820586,114947,198675,224800,703260,741672,20
2008,971318,262278,215149,269808,551467,626725,20
2007,595989,79034,173454,190698,347203,364447,13
2006,553978,163647,205906,231134,243841,285413,11
2005,279120,70421,110828,88891,135993,121766,9
2023,737101,3016,177913,292996,196476,311559,9
2022,703152,3274,160329,188517,280355,308543,9
2021,795712,146811,67702,181446,222051,335795,10
2020,681715,85566,186041,185175,188653,183326,10
2019,647950,57332,265424,190714,176931,97760,10
2018,212979,26930,341206,197776,209469,61578,10
2017,498723,82260,362756,209784,213887,56454,9
2016,470302,2773,397800,231108,145347,-25806,9
2015,480087,4237,511643,226176,117664,-172264,0
2014,428692,4645,428897,162514,94345,-176499,7
2013,509288,4236,322076,238517,158859,73849,9
2012,518859,42155,335462,254728,157230,74996,10
2011,517127,6363,549084,265671,126742,-158171,11
2010,523019,-32080,515759,212573,138405,-164781,10
2009,486794,-46844,628541,333984,136049,-136174,7
2008,753831,-29960,642734,533253,188830,101683,13
2007,763632,51214,210300,443387,-108443,124644,10
2006,526057,6882,213711,156854,89381,73429,12
2005,444885,49958,250445,186317,89769,66546,9
2023,4618109,581281,1287260,780646,4413189,1227862,60
2022,4147168,912039,1947659,856045,2835415,1343278,45
2021,2931017,583618,1493915,954822,1780806,1073349,45
2020,2747041,458284,355399,1143937,1205510,1703017,50
2019,4759023,518465,575951,1340758,976551,1365493,60
2018,4493092,777389,844439,1122701,1459283,1454734,54
2017,4564849,1073214,912232,1144836,1701228,1490796,70
2016,4661489,1288971,1090656,1211752,1646825,1328395,54
2015,4494779,993300,1476969,659625,1900090,1082746,47
2014,3728945,83812,1879972,726489,2053062,899579,45
2013,2742408,121734,2888063,674577,3164031,950545,41
2012,3842514,217826,2629272,718285,2798627,841311,37
2011,3432684,167743,2825666,851978,2781309,743484,37
2010,3320512,106242,3215798,940860,2910680,635742,32
2009,4457651,102757,3434643,1064560,2964583,594500,33
2008,6165212,226534,3627987,1212256,3004398,588667,45
2007,7737712,78086,3176449,1338652,2203882,366085,120
2006,10706168,224446,2939092,1659538,1508574,304406,158
2005,6402301,149185,321349,197931,719181,160056,29
2023,12151107,1229533,4589992,4689208,4310107,3464294,63
2022,7044931,387588,4760081,4117931,3809699,2222520,60
2021,16951525,233910,5696787,3982897,3858040,2150566,63
2020,9075758,227344,6225569,3892164,4673895,2149962,62
2019,8495817,379398,2387561,1567088,2791330,1922619,74
2018,4839301,134656,2735353,1741310,3277736,2083546,77
2017,6559685,211467,2198408,1869483,2721183,2048891,73
2016,5073696,175555,3207549,1811361,3718700,1790367,69
2015,7564049,264741,2409610,919319,3449734,1614811,69
2014,4085510,133828,993694,703487,1808614,1350070,62
2013,3439059,159930,1441897,777872,1871096,1207071,61
2012,4035992,55201,2269975,709745,2607372,1047142,43
2011,3430213,87268,2290009,1109104,2129921,949016,49
2010,3282809,193042,2650358,1283554,2381606,1014802,51
2009,3922864,98407,2887232,1281263,2427729,821760,68
2008,5396519,45200,2766677,1345240,2144790,723353,67
2007,3722441,161282,1692300,848137,1478403,634240,62
2023,72586912,12828743,31213507,30999931,36349687,35954899,279
2022,60555080,10632569,30614423,29665125,24360678,23408280,273
2021,58981654,14924209,23938098,24190470,34927569,35183430,263
2020,39113176,6464214,16318861,19993281,16799420,20469747,263
2019,42451934,4337967,17636376,20298856,11350879,14005534,290
2018,37019572,5115509,5647996,18469196,8385495,21145394,288
2017,31236899,4991849,9526894,18938052,6786425,16029886,269
2016,28690537,4882948,15088007,20023996,6381788,11038037,270
2015,23677777,2609168,8609371,18510544,4079892,13685331,258
2014,18525905,1936402,12376506,19032757,4818487,11076163,260
2013,24047651,1209201,16476385,20090287,6211853,9333245,295
2012,20527135,796304,17145981,20498856,5372195,8124044,245
2011,15936972,1182546,8503208,6970720,7863826,5624912,188
2010,11981870,162957,1274624,1251786,4391919,4458436,174
2009,12234318,1036179,1122497,1393696,5075041,5331658,170
2008,11753990,634457,1752279,1790926,4476635,4555772,174
2007,11164908,-358068,1704039,1471705,4520979,4288645,201
2006,7283564,584393,664798,1824548,3839919,5000669,200
2005,7802610,332938,1152880,2430817,3053153,4475349,190
