Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,3285179,252401,1249007,2698194,1946886,3020426,11
2022,2896050,646290,868520,2762901,1218491,2768025,15
2021,2632500,634372,996498,2185928,1351535,2121735,16
2020,1869519,165759,922916,2408141,494121,1487363,17
2019,2758812,380158,694120,1922505,706796,1321604,15
2018,1334123,36015,518345,1510334,656924,941446,13
2017,1306405,95284,158128,512236,1294967,905431,9
2016,1325431,155005,73210,515497,513460,960147,7
2015,1436610,265154,138979,610047,340200,815668,8
2014,675667,99705,51765,387930,219728,550514,7
2013,622114,128444,56754,369879,229999,500809,8
2012,653173,118348,69583,226370,215578,372365,7
2011,408232,198791,16823,244114,26726,254017,5
2010,291070,55026,308913,80322,283817,55226,3
2023,64811260,19379689,6794359,57108852,9854965,60175469,142
2022,63072283,24299835,2573190,38606838,14147688,50199781,119
2021,37209015,12773291,1237317,28513747,12659641,39851865,103
2020,30121924,7513802,2241266,20508677,13054736,31326129,95
2019,36378223,11271311,1982244,12447043,16879292,27352369,109
2018,21069291,5827670,2143300,11283281,9100570,18301383,100
2017,19439438,5515120,1601452,6048456,8688331,13135212,87
2016,14483556,2798242,2812216,3833477,6675355,7620092,77
2015,14448040,3286874,3191218,3631355,5074736,5421051,63
2014,8552927,1075582,5195985,2699728,5064552,2481731,50
2013,6180582,798545,4382899,2471366,3366483,1406149,36
2012,3615728,654829,2783747,1706700,1684650,607603,25
2011,2373533,376967,1543836,1191354,917634,565152,16
2010,1419279,9726,656444,339442,504950,188184,8
2009,398485,-108711,277473,125308,330624,178459,1
2008,321147,194866,25444,34702,277912,287170,1
2007,116058,92103,2529,222,94610,92303,1
2023,1779214,67356,1216213,2737689,1143095,2203776,10
2022,1942050,372768,1476460,3157671,1062788,2389972,10
2021,1590093,268909,1488438,2905045,1228992,2164568,11
2020,1667475,422130,1556615,2923955,1366498,1895073,2
2019,2025776,869873,1925910,3416572,954253,1472943,10
2018,670133,140852,416637,1765637,376796,619070,5
2017,461378,88549,142315,318272,302261,478218,4
2016,373545,77986,62186,313161,240694,491669,7
2015,391560,27541,182463,372373,234321,323633,5
2014,472542,78782,171066,413127,179629,306092,5
2013,341423,110235,216557,329656,329512,227310,5
2012,300291,124289,156317,365673,146146,117075,4
2011,78457,9598,199683,391500,62472,-7214,5
2023,1110140,628628,73438,215017,531022,676898,5
2022,1156199,661551,70633,264171,513075,709821,4
2021,1141499,669285,66418,266530,514516,717555,4
2020,793376,427578,51697,226141,299511,475848,4
2019,826858,391366,93094,301464,229251,439636,4
2018,813650,356287,295398,448706,249476,404557,3
2017,754850,341416,47837,199527,236868,389686,3
2016,566145,203632,127371,153400,252079,279580,2
2015,618005,198707,64440,114129,223737,274655,2
2014,417482,139533,92389,104271,202293,215481,2
2013,353446,92673,53603,33001,186340,168621,2
2012,426476,111325,65786,33506,219268,187273,2
2011,277788,79050,99935,54853,199705,154998,2
2010,170055,11488,118540,89950,114623,87436,1
2009,279244,75605,182454,170947,164016,153292,2
2008,292460,35029,314606,274152,118140,77686,4
2007,105469,29417,19262,12442,49477,42657,3
2006,141113,877,31521,17698,27940,14117,1
2005,334253,33347,78038,32294,92331,46587,1
2023,5311345,1902500,902621,3558658,2569940,5263856,17
2022,3745581,765060,394633,2552031,1339483,3513529,11
2021,2586804,1133780,336942,2123685,1564234,3361627,9
2020,2416069,1188753,399999,1583438,1402553,2591929,8
2019,1347882,216023,405242,1259512,1011738,1870545,6
2018,1137870,332428,243141,1016041,921226,1695680,6
2017,1000464,558089,236586,1097211,864375,1725565,6
2016,762436,260896,405948,1166423,808838,1582107,5
2015,778504,333411,497997,1043183,806047,1360159,5
2014,695243,196400,704388,965887,731281,1001055,8
2013,585337,125524,833801,945606,689337,809417,8
2012,379279,40667,958127,932819,700926,683893,0
2011,465861,15491,971658,974613,633606,644836,10
2010,558076,9570,1004891,953216,687389,623912,10
2009,451616,3933,1039274,988494,681814,614343,11
2008,549125,3620,982171,530099,745266,254265,9
2007,693447,4949,969570,485602,734612,250644,10
2006,625296,10443,627416,447543,528891,245695,9
2005,798564,170035,672851,566011,473465,235252,7
2023,15663730,1499328,1601871,3114747,6558687,8194462,59
2022,12429532,1160896,1311697,2978520,4949503,6695134,54
2021,10242043,1255983,1829636,3268314,4072485,5534238,49
2020,8809334,914363,2414067,3064514,3593108,4278255,46
2019,8346533,420361,2806333,3343043,2809768,3363893,42
2018,6526521,126411,2500050,3193074,2192978,2943532,38
2017,5719186,117984,2762103,3436156,2103177,2817121,35
2016,5363286,97344,2509537,3154971,2112208,2699137,30
2015,5040686,32833,2538263,2991277,2230309,2601793,30
2014,5000804,-239089,2450393,2781887,2323688,2568959,0
2013,3797033,-82782,2353696,2821885,2313187,2808048,0
2012,4085694,115229,2599332,3181212,2286035,2890830,28
2011,3351995,-648488,2151837,2786386,2020437,2775601,27
2010,3422187,-3567498,4305571,3002571,2051896,859213,28
2009,6790129,-1633116,4658894,4500269,4296335,4426711,57
2008,11170167,842375,4841734,4236079,5474777,5219831,70
2007,8860774,1770470,3634163,4147645,3763954,4277436,61
2006,6453418,1170638,2339038,2153842,2571533,2506966,50
2005,4359950,757002,3071076,1975615,2287947,1336328,48
2023,2545193,489553,309449,1805503,964578,2460632,15
2022,2966550,575330,264609,1379452,921453,2036296,14
2021,2332725,591144,573854,1096350,1043750,1566246,13
2020,1752476,518676,240711,288132,1074681,1122102,11
2019,1418986,164142,171695,294270,480850,603425,12
2018,1320350,160114,429458,342317,526425,439284,12
2017,1646493,442858,563945,390096,453018,279169,11
2016,1070869,-18415,787549,282696,341165,-163688,14
2015,778561,-289532,737980,358014,234693,-145273,15
2014,835201,-119735,507783,397735,254306,144258,16
2013,823314,-161151,455147,349662,369478,263993,11
2012,1159608,321469,255824,314455,366513,425144,14
2011,737990,112722,185375,60641,228409,103675,8
2010,55719,-9247,116076,42617,64412,-9047,8
2023,9069295,1581227,1279326,1921288,1861384,2555154,36
2022,8635281,1222733,2140367,1350183,1956972,1223933,37
2021,7937382,1334358,1214007,1257717,1861670,1943770,39
2020,7361818,1223852,827334,889310,1784474,1869934,37
2019,6565989,1102320,871377,657670,1668398,1488187,33
2018,5589911,984659,1032237,775290,1253433,1016597,31
2017,4053879,490732,848320,506221,927351,605631,26
2016,3559270,404752,913661,559797,834972,501471,23
2015,2756745,111539,460044,184701,688280,427585,20
2014,2731704,333547,231450,166966,625434,575253,21
2013,2811801,334241,193983,218336,674655,712695,21
2012,3040953,406464,308509,498090,798530,1003595,23
2011,2864642,181461,361809,851837,799556,1300209,22
2010,2707463,43648,351565,1429956,712800,1803759,21
2009,3794394,1131645,1171572,2037347,1009447,1898634,21
2008,3468957,1571543,1968731,2637627,869455,1572743,15
2007,568101,173625,1057378,895744,334467,172833,5
