Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,416113,30179,31667,0,65556,33889,4
2022,39775,16880,37849,0,54965,17116,0
2021,28152,16186,1018,0,17314,16296,1
2020,0,-90,319,122,307,110,0
2023,114709,29957,29527,25000,30924,26397,1
2022,8750,-4560,56555,25000,27995,-3560,1
2023,28577,3142,875,0,13996,13121,0
2022,18482,316,132,0,9432,9300,1
2021,29110,5934,595,0,9578,8983,1
2020,25588,3489,1200,0,4250,3050,1
2019,42952,13968,748,679,14237,14168,0
2018,31645,7942,394,679,7857,8142,0
2017,17219,6361,384,374,5092,5082,1
2016,6247,-1479,1511,111,121,-1279,1
2022,87748,63593,324087,13468,1383959,1073340,1
2021,129614,4028,331053,13468,1327332,1009747,1
2020,134134,57811,306967,13468,1300361,1006862,1
2019,593528,258108,340633,14094,1275590,949051,3
2018,653819,172848,269365,14129,946179,690943,4
2017,1473568,515159,310597,16226,805766,518096,7
2016,814977,228676,133131,102,412471,279635,7
2015,499724,103774,191643,657,381945,190959,3
2014,396317,99217,124960,1054,264662,140756,4
2013,209755,386,137745,1872,177740,41867,5
2012,201309,40013,115179,0,156332,41153,0
2011,78919,5902,48287,1235,48192,1140,3
2010,60964,-4982,35125,0,30343,-4782,0
2023,144624,-3738,117404,427674,38869,351339,1
2022,257603,-83820,119777,442385,29970,355187,1
2021,631901,-67322,123237,467175,89224,439007,6
2020,681722,-26160,123329,506161,119100,505988,6
2019,1079558,53605,74142,535309,170503,636885,6
2018,698886,-74818,82137,555087,128651,605166,9
2017,648648,630997,125688,558768,244918,679984,10
2016,506829,60682,203748,0,253581,51987,10
2015,648615,-16020,185367,154,174894,-8694,10
2014,727532,178790,174540,3487,177828,10412,10
2013,691449,-180165,321528,16540,133232,-168378,12
2012,1155475,-77098,184390,45737,138911,8700,13
2011,1195409,-142933,212507,79049,200632,85799,17
2010,1387145,158537,163757,133127,240904,228731,16
2009,1725268,765007,333856,176511,948613,800194,10
2008,565812,-512,209434,197822,42295,35187,7
2007,306719,20775,195150,174267,56582,35699,5
2006,46601,16405,17157,353,31561,16554,2
2023,2490468,1126771,355589,91526,1575530,1311467,4
2022,881608,-133282,289801,-28417,976124,657945,4
2021,1216643,47653,340141,44315,2059380,1843858,4
2020,905442,-80338,361916,105203,1970412,1796205,7
2019,3444872,1915576,668836,204539,2310631,1926543,11
2018,3347683,1357743,475559,305130,1448049,1358033,8
2017,1866393,665581,345181,48183,810535,516883,5
2016,717258,126590,323659,31453,143508,-148698,4
2015,217885,-29561,406507,55452,75767,-275288,4
2014,491535,87776,467117,29705,191635,-245777,4
2013,219586,4909,419181,46465,46926,-333554,4
2012,193474,-78076,483934,63225,82247,-338462,3
2011,93333,-60417,305765,2156,43222,-260387,3
2010,33175,-29058,222249,728,21551,-199970,1
2009,77976,-32488,180628,1721,7995,-170912,1
2008,57858,-91208,143727,1764,3539,-138424,1
2007,0,-52873,60437,8834,4387,-47216,1
2006,31883,5457,828,0,6485,5657,1
2023,167110,645905,60691,172754,890037,998400,5
2022,231154,-271276,43433,161569,264309,357245,5
2021,224954,202570,41150,172293,518578,628521,5
2020,252094,-214120,74731,182826,312080,404175,6
2019,287008,24038,137419,194013,582145,619295,8
2018,350856,-227963,128370,220878,520289,596997,8
2017,374142,-126863,125285,243044,719108,825260,8
2016,413863,-135321,148946,899138,263696,999616,9
2015,402726,-147070,143385,931271,364958,1136087,9
2014,378478,5296,159365,963806,503107,1292615,9
2013,383017,583609,359818,995850,677893,1302425,10
2011,924128,66392,371820,1115831,240320,935052,16
2009,2532036,501015,812725,1603988,644211,1254087,28
2008,2519048,339838,890233,1678481,390523,1054829,34
2007,2222174,251386,1431580,1695615,464482,728517,38
2006,1701998,449681,1462612,1596579,710809,811471,37
2005,1595316,109238,653522,639562,545964,509522,38
2023,337889,145063,317220,499872,295336,477988,1
2022,350351,322577,61501,3572,390854,332925,1
2021,2222,-11928,70,6303,4115,10348,1
2020,6843,-41421,3920,9034,97162,102276,1
2019,53752,71762,5228,11765,177640,184177,1
2018,367039,164902,68995,0,181310,112315,0
2017,56143,25971,107899,8283,63964,-35652,1
2016,93631,-59669,141112,13325,66165,-61622,1
2015,157890,20462,85106,20726,62426,-1954,3
2014,158477,45687,92298,8178,61704,-22416,2
2013,111166,-60409,128046,12702,47241,-68103,2
2012,80420,-12327,43489,9312,26484,-7693,0
2011,82419,21617,23673,1713,26594,4634,0
2010,52161,1647,29852,2795,10074,-16983,0
2009,4450,-19995,22694,72,2927,-19695,0
