Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,994771,310348,104481,33891,328161,257571,1
2022,500739,-93827,193942,86389,54776,-52777,2
2021,2254276,1534536,239445,283850,1531181,1575586,5
2020,2336545,969240,1172856,1505015,678131,1010290,5
2019,1313564,248030,1582232,1599615,538741,559133,5
2018,1135704,808300,1214599,1435198,629505,850104,2
2017,735953,146909,1598142,1502595,284260,188713,2
2016,445255,76434,275711,120352,273596,118237,3
2015,251773,-5417,105867,55260,217411,166804,3
2014,470465,128148,98124,58989,211356,172221,4
2013,351347,52585,138236,55575,176734,94073,3
2012,197719,38197,42318,0,129807,87489,2
2011,62788,32074,7313,0,56605,49292,0
2010,0,-3249,2765,0,19983,17218,0
2009,62922,-20583,9875,0,30342,20467,2
2008,117654,31020,3819,0,44869,41050,3
2007,102443,9830,4490,0,14520,10030,3
2023,2714697,417773,704196,59963,1235676,591443,1
2022,2930397,556464,334015,133314,938462,737761,1
2021,2532000,593937,386754,190362,798741,602349,0
2020,1657425,322890,369431,252933,580729,464231,1
2019,1630750,431627,58715,1937,488645,431867,2
2018,541721,99056,83657,3587,154415,74345,1
2017,0,-24911,24911,0,200,-24711,0
2023,0,-9235,51965,5323,25686,-20956,0
2022,0,-31379,46473,9050,25702,-11721,0
2021,26092,-18628,34399,27581,26476,19658,0
2020,17604,-25249,21492,42639,17139,38286,0
2019,10270,-43892,20000,65000,12655,63535,0
2018,123240,70455,27537,48144,67936,107427,0
2017,61515,34473,1117,15601,22307,36972,0
2016,23211,-756,4024,0,6431,2500,0
2015,13651,-430,0,0,3256,3256,0
2014,27735,-484,128,0,3814,3686,0
2013,20860,18060,331,0,4501,4170,0
2012,12373,3504,13907,0,17,-13890,0
2011,3075,-1018,17878,384,100,-17394,0
2010,9180,2826,17555,1111,68,-16376,0
2009,1890,-8863,22779,2846,731,-19202,0
2008,22497,-1495,17018,4198,2481,-10339,0
2007,0,-9044,9795,664,287,-8844,0
2023,259167,37115,200473,441996,62094,297708,1
2022,272487,30673,320008,494919,85682,260593,1
2021,1064109,120334,139746,556420,161646,582973,1
2020,3678803,253061,519362,386653,763843,631059,4
2019,3027407,178348,752863,425486,748610,420104,4
2018,2084148,110813,607592,446919,438832,275771,4
2017,1831771,29918,659364,433361,391276,164958,4
2016,2236217,102359,671525,479353,410193,219252,6
2015,1752841,6962,617040,473845,346633,202291,6
2014,1781769,6879,655040,510800,342657,195329,7
2013,1168196,-120907,706703,483229,400797,180033,6
2012,2110093,1816,564689,483689,378396,300940,6
2011,1924941,31189,480474,402936,374847,299124,6
2010,1881390,45682,760490,445743,563980,249233,6
2009,1288817,-311707,816161,506764,512949,203552,6
2008,3926856,2511,863918,590733,788444,515259,8
2007,5259205,339476,1501880,521680,1492615,489967,7
2006,2984320,108417,858052,494188,642757,210016,6
2005,2203631,57479,614407,182883,515640,85813,5
2023,168083,-10950,744623,71520,95067,-578036,2
2022,194311,-61154,669285,53034,48507,-567087,2
2021,220961,-20723,709971,124150,72049,-505933,5
2020,107573,-107325,634449,118334,22466,-485209,7
2019,328423,-53333,594369,147419,61873,-377884,7
2018,284971,-119775,558759,191602,24952,-335706,12
2017,288974,-116740,414585,165042,29041,-217035,8
2016,266151,10968,466213,154025,216544,-100295,6
2015,142346,-62008,274606,140032,23312,-111262,5
2014,46227,-58581,75939,10990,15694,-49255,3
2013,99811,8216,9496,3615,15000,9326,3
2012,25892,900,12790,4706,8682,1110,3
2023,42735,18161,1656,0,49665,48009,0
2022,38085,18250,307,0,48405,48098,0
2021,37155,19225,0,0,49073,49073,0
2020,28390,7345,5082,650,41625,37193,0
2019,28437,3104,44,3250,29747,32953,1
2018,44387,12698,562,12518,30592,42548,0
2017,54618,6563,628,16667,20372,36411,1
2016,54022,17215,4156,26667,24553,47064,1
2015,39862,15656,8421,36667,1603,29849,1
2014,25020,1719,1367,0,15560,14193,1
2013,27937,866,1114,0,13587,12473,1
2012,23213,276,1022,0,12629,11607,1
2011,20196,145,28,0,11359,11331,0
2010,18334,-15899,0,6858,4328,11186,1
2009,18039,-17509,808,21293,6600,27085,1
2008,51199,2193,3931,35725,12800,44594,1
2007,38697,-8085,8393,42507,8287,42401,1
2006,47791,7596,862,54771,4173,58082,1
2005,35171,-34,20801,67037,4182,50418,1
2023,1230691,104094,237250,438636,253485,454871,2
2022,1763286,910380,513773,301919,1215584,950778,1
2021,1095285,306429,108926,169706,333632,341460,1
2020,444832,14174,62268,37626,207253,126610,2
2019,404683,56891,179849,84188,261049,112436,6
2018,441348,118292,207995,131479,185013,55545,4
2017,303351,112851,337802,177314,97741,-62747,2
2016,80181,-36785,224199,6804,41797,-175598,2
2015,99527,21772,166650,2427,25362,-138813,1
2014,113403,22259,189627,2010,26984,-160585,1
2013,60612,-16151,198545,786,13565,-184194,4
2012,90565,-4290,183767,14124,47813,-127516,3
2011,22664,-45723,157203,27038,7954,-123225,1
2010,42659,-69101,135118,42346,15269,-77503,1
2009,33306,2843,72179,57934,5843,-8402,1
2008,11126,-5806,21742,2241,8256,-11245,2
2007,0,-5639,6311,0,872,-5439,1
2023,0,40869,94429,0,578359,483930,1
2022,0,97078,156098,0,599159,443061,1
2021,0,19267,7034,0,526413,519379,1
2020,0,44558,11037,0,511149,500112,1
2019,0,12405,15440,0,534151,518711,1
2018,0,123656,35572,0,541878,506306,1
2017,0,-37409,22925,787,404789,382651,2
2016,24896,20377,9268,787,428513,420032,2
2015,152299,83262,74798,5995,468458,399655,2
2014,46931,-29590,11445,6412,321426,316393,2
2013,71928,16893,29482,8511,528858,507887,2
2012,198255,130757,7121,10097,802304,805280,2
2011,258180,185376,24877,8663,690738,674524,2
2010,234069,60921,79989,12944,556193,489148,2
2009,241476,7608,50252,14479,224438,188665,1
2008,252972,66553,26669,22640,185087,181058,1
2007,147222,755,14185,31297,97393,114505,3
2006,195482,92666,17365,17884,112278,113750,2
2005,181242,56764,13835,25164,39754,51083,3
