Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,4209161,10876,811762,1234561,792838,1242987,42
2022,4086924,168926,622913,1064272,1146220,1215957,27
2021,3540084,698204,655860,922226,944041,1047032,27
2020,2868934,31586,714079,662091,398843,348829,25
2019,3932615,118203,726469,669889,371049,328334,44
2018,3633158,46904,964792,780292,367691,209741,48
2017,3761922,360049,908029,542664,520553,162838,49
2016,3354686,119186,783838,313978,264999,-197211,44
2015,3196451,272496,1005535,337735,330621,-329529,38
2014,2113124,-132209,1028100,276573,149204,-602025,35
2013,1303150,-379416,815812,181380,164616,-469816,30
2012,1351870,-158684,411125,218686,102039,-90400,28
2011,1583638,12045,89596,57721,118059,86184,23
2010,758062,73939,77204,31241,120102,74139,11
2009,0,0,0,0,200,200,0
2022,1411013,-343713,1360097,25218,753335,-580369,7
2021,1203048,0,565781,91907,235901,-236656,13
2020,457608,-147903,361246,84057,192112,-83905,13
2019,86904,62156,102667,5268,161260,63948,0
2018,80336,54261,163626,7280,157973,1792,0
2017,12000,-103625,215234,9292,153473,-52469,0
2016,14955,-26207,206849,182804,74948,51156,0
2015,170906,-64974,217538,210283,83971,77363,0
2014,309416,-1703,262268,237841,166764,142337,2
2013,449226,-76452,345547,266083,223504,144040,7
2012,856281,46521,442311,296939,388399,220492,9
2011,697069,47227,368971,68131,474811,173971,2
2010,496984,102230,365493,7090,514597,126744,0
2009,174325,12213,187978,1318,211175,24515,0
2008,167349,12102,115519,0,127821,12302,0
2023,166415810,19249704,32953653,11705474,49624583,31450001,320
2022,153668840,20645564,35128218,12467336,52402941,29980362,318
2021,73098376,8061253,42860731,16289577,30529475,4142534,243
2020,41999158,-20851325,34456943,20205287,16860615,-3718524,445
2019,125463575,31217732,27439715,23110439,51131215,42386218,620
2018,113610371,26302637,22036116,28072991,31668005,37471123,607
2017,99578313,24363802,19581160,29284604,20959456,30409172,576
2016,90055720,18586872,22523888,29936808,21687606,28889679,565
2015,83651658,16491719,19246939,30075194,16180858,26794526,559
2014,76396498,13327440,22940870,29274174,17707048,23630247,587
2013,63895725,10921862,23579638,27875108,16926086,20606033,563
2012,59919025,9291539,27814737,28846741,18962195,18975710,600
2011,63782514,9143283,26072146,18423653,21336445,12040889,517
2010,77147390,15976786,7381639,9256425,16480179,18874392,433
2009,62411422,13545173,6686514,6070445,16428193,16442779,384
2008,55864149,14703836,4655583,4679841,17529040,17601442,391
2007,50478652,13516702,3240900,3562233,16092975,16414308,409
2006,39621908,10370773,2576691,3000117,12700721,13268379,372
2005,32673688,7495596,2321642,1750752,10944140,10393202,367
2023,5025075,2110669,2547500,6869155,2519179,6843034,10
2022,4570723,2029823,2208747,4309072,2631287,4732364,10
2021,2057257,284022,2568310,4200328,969193,2602542,8
2020,1162879,373381,3062411,4407496,747452,2318519,13
2019,1555138,194321,2090299,2346984,1213511,1900559,12
2018,4955353,840089,2020713,567174,2457694,1713961,23
2017,7664205,193147,1324930,647659,1525821,873872,30
2016,5724908,162852,1606710,890648,1348437,680726,24
2015,5343394,461920,2949920,594854,2872962,517873,19
2014,3429028,51245,1341210,611386,769278,55953,15
2013,670841,16091,510950,361584,149559,4708,9
2012,473323,2900,126728,79556,35788,-11384,9
2011,473394,12181,152961,92707,44885,-14284,9
2010,443511,-4467,171086,105941,38681,-26464,10
2009,346701,-22197,170246,117664,30585,-21997,9
2008,457388,27856,128475,114415,42116,28056,10
2007,224265,4473,79496,62311,21858,4673,5
2006,92864,144,75608,35084,40866,344,1
2005,11906,170,58567,13764,45173,370,0
2023,23774666,619708,1988959,2522482,1896248,2667363,183
2022,19704012,827740,1782513,2151630,2278485,2877378,175
2021,15334260,586717,1650458,1615082,1925203,1860981,162
2020,12943813,313708,1279494,1188036,1104581,1246182,156
2019,15968685,772091,1444458,1224492,1676675,1482473,206
2018,14355986,291521,1014941,918739,789562,710382,0
2017,12675078,13612,1096830,881897,613757,418861,189
2016,11042400,159188,1216420,927949,679549,405249,187
2015,9878457,492092,691173,967311,426126,707371,158
2014,7622060,28813,1053082,969131,316536,240877,142
2013,7089040,10109,1072045,992805,285577,211569,126
2012,5960567,14499,1245837,1256558,181965,194854,115
2011,4511167,26534,1292397,1309008,154557,180355,89
2010,4245942,52857,1146170,1109693,221622,185145,88
2009,4403875,-45848,1471995,1231364,283146,131788,70
2008,5349474,96561,1631433,1625903,185005,261434,69
2007,4086649,82113,1434579,976377,469829,11627,57
2006,3220141,53534,1416375,896472,363509,-70486,57
2005,2822523,-128875,1571948,848429,507407,-124019,75
2023,30406174,1497689,19184796,15299612,4215872,3547328,182
2022,25425865,102994,19314533,14848812,5284807,2152633,179
2021,18505328,1762126,18025451,15331206,7569893,5338521,145
2020,15499763,465558,17272804,16224551,4150178,3576395,130
