Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,83994171,9028059,35676752,29170232,18842332,11967182,52
2022,381158027,54326142,65157501,27936696,92789163,54996994,55
2021,327949084,34677976,24711765,20635499,46193921,42122178,38
2020,122176271,15290612,9846848,19752166,23279435,32444202,36
2019,131211233,20482737,4252590,13676995,18347202,27784460,42
2018,114286386,22262051,4519577,8780165,19672411,23954355,42
2017,118914190,18332223,6675447,8777549,17809519,19926639,42
2016,104651040,16081471,10391713,9767290,18170493,17594704,38
2015,82200000,13858206,12180553,14434799,13737654,15744797,34
2014,84402125,12223536,10024396,14328611,10159731,14348218,29
2013,56064773,6733980,11383500,12001061,9568052,11065078,28
2012,53533510,6033285,7591423,11857553,7474630,12472408,27
2011,44957914,7388469,8735868,9698599,7027962,8064885,27
2010,52054978,3879369,5811102,4220793,7651946,6208798,22
2009,26610945,1942254,5648766,3302109,7189355,5133596,20
2008,37826134,6085269,4406665,2726966,8525567,7174781,20
2007,21397713,1349386,6541684,2639339,6341243,2438898,19
2006,10879251,413100,3472646,2675018,1471683,1083948,14
2005,2621935,704530,371059,1029196,703712,1374159,3
2023,27055366,7685233,26378133,121887025,35873150,132362408,105
2022,128792382,13507647,10255641,123779744,23738163,137509440,122
2021,51699824,-3965701,118703939,137298423,121736069,140743483,195
2020,43442261,-2942170,30675282,129306139,47269835,144709184,223
2019,40579538,-3350921,29583734,133185377,50827420,153266334,246
2018,33379876,-10780178,28858122,143782817,42867373,156604735,257
2017,40051449,-5124686,36108829,144592410,60144440,167384913,283
2016,45558725,-7592770,38805677,156064875,65453878,181469560,300
2015,59005227,-10787664,27816091,162780600,59593413,194192356,320
2014,46180644,-7768034,18269518,160255406,61150015,202831275,286
2013,47287125,-4592496,19398538,158048773,72350396,210599310,273
2012,47735622,-4032391,20160947,156689393,80359653,216567362,272
2011,50705495,-3879191,23694309,159366506,85400405,220599752,296
2010,54595399,6221859,35025314,156429282,103921507,224481942,303
2009,46323116,-7800825,39788328,152150315,113422893,225065825,337
2008,99051360,119836712,49263870,135691504,147260030,232866649,325
2007,92582181,55223255,68660400,119077124,72613214,123029938,279
2006,72603758,14807657,37757047,60430918,35703998,58401677,214
2005,50951654,6002432,40322554,46768602,37050916,43594021,174
2023,17143772,2211312,2342921,8890641,6045882,12608602,53
2021,19696448,404437,4136891,13066685,5277572,14207366,78
2020,19700579,2584421,5989131,14652927,6739133,15402929,76
2019,19132529,2032228,6955484,12147932,7616966,12809414,65
2018,14696722,1317388,4059312,10213705,6222793,12377186,44
2017,14668719,2012297,6729689,10844948,6944539,11059798,46
2016,13866280,2401756,6381162,8366329,7061310,9046477,40
2015,14052602,1911982,4458146,7094899,6508719,9144722,42
2014,9460439,384446,4811208,7530475,4486126,7205393,38
2013,8033140,263769,5887798,8535773,4219318,6882071,29
2012,7634400,275704,4631121,7277450,3959371,6618302,25
2011,8747885,1464131,3665332,5514529,4482139,6342597,23
2010,6010936,621702,2829510,4817857,2569017,4568625,18
2009,5744333,526986,3267061,4270364,2932358,3946922,18
2008,8261815,1228929,4015079,4170548,3265555,3424601,15
2007,5511991,1087143,3393721,3819719,1750564,2176562,5
2006,3615456,518579,2478831,2564656,1010994,1078819,3
2005,2827250,546295,979081,1161672,709040,906535,3
2023,33914780,-1942166,4053230,943728,6477226,3431233,33
2022,66038115,1822765,5663074,858882,10141422,5373399,41
2021,51635103,405721,6329976,643985,9200153,3550634,40
2020,52419712,1596022,5167497,631297,7619519,3144913,0
2019,37112296,1980435,4146649,351831,6592105,2860126,34
2018,28624009,1172151,4684489,374438,6094657,1861183,33
2017,26263741,562653,3998815,369817,4317115,905921,30
2016,19961380,70592,3802687,532460,3962816,706149,38
2015,22294747,1991155,4344266,506244,5829417,1991395,25
2014,17493909,2612051,2535113,425611,4984198,2888116,28
2013,10271208,210444,2517151,474552,3029030,986431,28
2012,9682927,572419,1443424,377061,2037976,972861,18
2011,7013870,388535,1025749,193305,1295386,462942,10
2010,2947564,256313,823586,129976,1099267,405657,4
2009,1658709,188578,172952,1204,383592,211844,2
2008,1167000,83097,177864,0,245608,85766,2
2007,194279,3427,46871,0,49540,2669,1
2006,1225,-958,1797,0,1039,-758,1
2023,64306009,9059873,9947014,7200450,20513730,17578047,40
2022,69931509,13945728,11629791,7751752,26459494,22463902,39
2021,49058437,6443751,8895705,8019078,18061905,16067823,41
2020,46738043,1105899,9891432,8284712,11157459,9624073,42
2019,108218234,6617063,8923824,4531799,12218523,7999751,39
2018,117753934,11317385,5502332,4065992,13543785,12134204,41
2017,102959411,10684348,5149247,2995061,13627287,11501167,39
2016,108011187,8610756,4745659,672999,13462098,9427455,42
2015,118527254,6174493,6412596,798487,12563053,6991192,41
2014,101796600,3275287,6865458,745735,10208105,4091386,42
2013,84892670,1046919,10013371,873105,11000830,1863095,42
2012,71952211,180897,8609189,997964,8596690,997073,43
2011,72034319,1473206,6086475,1168852,7179917,2289379,45
2010,64494575,457537,10362843,813853,10822129,1273636,41
2009,47740813,339192,8516193,863638,8805341,1155291,40
2008,58635770,755218,8944759,1278557,9181294,1571317,37
2007,27107528,1136127,4235427,1228296,4959357,1952226,31
2006,25849929,418048,3884429,1005338,4088157,1234147,13
2005,18973432,802630,2575067,172818,3206934,816099,14
2023,74536620,28696763,22227475,70870154,51199114,100267609,162
2022,91964232,45531592,17678301,47764311,50967610,81527825,155
2021,37226875,5168202,9985097,26315398,21623535,38496310,150
2020,35112013,4757343,9643498,26196740,19702475,36928394,147
2019,36204581,8793699,11838219,27457964,18643194,35018298,126
2018,24585185,1117819,6266001,25674192,8808818,28217009,113
2017,28296471,3027074,8107307,25880784,11265878,29039355,125
2016,30649475,3119236,7182717,25362100,8490659,26669760,125
2015,31125343,3866018,4491329,24386649,7521598,27416542,128
2014,26548151,1497351,6971872,26557825,6060002,25645486,121
2013,22897059,597611,5328032,22558965,6826071,24056441,116
2012,27288370,3909085,6052405,20739396,8867033,23553368,146
2011,23000723,2268797,2995798,19161640,4809339,20976402,138
2010,19234825,997871,4004789,18403700,4811728,19227567,144
2009,23655205,4137726,4819540,18182058,6841796,20225962,160
2008,30415438,2060548,6273788,19407528,4031998,17188236,188
2007,24056732,2156209,7350479,19815942,3620183,16085646,182
