Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,1847539,-26718,125118,351494,331826,558202,4
2022,2992874,420244,240900,270573,516757,680573,6
2021,3045950,403531,294968,346041,498662,596643,7
2020,3851256,572842,429043,415880,586276,573113,6
2019,2522660,222185,356175,243547,422037,309426,7
2018,1754269,160326,270100,259829,353301,343030,6
2017,1328988,224568,89433,8790,196596,224808,5
2016,857767,93152,43494,14301,122585,93392,4
2015,581044,67535,47437,21769,101815,72222,4
2014,41897,5297,8249,0,12936,4687,2
2023,58415,-57864,105372,140,47768,-57464,1
2023,1295292,87645,98661,131,186655,88125,1
2022,1087054,87423,49126,725,136304,87903,1
2021,910750,91036,48335,2356,137495,91516,0
2020,631971,80046,17974,3208,95292,80526,0
2019,265827,33529,17890,0,51899,34009,0
2018,78444,13900,2878,0,17258,14380,0
2017,81188,21273,5633,0,27386,21753,0
2016,54514,27698,16336,0,42853,26517,0
2015,22693,2244,26414,0,25233,-1181,0
2014,4764,-2639,22563,0,19138,-3425,0
2023,1349562,33863,292679,71537,296041,74899,1
2022,514062,157489,419070,58461,518298,157689,0
2021,25278,23570,0,0,15127,15127,0
2023,268041,29455,102845,0,132800,29955,0
2023,965434,74108,347734,178868,313803,144937,1
2022,531403,169995,10230,0,181059,170829,1
2021,12774,634,6193,0,6993,834,0
2023,1992630,2381,1322650,21459,566773,-711307,4
2022,1967645,102189,1271200,7744,536280,-713688,7
2021,1536561,10477,1258688,13214,420496,-815877,7
2020,1285807,-99961,1289617,5473,436272,-826354,7
2019,875832,-238474,974370,0,236980,-726393,0
2018,339502,-142763,644200,0,156281,-487919,5
2017,286776,-132386,445928,0,100771,-345157,4
2016,131350,-212493,267195,0,54424,-212771,4
2023,3884402,112261,1180208,115623,1648472,601038,7
2022,4418382,276996,1568942,39857,2003910,488777,7
2021,3534463,114918,1486853,74631,2047986,649296,7
2020,2966300,-23488,1045627,107381,1461374,534378,7
2019,3875862,12833,978459,145312,1500171,677866,7
2018,3598602,741,1178352,183307,1651439,665033,7
2017,4147101,3867,1057879,38710,1673055,664292,7
2016,3037489,22903,952265,5849,1596818,685072,8
2015,2714448,9778,819993,7816,1463835,662169,8
2014,3030719,22657,918918,6138,1554543,652391,6
2013,2935430,17549,716557,8900,1381062,684022,7
2012,3443796,24647,858827,19378,1496436,666472,7
2011,3422221,157699,651347,29898,1328647,716756,7
2010,3253985,213792,821355,33371,1339003,559057,7
2009,1648267,5446,551723,39307,848261,345265,8
2008,2075497,48843,576593,50662,909426,398010,8
2007,1933927,74931,455190,72815,780304,397929,7
2006,1519335,98157,360098,70882,575207,322998,6
2005,1478711,123761,473224,55622,628574,224841,6
