Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,192144933,11906292,28562266,32303202,99748133,104852751,139
2022,231633052,10640237,27051181,35073119,84012790,92946459,139
2021,208866903,12445402,36135063,37768902,79655498,82306222,139
2020,139387959,11235619,38910115,35176625,72522575,69860820,0
2019,88571455,9249393,28862840,30093860,56459413,58625201,129
2018,86997087,11900635,38537906,30500653,56762507,49375808,118
2017,84853072,10441760,47998267,31316089,53336726,37475173,113
2016,81788591,4040404,53227433,32411567,47224925,27033412,116
2015,80371448,-1566307,60592215,39449612,43742479,22993008,121
2014,79137887,-3447374,63790903,50245338,37560378,24559315,126
2013,85036652,-3434611,65854395,62469034,28957384,28006689,128
2012,88916636,-7396095,71798620,75050811,27920705,31441300,148
2011,87013852,-6234835,69947089,89170424,19765723,38837395,132
2010,76067208,460683,69128661,93234899,11261651,35544901,109
2009,83406520,9258968,24883473,42538392,17247765,35084218,105
2008,69136516,7126425,18001750,29419392,14792303,26591252,108
2007,55529735,6754372,17048667,24574608,11938886,19464827,105
2006,44654315,4950493,18839163,18843770,12403919,13028747,86
2005,34447758,1460331,15638571,14225014,9425317,8078255,70
2023,7130819,2899583,1402124,394609,1585536,742388,38
2022,8494356,-319002,4837879,572862,1955093,-2157195,45
2021,7822213,-365075,4111323,781342,1347240,-1838193,46
2020,5235635,-2400242,3171373,921847,635031,-1473118,47
2019,8400488,199832,11601518,1041403,11355358,927124,49
2018,8568368,-25505,635737,234865,1073456,727282,66
2017,8674154,140768,720648,391655,1031549,752787,79
2016,8095976,143905,989672,394311,1151617,612020,87
2015,4113163,-30144,464200,269500,615892,468115,98
2014,3771778,-23249,255019,289903,415874,498259,123
2013,3959682,16789,329129,342340,447212,521508,118
2012,3152269,25185,538525,399008,629928,504719,82
2011,3392861,353679,655456,506357,604649,479534,46
2010,2472773,149897,846510,379165,600258,125855,39
2009,2386845,11898,444963,110068,302664,-24042,28
2008,2285227,-5143,800738,99409,646902,-35941,20
2007,1657766,-17435,635799,106491,449780,-79528,15
2006,1349466,-94726,551841,132490,361024,-62093,10
2005,2563088,-113906,530330,99562,467209,32633,11
2023,202183,10960,3480,0,76775,73295,0
2022,236418,89401,2172,0,64507,62335,1
2021,138539,74850,36174,0,9108,-27066,0
2020,28113,-16802,111978,0,10062,-101916,0
2019,54969,8421,97379,0,12265,-85114,0
2018,16223,-347,116646,0,23111,-93535,0
2017,9537,-27520,145870,0,52783,-93188,0
2016,21735,-3875,120931,1604,52953,-65668,0
2015,105740,17056,111962,4533,45857,-61793,0
