Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,6760050,452828,2577776,644473,2386568,453265,14
2022,3408642,396141,1336146,540519,1251064,455437,9
2021,2262165,255764,662198,483260,438233,259295,9
2020,740122,53331,375105,131011,297625,53531,5
2023,128140,22305,11844,0,72456,60612,0
2022,35164,-468,15888,0,115445,99557,0
2021,55168,6592,26167,0,126191,100024,0
2020,33132,5460,57767,0,153304,95537,0
2019,112243,23437,68998,0,159075,90077,0
2018,132956,26196,35279,0,101909,66630,0
2017,158915,24449,23625,0,64059,40434,0
2016,110679,15785,79320,740,94565,15985,0
2023,2000,-1431,5141256,1264800,2876345,-1000111,0
2022,5917,-1754599,6876695,1264800,2875143,-2736752,0
2021,8886,199137,7164994,3235890,2946952,-982152,0
2020,46515,-158029,7292474,3235890,2875295,-1181289,3
2019,302357,-208074,7151517,3235890,2892366,-1023261,9
2018,595150,-180620,6881543,3239848,2826509,-815186,14
2017,677424,503453,6422573,3247206,2540801,-634566,15
2016,1644209,-1409592,6138160,2619012,2381129,-1089074,31
2015,2221774,46163,6030402,2706519,3596007,320518,36
2014,875132,31331,5573813,3196444,2388062,274355,26
2013,2081501,50691,5207689,3495727,1792948,390873,31
2012,2024345,80502,4547591,3295416,1544981,341200,28
2011,1896329,-379615,4537336,3421563,1141084,133102,31
2010,1305345,-373034,4432670,3784686,1030082,512718,41
2009,1042065,-1007247,3486046,3724987,667811,1052273,26
2008,2527006,-955731,3354906,3491505,1192580,1372803,31
2007,2568430,32239,3017273,3884278,1461529,2328534,54
2006,4051291,2388581,990591,3355847,1094540,3459796,19
2005,1964330,1025165,2419564,1850324,568359,12300,9
2023,76409555,25497100,9515960,8548812,35708810,34796973,127
2022,46966049,12239873,6644727,6901253,16868880,17201974,105
2021,25827446,4412757,6572502,5225266,10740144,9428641,90
2020,22793258,3412317,4996417,6222667,7332786,8588561,83
2019,22193827,2247566,5259331,6424464,5762425,6944695,91
2018,27876498,5375600,7562100,8086120,7148357,7694677,108
2017,24994260,4970507,9871864,8972336,7553089,6686538,93
2016,17766899,2869653,6219540,4465367,5552467,3842896,78
2015,11601069,409057,5766229,4458902,3378596,2142489,67
2014,13676820,1240245,5231903,2913590,4629679,2407027,72
2013,7698813,611134,2430300,1023836,2984547,1587238,43
2012,3874504,340520,892388,812607,1080254,1002175,22
2011,2713807,361408,582974,469109,773070,662375,18
2010,3159842,160520,736950,506555,589250,360966,19
2009,1059977,60763,305518,339877,210959,261199,10
2008,992234,146739,439019,371765,266199,200727,10
2007,277955,58588,87617,52121,94284,58788,4
2023,66420074,1885431,21757336,9440700,27725686,10561859,149
2022,38120823,728861,27900561,4377873,36706049,8615642,144
2021,59394453,1608526,24964575,3401635,36235881,7999484,126
2020,31971109,545923,22745431,3376730,30916544,6278255,109
2019,34996302,1151023,22337592,4190423,27105898,5723562,139
2018,26696996,953982,24744595,5743482,26566896,4572539,130
2017,33916173,849965,22733757,4495949,26365332,3618557,122
2016,31265081,1467365,17984270,2441027,22074908,2768592,103
2015,26631277,1006182,10637555,1176131,13956969,1301227,91
2014,13297356,297098,9415128,1244272,11122508,297342,71
2013,16709299,232308,8708146,1339707,11380694,1358585,57
2012,17167497,479366,9546685,1512432,12263935,1329849,46
2011,7109428,-208770,7048181,1950103,7270806,850483,49
2010,14799302,73054,7521669,2594945,7973956,1050441,81
2009,20848343,685185,10508832,2824031,10397800,977387,79
2008,11438137,255414,7981725,3664111,4602534,292202,61
2007,2143741,39386,1759362,388253,1407897,36788,24
2006,0,-2798,3400,0,802,-2598,0
2023,1113012,4508,1165476,927483,741906,479160,15
2022,1238782,67657,1262086,748562,954771,474651,21
2021,2144621,11439,937520,593818,728471,406994,28
2020,1927330,17612,1473481,828592,1025579,395555,26
2019,2627371,-432628,1737696,841871,1237110,377943,36
2018,2617976,20188,2150842,795177,1808548,468038,41
2017,2810288,5120,2020013,934371,1842987,441340,42
2016,3503100,124533,1864583,1045041,1259797,436220,47
2015,3580961,55113,1487856,1211955,1134511,490208,53
2014,2908218,45527,1382792,1310880,724036,435095,47
2013,2964419,19701,1007606,1308044,272562,389568,47
2012,3212292,58180,1575331,1412873,551562,407302,55
2011,3055085,49761,1692713,1278126,708266,309302,52
2010,2636021,263301,1809347,1706651,403514,309302,49
2009,2906846,50965,1882245,1884119,303233,309302,46
2008,4337040,386773,1881102,1680177,866867,672941,66
2007,3681612,254476,2010627,1827684,723587,540644,65
2006,2563180,242198,1094528,1056232,294695,286168,55
2005,1808125,158653,643649,524740,384793,286168,45
2023,54077356,13642318,51902451,53611253,82947445,85879350,97
2022,55026712,10012090,59212937,57476480,77926939,72237033,113
2021,78891605,23300715,23696977,48283566,61639738,82225940,100
2020,69020203,2734704,27081472,50731420,40930661,60575224,93
2019,56360503,3034478,31964945,50324441,44654908,58995526,115
2018,51160948,4157184,27103605,42576629,44332177,55961043,142
2017,69469190,6727468,16411526,34862301,33076895,51920527,179
2016,52430724,2851464,13111538,29674852,28479055,45219281,173
2015,51970965,6840019,8494736,24463395,25842770,42367817,156
2014,51033879,9790706,10885893,16962182,29808337,36027798,180
2013,40086632,5494851,4899823,13088627,15304772,23609865,135
2012,30538876,6862940,3301081,9760296,11655501,18115013,120
2011,21492937,1889014,4668298,5957942,9676673,10966317,87
2010,9508669,266675,5119388,8309708,5814653,9075234,54
2009,8317887,826858,2833534,3105197,8532329,8808559,50
2008,10679932,268204,2377976,2875792,7419251,7981700,49
2007,7113212,389855,1402319,6573599,2542217,7713497,40
2006,5609115,138714,1200921,6620789,1895780,7323641,60
2005,5044665,638492,1524041,2560995,1479186,2527352,35
2023,36549034,2280772,41732045,44560592,26967585,29604515,136
2022,41257732,4038092,32679859,35496795,24486701,27334180,139
2021,33159167,4170577,29728306,30571623,22471041,23340117,151
2020,21675531,465492,26403041,28401471,17393858,19391031,157
2019,21125105,509287,22974984,27236552,14707431,18999259,149
2018,24931681,255216,17957143,26131692,10377757,18586140,142
2017,22594781,-3559780,13426785,1436237,6557696,-5410527,145
2016,23115357,-5021639,9974074,1879635,5607711,-2468716,194
2015,29640942,-8459081,27265843,18037133,5488653,-3805003,244
2014,30652210,-12003611,23968968,20637299,6979295,3544161,334
2013,35564206,-11641487,23079550,22899139,8186517,8157522,336
2012,38057631,-20529388,26184888,23056328,9863568,6853196,193
2011,37404396,-20606165,57209143,26421895,18477906,-12217646,0
2010,28997947,-14691908,38133012,30977658,16818318,6563215,0
2009,10946669,-5974936,11760204,510555,6955992,-4292052,0
2008,3128567,-718941,47466873,37631372,9366560,-468941,0
