Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,2423687,359400,1380908,2469834,870744,1637546,9
2022,2081946,435944,896645,2020731,811914,1515268,8
2021,1859419,291895,1369193,2239154,731449,1079324,9
2020,1642827,79292,1647182,2498943,562942,787429,10
2019,1736545,56522,1650512,2435767,604407,708137,11
2018,1431004,55111,1175294,1340504,1420221,651615,9
2017,1255672,25478,988164,1115893,453549,596504,11
2016,892074,18421,635707,870209,557865,865736,9
2015,729538,13085,1110491,909081,490761,358015,7
2014,747878,23785,749584,707267,321174,346835,7
2013,674358,11662,723790,720691,218908,286532,9
2012,1487483,44211,1262688,759906,1048165,464521,10
2011,1489830,129573,1192414,601769,1159041,432342,14
2010,1461185,121423,923737,663367,720105,368203,7
2009,2209075,544902,343048,367091,929447,485326,7
2008,1082563,100895,461653,249281,637622,123670,4
2007,176705,19276,103517,37173,89118,22774,2
2006,27753,3488,13710,0,17530,3688,0
2023,4879911,1560299,210756,562468,2223265,1582060,6
2022,4162217,1192826,287666,12196,2191342,1211761,0
2021,3158409,897262,370563,51691,1843198,908935,7
2020,2192727,618175,313029,122260,1710736,691673,7
2019,2655991,966331,282544,211355,1297586,1020857,7
2018,2786460,756916,329937,302637,1103693,844000,7
2017,2055098,705659,339041,322885,936425,718664,7
2016,1963728,510259,279815,322466,866245,639321,7
2015,1634047,399697,179615,368010,1187033,1065904,7
2014,1526050,300013,212836,386914,787397,666206,7
2013,1331774,319249,161448,44009,499448,366193,6
2012,1387237,136075,262083,50494,450646,236945,4
2011,860387,80547,168312,9352,261990,100870,3
2010,762618,4749,184127,42,206478,20323,2
2009,739429,4304,142082,164,160705,15574,2
2008,653238,23712,242187,298,256288,12248,2
2007,667381,40293,159116,5389,142263,-11464,2
2006,79335,-59257,63098,614,4727,-57757,2
2023,3073915,659489,424984,486939,1112230,1143885,5
2022,2247185,915588,524189,445143,1054630,917001,6
2021,385178,159229,94957,116612,232182,166971,5
2020,68926,8569,18937,122309,19220,7442,2
2019,133773,4876,35393,150592,27107,-1127,3
2018,94026,2673,250002,178876,236841,-6002,3
2017,0,-8876,255414,207159,39579,-8676,1
2023,1288189,301430,389618,98010,593238,301630,3
2022,797920,10432,496511,125651,385802,14942,3
2021,867631,114311,498990,240792,454729,114511,7
2020,657097,66611,500816,321401,514314,66811,7
2019,968651,110399,495988,433882,433674,110599,8
2018,1106455,176976,443116,544130,426606,177176,10
2017,1069648,84948,450046,609018,366095,85148,10
2016,913222,30640,411691,712768,259157,30840,11
2015,747341,20022,323589,745039,252072,54653,10
2014,522785,13908,238876,768582,218416,39778,6
2013,422389,891,126164,61144,90890,25870,6
2012,360386,594,163270,90173,97215,24980,5
2011,200684,366,140674,59472,104456,24385,3
2010,147176,-30303,103662,97839,27407,24020,3
2009,364395,26190,83504,106470,26643,53881,3
2008,205397,16854,76950,88431,10177,27691,3
