Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,23440723,396071,8008037,9776563,4120289,5918673,18
2022,22485136,371046,8652444,10070523,4081111,5522602,17
2021,25707669,705906,10737722,8073683,7808556,5151557,17
2020,14366661,463846,8722761,3624464,9531031,4445650,15
2019,14703056,678229,3065935,2175464,4846631,3981513,14
2018,14578847,888708,1894901,271406,4899953,3303283,14
2017,13684308,887037,1926669,196160,4803654,3113081,15
2016,13637746,1089838,1823378,217462,4460786,2879306,13
2015,10800195,855661,1909406,174612,4495701,2696570,11
2014,9471149,655903,1696405,60904,4254238,2506135,10
2013,9021082,727881,1745220,80851,4078235,2288628,11
2012,7657104,424784,1547565,62554,3168028,1560647,12
2011,7414108,616500,1184133,69722,2376720,1135863,10
2010,6797343,392347,1489937,75924,2059798,519363,9
2009,432989,30016,375491,10972,533555,51516,4
2023,15157005,-290537,1768595,7985,1726044,66936,18
2022,67948373,149940,12719230,12601,12486680,-139767,21
2021,32981552,445404,5652075,26712,5232208,-289707,22
2020,24032174,-153702,6431527,63288,6052100,-240112,19
2019,21615705,-693788,5749995,119284,5427930,-86410,20
2018,21995666,-354811,5974459,341963,6156030,607378,20
2017,25755909,54541,5626519,246158,6245880,962189,21
2016,23557103,337296,5170007,279749,5325284,595492,20
2015,20841834,356237,4180127,77952,4313609,258195,26
2014,19590798,13633,6743616,1760300,4533447,-387293,26
2013,15542813,-990825,6880601,2121286,4212894,-400926,30
2012,17077625,-457185,7994766,2499361,5093464,-303161,30
2011,13182069,156276,4562881,108821,4584432,154024,18
2010,8768228,-136342,2844102,154178,2634660,-2252,18
2009,4306512,-696826,1723677,134190,1015200,-563060,16
2008,5491265,-198059,499714,58529,569609,133765,9
2007,5437108,120876,691452,84171,939105,331824,7
2006,1677197,52671,636694,11633,550414,-52512,3
2005,524012,-96438,387904,15291,266906,-105183,2
2023,45102713,3696895,7649363,5935051,8661768,7001678,26
2022,53810150,3864776,6649415,2929459,9567294,5963724,28
2021,38710386,2355277,7822999,3920399,6445017,2475277,25
2020,33348404,2937114,4895034,3197459,4725529,3057114,21
2019,32333500,2010365,4003434,2175483,3864819,2130365,22
2018,32940850,2006998,6537013,3486504,5181719,2126998,21
2017,32014792,2593169,6028677,3089506,5611159,2713169,21
2016,28907762,2955668,4054537,3360681,3735725,3055708,19
2015,27866229,2322288,3997165,2767563,3872781,2619599,16
2014,18219793,966595,2106632,1369829,2085691,1379395,17
2013,13952648,891206,1256112,476662,1705282,899120,16
2012,11786289,776335,895980,409618,1372966,886604,12
2011,14593481,925506,1501147,412890,2014003,925746,11
2010,10044735,553714,1217975,553215,1211491,553954,11
2009,11035497,615725,1497811,428130,1681433,615965,10
2008,10592076,606588,1062978,366611,1303195,606828,9
2007,3917072,85070,1055520,192235,948555,85270,9
2023,3281920,-366352,1793903,170568,1352600,-270056,6
2022,7653768,95096,824997,122072,773441,96297,8
2021,19312866,488924,1631181,151284,1949948,490125,8
2020,12989396,301452,2563906,270003,2746685,468887,7
2019,15477294,492554,2149775,331920,2351958,546499,7
2018,9266931,558038,1186109,21416,1716188,559238,7
2017,7738507,135888,1274157,34748,1374999,137088,6
2016,6424896,730273,1009290,38691,1699370,731473,5
2015,5567450,189686,724584,48901,887999,214283,5
2014,5267126,215826,620274,14468,819656,217026,6
2013,2431017,21426,813435,7263,823779,22426,4
2023,23205460,254942,4979450,962868,5429599,1413017,15
2022,24582336,677514,4329064,327006,5160132,1158074,15
2021,20658536,428570,3578903,723998,5201465,2346560,16
2020,19570588,661571,2400748,365610,4453128,2417990,16
2019,19070998,144814,2305818,500161,3562077,1756420,18
2018,17747091,321368,3015072,740390,4383288,2108606,19
2017,15496907,104136,2877507,797100,3867645,1787238,18
2016,15848626,35421,2877267,775144,3785224,1683101,18
2015,14010335,79107,1453511,492444,4539246,3578179,18
2014,12866583,285824,1135319,783486,3850905,3499072,18
2013,13624595,509235,943423,997514,3159157,3213248,18
2012,15386506,629923,1258273,792183,3170103,2704013,18
2011,13625690,550797,854498,569919,2340604,2056025,18
2010,11058453,334416,1011568,599889,1916907,1505228,16
2009,9048144,440670,791740,372500,1342472,923232,14
