Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,5061907,37739,1253514,837890,1023503,848067,10
2022,5126973,316579,405736,613538,598351,810328,11
2021,5321660,25958,1056239,531520,1167345,650026,10
2020,5226034,22084,1259522,568449,1275088,594722,7
2019,6344845,78732,1454948,472245,1555342,572639,6
2018,2327039,101192,911340,474923,920886,493907,12
2017,2361483,27677,928447,506623,766051,357123,14
2016,1810869,38031,550984,403981,980646,853014,16
2015,1118928,38461,430581,400811,127268,97498,1
2014,3257810,62481,841581,661548,1001502,860582,10
2013,3357051,112404,1222514,227698,1753715,798101,5
2012,1984462,93560,1119633,488410,908091,285698,2
2011,1512867,28830,731604,209004,714738,192138,1
2010,919891,130582,393974,246641,286641,139308,1
2009,302720,12510,316468,205843,118275,8726,1
2008,499363,-2547,368547,104194,242897,-18781,1
2007,270392,-18354,378784,72,352477,-26235,1
2006,66606,6172,88991,215,80895,-7881,3
2005,6172,-15053,39642,358,25231,-14053,2
2023,8099243,1453449,2827351,797030,3824888,1794567,6
2022,7796233,999878,3070865,828153,3242830,1000118,4
2021,7458624,1425872,2211002,841500,2799318,1429816,4
2020,4225195,908140,1207018,309383,1809719,912084,4
2019,3655366,650291,982395,330430,1306200,654235,5
2018,1887234,366126,869803,365692,979546,475435,4
2017,967429,295289,493901,383027,410107,299233,3
2016,993757,244656,105492,39521,314571,248600,3
2015,1067253,216098,72059,70961,221140,220042,3
2014,1269441,198980,49033,99164,152794,202925,4
2013,1525872,199614,23586,58044,169100,203558,3
2012,1096276,254519,21291,59113,220208,258463,3
2011,654956,223926,17626,79883,165386,227870,2
2010,454444,200784,32370,8251,228673,204728,2
2009,216824,60767,29799,12423,81703,64711,1
2008,106666,8388,37468,17388,23293,3944,1
2007,29846,-3691,38909,18441,16023,-4445,1
2023,2453095,53427,1000112,848272,168544,16704,2
2023,4790353,771796,727759,551659,2992244,2816731,1
2022,3771973,794907,1141177,524818,2661295,2044936,1
2021,3081889,829513,559072,513192,1295318,1250028,1
2020,1468881,420254,790230,523181,687502,420515,1
2019,288506,11625,354640,11233,343668,261,1
2023,16658210,2526361,1965558,393972,5456186,3956301,11
2022,12470721,1427809,2889353,565260,4969113,2690809,11
2021,13958022,2197257,2053989,219531,4053589,2260257,12
2020,9754209,993182,2761051,296023,3484061,1056182,12
2019,8363680,663633,2180251,384328,2481546,716633,11
2018,7282034,530373,2395054,109307,2784495,533373,11
2017,7240849,286171,3043075,153537,3134269,289171,11
2016,7280529,580542,2271962,203790,2618878,583542,11
2015,6278768,633290,1843158,196200,2247453,636290,12
2014,4835909,349645,1781978,182438,1925430,352645,12
2013,4741162,68771,1330012,344323,1203098,241771,13
2012,5101670,321140,2103906,490647,2263010,674140,13
2011,7823442,1291717,1530132,494371,2303222,1294717,11
2010,5471988,1053722,2142866,397738,2781482,1056722,9
2009,3479014,399962,1383603,343026,1433763,402962,9
2008,4657845,1044258,863798,320302,1578197,1047258,8
2007,3612297,842294,884624,288615,1441304,845295,4
2006,2091109,328727,1035708,281398,1067429,331727,4
2005,1239449,92191,693445,259837,557291,140869,4
2023,7995227,277862,2659463,266494,2482918,71711,11
2022,7784914,4262,1611228,332271,1109502,-206151,11
2021,7615884,-324082,1947009,247335,1488661,-210413,11
2020,4996138,15233,1558467,205300,1462575,113669,10
2019,4498169,92286,659330,163447,616233,128186,7
2018,2452201,-33564,218744,112104,137157,36833,4
2017,2004650,21859,83492,44304,106482,70397,2
2016,747259,9577,61751,49291,21261,10074,1
2015,506608,40317,9487,658,50209,41497,1
2014,1069,980,32,0,1212,1180,0
2023,60085082,6599811,21724243,5482976,58400546,42159279,56
2022,49590324,4250298,24043948,5628628,56187919,37772599,55
2021,49517903,6103266,12971634,5745120,44122551,36896037,57
2020,45507934,5790980,12135112,5779285,40044088,33688261,50
2019,46349829,4482040,19861044,5789292,42212990,28141238,57
2018,45699173,5064853,18691271,5906082,38444388,25659199,57
2017,43199348,4839708,15056388,5923869,31890110,22757591,54
2016,38927384,5043212,13635166,5963452,27589596,19917882,47
2015,30887660,4190339,10778129,5183897,23021246,17427014,40
2014,26918680,2556809,9811080,3863350,19740131,13792401,37
2013,21224428,1612030,10209707,4426927,17915373,12132593,37
2012,20884283,1201967,7836533,4106701,14912293,11183803,29
2011,19918986,1251763,7152743,5099562,12865544,10812363,27
2010,15672531,1169783,7228623,5315012,12023050,10109439,28
2009,12971499,1301853,9867224,4908363,13501432,8542571,29
2008,17878945,1729305,12593515,5036826,14851191,7294502,28
2007,15143258,1410065,5586604,2423363,8728438,5565197,18
2006,10617348,1204972,3041062,146546,7049625,4155109,18
2005,6309618,334020,3668412,161506,3877600,379167,12
2023,2932432,681688,498932,41560,2711940,2254568,3
2022,2912431,685685,728329,43713,2257496,1572880,3
2021,2763568,775994,414514,46563,2254846,1886895,3
2020,2178608,564647,587513,10360,1688054,1110901,3
2019,1267197,237812,755296,26086,1275350,546287,3
2018,1075873,228825,609072,42100,874822,308475,1
2017,704416,80409,550424,59357,570127,79650,1
