Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,18096436,467598,3132569,6441,3593782,468918,4
2022,22111797,384173,3192995,11700,3562081,382759,4
2021,12713083,250202,2046523,12849,2279130,251522,5
2020,11211563,168941,1624611,21549,1767445,170261,6
2019,14806122,249398,2123588,22862,2220524,120355,5
2018,12898474,159184,1966962,13478,1926960,-25309,4
2017,698302,-80329,487150,284,300391,-184543,4
2016,76266,-91445,137352,663,29776,-104264,3
2023,389028923,13713743,68232053,45534199,58537530,35841022,693
2022,342957792,13043754,64551262,40666263,53913662,30127279,683
2021,324553000,24400595,57168386,34663040,67254558,39030372,675
2020,257537819,22928639,54994097,28802183,58339652,30808813,517
2019,184667290,8632480,47175604,24293993,39662285,16512645,494
2018,137174594,-2519655,53805264,27096764,34429126,7880165,443
2017,122604029,-1856909,44934435,22085467,32705467,10399820,363
2016,121612782,-607256,40568752,18763664,34309718,12256729,338
2015,94827397,728872,31123405,14371138,29745773,12863985,271
2014,75459837,3671852,22954052,12916444,22760482,12135113,196
2013,65906005,2914820,15770566,6251195,18629542,8463261,176
2012,45385165,1598107,16039004,6282115,15613455,5548441,153
2011,36015126,1676878,7149015,1465429,9780789,3950334,148
2010,30054158,2218799,8020590,1059072,9206077,2273456,138
2009,22390488,-2294211,6857597,1148742,5826832,54658,205
2008,23365876,-350686,7028862,1659161,7664272,2323550,240
2007,14064026,-177205,4727598,1149603,3507721,-149544,178
2006,9145406,15488,3129564,1199312,1964901,36812,161
2005,8123643,554786,2460970,1452039,917882,20786,150
2023,890790883,-14703239,374751887,393263495,261004866,270261312,"1,321"
2022,736498414,-45013842,406200797,329822000,216166449,135464548,"1,360"
2021,601431108,4366852,277198899,199994628,172773270,90477750,"1,114"
2020,399845327,-11067092,120061288,82539836,104646065,66109690,935
2019,165243115,-51078511,151914755,54104651,46638030,-50835142,546
2018,87075322,-28783934,92892357,35700656,28730780,-28165488,425
2017,40948754,-14262378,35289885,10810249,11210145,-13531554,239
2016,13415413,610824,3976114,244275,4742173,730824,58
2015,8608368,459944,1969680,456050,1995976,579944,35
2014,6880726,455696,1191990,261622,1893128,556296,23
2013,4329329,40599,696463,183547,1053814,439042,21
2012,3548924,-198926,1037101,250608,1163023,395643,17
2011,3739341,137110,393852,97896,874956,594569,18
2010,3858117,129681,421951,163878,701852,457459,11
2009,2761391,169435,365061,166845,525993,327777,6
2008,188881,158142,27466,0,185093,158342,1
2023,70274,3137,229726,790999,34479,595752,0
2022,69702,-34158,238803,433701,397717,592615,1
2021,199919,32668,239752,447687,451506,659441,1
2020,304072,91079,399440,367750,749542,717852,1
2019,2107501,-75531,576336,435341,767768,626773,29
2018,2913408,31665,791261,522568,970997,702304,39
2017,3042131,253230,661132,442643,1097928,880639,43
2016,2790963,3041,788725,571286,843647,627408,42
2015,2264286,3989,714384,664084,673467,624367,39
2014,2019372,3901,783114,743898,658393,620377,39
2013,2006794,3069,877625,1320416,659716,1105307,40
2012,2044114,24047,930704,1352228,678514,1102238,39
2011,1997398,43846,996874,1366649,710670,1082645,38
2010,1792789,183683,876064,1282168,810494,1218798,34
2009,2235863,506549,1205165,1340795,1097045,1235115,40
2008,2571389,574375,1282628,1405334,697239,828566,42
2007,1150098,177277,175347,252738,226799,304190,32
2006,537902,60688,100775,122404,135284,156913,24
2005,293906,94447,48846,51697,116525,119426,8
2023,1568568240,14253862,1446704221,721282513,1239209198,454857744,"21,224"
2022,1457214681,11259033,522862927,718615617,299959892,435963864,"22,338"
2021,1356276000,42510015,536203348,731230454,307973805,423131179,0
2020,1287306862,29361197,554601067,739966925,303781837,396309848,"23,045"
2019,1273999654,24362754,461823330,735179298,276931152,374663343,"23,191"
2018,1160332425,38368605,514067025,682296192,222322989,276167368,"23,404"
2017,1126455041,13916140,658677169,711680003,200043695,136811174,"23,403"
2016,1104499092,10450260,675006733,736759571,190154425,125121337,"24,240"
2015,1078670898,-33014586,645627064,676089274,166649870,45592685,"24,814"
2014,1125502934,22888152,692531543,720505141,194602367,136573445,"25,240"
2013,1152970419,-29433758,778104082,810220187,209005593,203081933,"28,866"
2012,1205532168,-52061179,649266053,820293605,191514897,339956411,"31,046"
2011,1264810799,-182932177,556955790,923717361,217055860,385670927,"32,124"
2010,1376850454,-121028436,530093793,910863600,193918709,558408859,"34,731"
2009,1435740560,-181551783,526966208,926600339,303845031,677965905,"35,520"
2008,1400302702,32793,464489454,883749491,441487787,853296634,"35,576"
2007,1043799710,25480590,374690245,405910869,390683644,405972565,"35,122"
2006,814985988,31979935,243265276,386141420,274497668,396792501,"34,617"
2005,714111513,29049707,227658267,372474049,252799090,381599048,"34,256"
2023,197262847,10303010,64141797,2373825,101484384,38539029,137
2022,211300188,5819527,150220725,2584168,177012958,28236019,140
2021,200396637,7051832,92578953,3937953,112190945,22416492,139
2020,157691975,5473858,55606774,3826250,72704418,19864660,129
2019,162905652,9081360,44437991,2840017,76933519,34390804,150
2018,163555830,9911835,42819219,2221323,66616559,25309444,150
2017,180557320,3959525,39024979,1816686,53623494,15397609,138
2016,178701106,1090963,39127515,2503298,48908704,11438083,121
2015,158965096,1686217,32295461,2391861,41017709,10347121,0
2014,142154802,1847293,26351445,2627392,32805709,8660903,0
2013,119874381,1230779,24691089,2039026,29721314,6813610,117
2012,98979971,1257679,13196375,2157509,16614390,5582831,117
2011,87036534,790667,12784585,2328064,14573897,4325152,115
2010,77788275,885781,11070099,2069379,12323101,3534485,118
2009,58275226,439056,9018063,1884140,9632458,2648704,122
2008,47394143,-895681,7798275,1471097,5366633,-790351,129
2007,20016464,-655580,6316940,1444199,4287096,-594670,113
2006,19874779,204390,4327956,1128246,4284435,1114711,117
2005,16539088,40498,3559331,944220,3453277,910321,108
2023,48592886,4025938,8471408,2113517,11869376,5513340,23
2022,56126347,5343680,5637276,1513663,10954695,6831082,22
2021,44543421,3756618,7046677,1374746,9509333,3837402,17
2020,29900318,734392,4595675,18481,5859216,1282022,13
2019,23295260,1977596,3074793,29439,5570580,2525226,12
2018,20054696,1680419,5242643,65548,7166965,1989989,9
2017,12964618,1082670,2563491,20697,3935034,1392240,6
2016,7910470,623159,1659045,32705,2559069,932729,5
2015,4444922,228786,888340,9450,1188460,309570,3
2014,1877039,64941,216928,6160,356493,145725,3
2013,1783610,111333,380208,3746,568579,192117,2
2012,1388432,61182,75456,4300,151940,80784,1
2011,1229696,10804,192727,1815,210513,19601,1
2010,189565,8597,74574,109,83262,8797,1
2023,9690626,810575,1963048,2007708,1212438,1257098,50
2022,5412713,237033,1130622,1019751,557394,446523,42
2021,5204616,77361,534643,540877,203256,209490,43
2020,4381273,449464,552238,473138,321229,242129,38
2019,3652737,272220,905606,360659,337612,-207335,33
2018,2671568,90056,916485,244489,192441,-479555,23
2017,1850507,-64214,893988,226357,98020,-569611,13
2016,1671995,-185800,598748,71823,87130,-439795,12
2015,1245619,-81787,436437,102800,79642,-253995,10
2014,999737,-127955,208660,0,36385,-172275,8
2013,468674,-44520,70944,0,26624,-44320,6
