Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,36180970,1031259,10296386,8511067,10859349,9809704,53
2022,30395120,540949,8202949,4924874,11384229,8720602,50
2021,23440483,23985,7890379,4896264,10284846,7731139,50
2020,21802338,103827,8104717,5909491,9538798,7708557,54
2019,21466779,3006643,9404170,7081048,12564076,10383860,54
2018,16717434,-1445606,10182065,14917365,4853328,7377217,57
2017,15602134,20892,7216664,11020453,5016044,8829453,54
2016,13295099,-128689,6353096,11599779,3529758,8810761,55
2015,12418183,184161,4110905,9835616,3237910,8940950,49
2014,10593606,133809,4256781,10051715,2964864,8764106,49
2013,10974237,-477458,4885135,9794713,3656537,8568715,52
2012,12611237,123874,5597711,4324255,4628748,3392533,58
2011,12233966,28562,6192123,5109843,4397541,3315261,59
2010,11275639,50995,6480388,5695183,4298355,3513150,56
2009,8555683,-972320,5768143,6917531,2551586,3700974,58
2008,7395594,78901,5018671,7827044,1862578,4670951,58
2007,6188077,59408,1945410,4196211,2332539,4583340,58
2006,6119794,-170535,2156713,4245782,2081052,4170121,58
2005,5234726,-553775,3104323,4680852,2746958,4338755,58
2023,19061054,1157367,9854763,4191706,6709142,1457438,62
2022,33986906,11503819,13613323,5205302,19574489,11733890,63
2021,26717357,7424288,10207039,8507544,8627287,7608159,66
2020,30458253,8108560,10826477,7902471,10439645,8228560,78
2019,32661352,4429614,12683015,5950765,10688195,4272770,82
2018,27442525,2069666,15774301,8316428,9379969,2189666,81
2017,22807295,2361146,9980346,9790334,7054334,7391463,70
2016,19049450,1947537,7451601,6067371,6001896,5030318,54
2015,16090288,2262678,6075021,4126818,4562404,3082780,47
2014,13944727,104218,7644495,3878048,4358106,1083456,47
2013,12971764,366541,5752244,2498011,3969813,979238,37
2012,9382293,87094,4724695,2112780,3036549,612697,24
2011,6880857,148653,2439171,1361721,1553182,525603,17
2010,4310705,151038,1320266,551516,1128669,376950,10
2009,2049506,83844,958211,404533,713540,165912,6
2008,982045,68976,424782,188764,270588,42269,5
2007,195014,-26274,246063,135085,84271,-26707,2
2006,0,-633,1700,782,485,-433,0
2023,47541209,1803877,18737363,22232329,10347000,13603784,64
2022,48583511,2963255,15631230,19719204,7506918,11799907,70
2021,50182732,4569467,14870157,20410026,8032188,13836652,74
2020,46361643,2844023,12611442,14247022,7578053,9267185,79
2019,41452330,1329304,13680568,13908891,6088939,6423162,61
2018,35126589,697071,11669851,12407820,4279076,5093858,52
2017,39245080,1244177,12353588,11982056,4654502,4375391,47
2016,37262819,1033759,14021870,10970360,6060165,3131214,48
2015,30067474,887278,10514793,7676124,4883234,2097455,37
2014,28467537,549049,5674501,2774599,4093546,1210177,37
2013,15809552,423025,3402759,1530707,2533179,661127,39
2012,2521420,218948,348021,173972,411716,237667,18
2011,86504,5376,48283,14901,33100,-282,1
2010,0,-4145,9494,0,3836,-5658,0
2009,0,-1467,6173,0,3860,-2313,0
2008,0,0,4706,0,3860,-846,0
2007,0,0,4706,0,3860,-846,0
2006,0,0,4706,0,3860,-846,0
2005,0,-1406,4706,0,3860,-846,0
2023,137066089,-10285979,21771697,1112990,21758041,1537408,268
2022,165155542,2669636,14677956,593428,27982195,13897667,252
2021,134079121,4248658,12486825,628106,23086750,11228031,251
2020,119587139,3378243,9385988,416856,15948495,6979363,262
2019,98416074,193011,15914184,842560,18672744,3601120,240
2018,56361083,3064705,7688414,235603,10860920,3408109,170
2017,16823232,434304,2989422,398228,2934598,343404,37
2016,6101319,-53930,1655390,151009,1413481,-90900,16
2015,0,-37980,149535,8453,97113,-36970,1
2023,162629835,8787999,43057645,18958236,35055694,12797083,167
2022,176128001,472887,52456474,22599073,32402215,4009084,198
2021,154022362,-11022736,57606757,26772015,32297666,3245253,228
2020,146997599,616117,63515688,42686240,32395706,16642143,185
2019,194669975,1228924,77578971,47277807,42456640,16026026,379
2018,166347167,1100406,69915123,43773164,35642843,14797102,365
2017,150609931,-156802,71005287,46890838,34101821,13696696,357
2016,135548388,476203,72871568,52671135,31043842,13853498,384
2015,162322715,282958,91836115,49344360,41346495,4452886,468
2014,171893056,-19664081,105516118,61630626,41842202,4169928,548
2013,196971488,-15300239,131070060,85147224,43118503,724685,651
2012,234384932,-11232005,152234220,97392511,67141414,16747931,779
2011,205361292,-4711588,148933693,111416787,52289403,18859936,775
2010,160019878,-12164916,136710988,114018091,42395838,22358899,671
2009,119853650,-6439364,123329221,89856515,32364471,5400587,502
2008,143755379,-4069068,124446570,100866426,34862240,13741151,517
2007,128585876,27515,100319796,89551789,30651269,19883262,459
2006,83154085,5708042,43634720,39688752,19327463,15984722,359
2005,56096370,1451121,28100551,19935423,16350152,9730745,84
2023,17574418,-709448,13922157,15363062,2482573,3923478,27
2022,23841959,376674,14878729,14045069,5216644,4323493,28
2021,17577909,1263340,10361459,10077484,4229776,3826819,21
2020,12174494,253030,7461693,6991647,3402506,2813478,16
2019,12802690,291280,7484869,7236784,2923432,2560448,13
2018,11516033,597259,5411379,4272794,3245257,2106672,13
2017,6226365,343728,4128311,2431414,2224867,529288,13
2016,3627047,75227,2151843,1204760,1066161,135550,9
2015,3166825,38205,1623888,919805,757581,60323,7
2014,2742787,40601,1111301,511449,621970,22118,6
2013,1670519,72885,788784,235342,531899,-21543,5
2012,1256525,-26442,547221,65219,387575,-94427,2
2011,660463,-76187,306083,10559,227538,-67986,1
2010,172852,8001,67305,239,75267,8201,1
2023,8877989,1380683,967085,3835027,1887429,4755371,45
2022,8809420,1578454,1173150,3790511,1609510,4226871,46
2021,7000357,1346414,1250743,2825756,2196562,3771575,44
2020,5812922,1345109,1412194,3101436,1667427,3356669,41
2019,5066879,1134126,854853,2272109,1039864,2458140,38
2018,4389954,1163593,272678,1433459,615865,1776646,29
2017,3135632,735126,776434,1078305,623047,949840,22
