Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,5466756,118184,1935319,1049670,3126374,2241245,18
2022,5365486,298353,1267433,716601,3178521,2401322,17
2021,5532714,886335,716836,584292,2954422,2662185,15
2020,3927730,302901,1070968,42757,3381701,2412228,16
2019,3990187,22436,482601,94840,2829848,2677748,17
2018,3365524,18970,712048,193345,2784975,2676364,15
2017,3586263,19318,1513539,314554,3115699,2670552,32
2016,5266957,654590,654466,455030,3020142,2651235,32
2015,4877813,217007,821426,536105,3573265,3054922,32
2014,5902098,213915,829757,921606,3042640,2837915,32
2013,7162211,430235,1600271,645478,3896551,2624000,13
2012,6072405,984796,988878,493621,2689022,2193765,18
2011,4998159,1189650,352707,303897,1698255,1649445,16
2010,2947292,193957,834937,321592,973140,459795,12
2009,3478081,70872,1005776,524809,767619,265839,9
2008,1626548,132270,347339,256175,723333,200625,8
2007,729615,40124,230349,103069,195635,68355,4
2006,264450,28021,116395,56978,85621,28231,2
2023,805590,53796,1093297,491971,1177193,576323,0
2022,1075802,345461,1031187,422946,1285786,678001,5
2021,1173249,424940,1380584,769931,1180187,569990,5
2020,1223318,501944,1319010,789268,1448566,919280,6
2019,1148288,313052,1363756,807081,1099555,543336,6
2018,786727,95676,760746,448090,636984,324784,4
2017,560850,86007,384318,213063,399907,229108,3
2016,560436,10831,353530,184076,312555,143101,4
2015,620404,12933,253886,233688,152467,132269,4
2014,411833,54025,110493,152889,76940,119336,0
2013,219962,28431,130721,114999,81033,65311,0
2012,217860,-32344,56790,28653,65017,36880,0
2011,172073,21679,79596,45369,103451,69224,0
2010,136110,19216,45090,2392,90243,47545,0
2009,150110,34296,27204,4401,51132,28329,0
2008,86923,5727,37569,6410,25191,-5968,0
2007,10198,-3053,28739,1863,15181,-11695,0
2006,10480,1948,23557,2661,12254,-8642,0
2005,18551,-7770,19265,0,8675,-10590,2
2023,169009,37517,22695,124819,51870,153994,2
2022,257955,7693,99570,135332,80715,116477,3
2021,322680,67834,43798,64325,88257,108784,3
2020,365865,23475,19811,58548,80477,128014,4
2019,412605,46350,42240,45130,127650,130540,4
2018,420622,116347,57570,51401,139991,133822,4
2017,373345,62667,94445,53791,118359,80142,4
2016,364845,25551,15713,48479,23143,58522,5
2015,430264,2365,31803,53285,23254,32702,0
2014,426365,2258,51974,77217,17185,30337,6
2013,396365,10298,60715,45499,32342,28079,6
2012,476600,11856,87589,60227,42167,17781,8
2011,670023,3912,785225,695597,50632,5924,9
2010,698495,123647,937320,748372,113895,4195,9
2009,463816,-349455,1653818,819293,83681,-180175,9
2008,1276116,142050,1844504,1058922,262531,215539,11
2007,724658,9808,2024124,1109842,987771,73489,8
2006,543588,137036,456528,251911,193739,120403,7
2005,225589,5735,84569,9473,56071,-16633,7
2023,626889,198112,205312,343517,238345,348307,1
2022,508948,129927,254684,391131,140681,228195,2
2021,314790,44179,256442,347894,90876,98268,3
2020,239931,2462,295970,376292,82133,54089,3
2019,190147,9033,83447,216767,55570,51627,3
2018,136995,5430,225305,202929,64970,42594,2
2017,120745,7057,291375,23958,304581,37164,1
2016,130393,8577,48669,31023,47139,29493,1
2015,100776,2785,16064,0,36981,20917,1
2014,97479,1220,16454,0,34586,18132,1
2013,104513,5431,22452,0,39364,16912,1
2012,80456,-5068,26058,0,37539,11481,1
2011,91965,18487,23787,0,40336,16549,1
2010,105748,1646,30660,0,30056,-1938,1
2009,89439,-3824,17579,0,14170,-3584,1
2008,62692,5152,15939,166,16013,240,1
2007,53842,-5988,11878,497,6469,-4912,1
2006,25278,876,5588,3130,3534,1076,1
2023,756796,54024,78346,30590,112220,72171,6
2022,655893,52592,68320,37671,97917,70592,6
2021,623020,6950,92854,56194,67567,34866,7
2020,536726,22916,92343,58792,83166,53443,6
2019,462448,25059,95479,51344,93410,52277,5
2018,379327,35288,85272,67425,68746,52113,5
2017,283725,18995,95862,79008,49113,34311,4
2016,254493,38974,25963,9539,39286,24070,3
2015,154489,450,25936,9199,27098,-14904,3
2014,204584,29540,36281,6321,25497,-15354,2
2013,163978,3975,169291,4952,134975,-44226,4
2012,133795,5595,53823,1566,15937,-48202,4
2011,100258,-39041,55842,3375,7106,-53797,7
2010,68454,-11756,10423,869,3465,-14665,5
2009,39710,-6870,3852,1597,2585,-2909,3
2008,16674,-11039,1899,3429,2833,3961,3
2023,2106883,612443,291656,264934,1333351,1306629,16
2022,2075589,479476,461057,378549,1125391,1042883,0
2021,2003001,760925,70229,192542,2565316,2687629,0
2020,1441767,199255,84864,0,2761416,2676552,15
2019,2016302,601924,117902,2965,2592234,2477297,0
2018,1537534,441269,55360,9933,1920800,1875373,12
2017,1199890,757704,112662,22855,1523911,1434104,13
2016,1240083,111972,446111,146464,1674834,976400,14
2015,1137980,126221,1239710,389862,1866668,834428,0
2014,1094791,119061,838525,532286,1196873,708207,11
2013,990069,16519,732188,78386,1242983,589145,8
2012,991535,89216,843244,63282,1406070,626072,9
2011,919625,32945,830668,62901,1304659,536856,10
2010,953950,174419,688845,0,1192756,503911,11
2009,1227966,68467,508522,15531,845643,352652,11
2008,1529521,255665,455425,46605,692381,284185,10
2007,1293845,689,527966,80819,475667,28520,11
2006,1022215,48834,228083,35029,268879,76665,8
2005,806934,34104,126779,28472,180366,85673,9
2023,16353533,6212401,1910016,1896646,35694679,35298538,89
2022,9659763,1332462,1274683,18843999,11972420,29086137,71
2021,11178983,-1131326,1594672,12419633,17281398,27753675,63
2020,27896000,39491,16708879,10470265,20273249,13885501,100
2019,27239543,3463112,15032383,15379873,23282103,23594008,100
2018,22385676,10065999,13626615,17386308,17611083,20130896,107
2017,18070704,2810407,14712415,10529571,17155669,10120187,95
2016,19183036,4468806,14332778,6449406,15277399,7313918,69
2015,14480067,3303140,8952940,4641407,11821241,7419348,47
2014,9250946,1862845,4110771,1983735,6355849,4136617,48
2013,3510049,97521,4754037,1902679,5431051,2461235,40
2012,4192179,305876,3376606,1360461,4595560,2488841,21
2011,3282582,764740,1747265,1191751,3135521,2432966,11
2010,3180663,788339,1213690,1480940,2706519,2468225,8
2009,2340598,15723,629597,1474176,1469128,2079886,3
2008,1227810,22659,228598,823610,2039114,2092481,3
2007,912165,36243,376932,199531,2247376,2069975,14
2006,1330998,2080619,116379,23951,2096227,2039776,3
2005,0,-40939,42731,333,1555,-40843,5
2023,858966,227634,191570,233007,302713,324837,5
2022,714416,75527,96717,63155,231845,167314,6
2021,488872,32304,44737,86952,243416,244416,6
2020,805882,351345,39941,104568,334662,351585,5
2019,444738,57161,105731,110830,106259,72006,6
2018,442263,35657,56539,26074,83985,40635,5
2017,345667,3628,85399,56648,63653,27894,5
2016,653884,93500,134180,90122,153810,93740,6
2015,389725,-50394,79916,86818,145233,141636,6
2014,838511,95225,115263,101159,232806,209887,6
2013,649128,62497,108980,132052,227252,227760,6
2012,651672,100330,50718,38609,184526,165263,4
2011,370060,63580,47223,27835,117998,76837,1
2010,138610,11272,14081,10528,35144,31591,1
2009,242186,7820,58646,11230,90974,43558,1
2008,229805,77443,18962,12255,84350,77643,1
