Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,9331536,1338564,620508,4017608,2800815,6188977,15
2022,9314285,1307532,1345128,4225990,2021234,4850413,16
2021,7624600,949052,2590030,4593867,1637189,3542881,17
2020,6554220,668846,1769725,2945308,1563023,2593830,16
2019,5577416,476974,376849,625238,1868002,1924983,0
2018,4543766,201243,277571,786086,1175351,1448009,14
2017,3570420,128347,281066,815802,938209,1197766,14
2016,2923787,94978,311843,999275,697320,1069418,13
2015,2643317,76215,490045,832397,999301,974440,12
2014,2336016,76761,99744,243501,745206,898225,12
2013,2595816,140031,157925,315523,652478,821464,12
2012,2860130,177173,291901,385221,578549,681433,12
2011,2524014,84923,390328,369437,515169,504259,12
2010,2399815,144214,278463,74941,608427,419336,12
2009,1879019,48041,316252,143509,427538,275122,11
2008,1895673,145286,269409,131738,353056,227081,8
2007,822372,80795,220087,91136,210746,81795,5
2023,35236308,944668,21661593,16582924,25407183,19820949,203
2022,43168049,1691044,25169222,20173779,24840331,18994168,236
2021,42292573,945051,19817111,14581318,23517212,17410347,269
2020,35467898,773744,17619210,14085113,21148805,16542126,253
2019,35128800,672509,14035730,9351372,21403222,16718864,282
2018,29724618,332732,14673928,9343859,22209067,17031933,273
2017,24649790,712293,12079807,8611153,20167854,16699200,247
2016,19148314,272920,8519058,7907757,16271091,15659790,234
2015,14224366,151117,8432492,7498080,16362183,15446386,192
2014,12923175,134676,7851115,8413014,14774636,15336535,185
2013,16268735,308650,8234603,9184803,14204408,15201858,238
2012,15085506,540856,10574610,10204950,15749616,15429956,259
2011,15864203,602371,7860049,10476823,12222326,14889100,260
2010,16231923,1066618,7042246,10044604,11234372,14286730,279
2009,14835051,733447,6252883,10488874,9156176,13392167,276
2008,19247507,831921,8380949,10999615,9940054,12658720,298
2007,16194671,338227,7633882,10708092,8752589,11826799,290
2006,14963988,822690,7018615,10532702,8260464,11774551,294
2005,14704311,333366,7248423,10759212,7441097,10951886,332
2023,25591956,299598,8014763,21344188,10912407,19061049,169
2022,26776179,1483918,6644771,19984379,8286999,19411451,174
2021,28848712,4472104,4337471,19788683,5900491,19107532,191
2020,22122839,2321773,4159717,17395401,5416367,15844900,167
2019,19777560,1876327,4426169,17662309,4730363,14630491,179
2018,20573575,3334571,6237053,18183169,6309678,14325743,181
2017,19248669,2691468,3357879,12564713,4351673,12669068,183
2016,18928814,3299686,3354011,10950146,4648349,11041877,184
2015,16439793,2307102,3284819,9073294,4776737,9122192,175
2014,14681110,2537881,2283335,7871974,4232290,8066682,164
2013,13694631,1313181,2147482,5979948,3223231,6098799,162
2012,12102096,1061303,1964189,5425158,2278708,4627475,152
2011,10662121,1191599,1597055,3543576,2183448,3431885,145
2010,8986755,460505,1797345,3320185,1567347,2290286,105
2009,8144813,511901,3232923,3634472,1339303,1740852,84
2008,6840348,154177,1593096,1964795,857252,1228951,80
2007,4789122,200663,1066997,1621941,444830,999774,87
2006,3578197,168520,1059216,1585351,272976,799111,74
2005,2373393,72256,355462,607115,378938,630591,60
2023,30439917,2441990,9321993,1520983,15653136,6224527,32
2022,27297785,2195302,8013918,1194544,11927297,4490429,27
2021,11106380,531954,3814848,1401298,5414028,2821443,25
2020,10312417,208234,1024710,1698272,2196278,2820965,34
2019,12797512,580538,3122358,1931310,4307138,2928521,34
2018,10229279,350885,1761821,2124399,2572419,2947983,33
2017,11294886,1232851,1322844,1230056,2872179,2630297,25
2016,7690345,426888,1706329,511879,3748789,1530910,22
2015,9646544,1051592,744503,482768,2797122,2454022,24
2014,7267673,739888,961944,456900,2018936,1527743,17
2013,6748229,531479,769784,283623,1498564,1037855,11
2012,4922784,378307,878543,237928,1439541,811279,9
2011,3955139,212718,659914,96280,1201599,639425,7
2010,3310725,234102,625387,52071,1250319,669070,7
2009,1947027,24611,707291,78377,1061689,434968,7
2008,3846873,203389,795777,79429,1126705,410357,20
2007,1944887,203505,560273,92596,781788,314111,18
2006,1473418,3876,350697,73212,391967,114482,15
2005,1592723,45475,278177,31337,357446,110606,22
2023,9454928,371983,8751479,9758854,1197412,2204787,24
2022,8145993,177858,9400733,10141784,1269863,2010914,25
2021,6831480,910482,2691136,3396183,1128009,1833056,19
2020,6670936,922332,2808366,3510913,220027,922574,19
2019,6636397,527952,1779646,3298246,354197,1872797,21
2018,6273931,493436,1988677,2205031,1128491,1344845,22
2017,6114460,851168,1271591,1203809,1445729,1377947,19
2016,5010493,526539,1493661,1259555,760885,526779,17
2015,2887736,76871,806694,516704,582455,292465,15
2014,2189338,104591,700177,591320,324452,215595,10
2013,1709864,1071,521261,265980,366285,111004,9
2012,1499944,74202,625981,337495,398419,109933,8
2011,1278634,135681,391634,111995,315370,35731,6
2010,922220,43303,411132,46683,264499,-99950,6
2009,462535,-132854,345678,52705,149721,-143252,4
2008,59754,-10598,110565,54786,45381,-10398,3
2023,442739,-35335,198423,66547,49515,-81799,3
2022,511158,3645,226256,88879,90631,-45798,4
2021,443465,-788,222054,113242,66671,-49443,3
2020,337336,-32819,260398,137817,81795,-48655,3
2019,326768,1263,289167,177590,95741,-15836,4
2018,269357,3473,189888,87211,85578,-17099,4
2017,427681,760,191708,91626,85010,-20572,4
2016,343659,1860,244654,94873,78449,-71332,4
2015,336523,6251,246515,99351,73971,-73193,3
2014,323887,1260,239383,84582,75357,-79444,4
2013,385769,607,248575,86497,81375,-80703,7
2012,396945,4515,243739,93980,64883,-84876,8
2011,348183,-49635,242083,101840,50852,-81200,8
2010,418407,-40459,207402,117825,49821,-31565,4
2009,420871,6355,119448,82953,36706,2539,4
2008,382603,-15837,141777,109133,26009,-3816,5
2007,213926,2732,119655,105590,26086,12021,4
2006,139118,3994,67165,62613,13841,9289,2
2005,101165,21283,28387,25235,8447,5295,0
2023,48974821,975475,26779898,18889220,21038260,13112849,244
2022,53218613,5033295,29062220,20550998,23085799,14530976,244
2021,50804438,2746189,16095907,18521220,16019138,18391982,316
2020,40626914,5997176,11871689,12688726,15407781,16174821,267
2019,38208088,680426,12006208,7539588,15110207,10573382,330
2018,36281233,1088026,9941443,5080867,17001400,12061751,338
2017,34764944,521809,12433682,5158627,18342658,10973725,342
2016,34512842,1887329,10775382,4686747,16661717,10451916,353
2015,29219844,2050253,9402927,3478318,16470025,10386274,329
2014,28265949,709388,7799153,2876455,13319916,8336021,330
2013,22872656,318976,9150366,3250996,13619557,7640570,319
2012,21761544,33234,9306357,3472891,12652058,6720555,304
2011,20288979,181085,7601974,2735921,11669831,6687321,234
2010,21604315,942967,5083563,2792581,8952126,6506236,233
2009,14019523,1121351,3433455,2670513,6480301,5543940,227
2008,13152044,1147854,3758704,2631473,5549819,4422588,211
2007,9864171,836828,3707204,2804594,4177344,3274734,221
2006,9030473,1191984,2411550,1793916,2998297,2380663,207
2005,5889865,177686,2124969,1635699,1677838,1188679,159
2023,1922845629,74642924,422944084,533363199,390619903,490036785,"6,013"
2022,2085962727,43177369,499486073,444456870,425900432,370613260,"5,292"
2021,1627925310,10389612,458528943,437865016,369406670,348468542,"4,967"
2020,1183797690,56777932,365131273,413631473,304500274,352710508,"4,640"
2019,1144289276,50971068,339821639,368754833,242380360,271048941,"4,368"
2018,1068065586,21649682,398016855,398021195,231563329,231356242,"4,297"
2017,1001204362,37227845,391799593,417871302,188232159,214145205,"4,544"
2016,838324225,45373224,332336224,333831984,160797477,162147751,"4,133"
2015,659360337,27829398,323250917,292273923,154740607,122563998,"3,240"
2014,567145182,24820532,258589699,226845015,126408954,94734600,"2,845"
2013,546503795,29153589,213440545,182716978,105824538,75254253,"2,859"
