Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,2792586,-1074318,1131831,13521217,3609135,15957062,11
2022,1473203,58408,550680,14071344,3616345,17092841,11
2021,1191123,-2842875,5206629,21607233,2853053,20401758,11
2020,3144357,-961642,3433088,19540044,3466642,20741634,14
2019,2878922,-851231,2937584,20027726,3648927,21851623,19
2018,1630738,-1453442,3034177,20540574,3764208,22406160,20
2017,1362943,-2264913,2843725,21259185,2613359,21428826,21
2016,1399732,-1099043,2864893,23425574,3538388,25033134,23
2015,1398330,-3214736,3354724,25929035,2438129,27757740,24
2014,1926622,-934944,430694,26696110,6054930,32339406,25
2013,2337878,-2021375,815355,22475358,5866844,27542817,36
2012,2912754,-1856059,678708,21858677,6843297,28077853,49
2011,1816313,-1466629,487926,21696388,7868866,29751876,48
2010,2490438,-1791363,398537,21751599,9715355,31522716,48
2009,1604304,-2824733,387149,8894732,13605422,22333227,46
2008,1976150,1587891,636296,9151794,17068786,26046483,51
2007,1392342,447461,372987,7607406,15050908,22285327,54
2006,1282804,-942646,168890,20644389,14341432,34827659,57
2005,1108883,112907,164451,81878816,4686672,86513014,47
2023,8361001,2518786,13440996,66610910,27856405,77211428,41
2022,7712069,541702,17986703,67105987,27843717,74164755,38
2021,7838644,805589,16232285,67842519,25327412,74244173,40
2020,7235856,-109073,7546762,69664318,13784315,73117024,40
2019,6715652,338184,9141630,69604940,15188196,73442915,45
2018,6488368,145335,4267210,63903788,14206180,71805233,45
2017,6089208,391702,5924727,63767009,16172717,72048882,42
2016,5743354,496664,4802782,38928271,14614070,46752308,44
2015,5182885,155282,4198695,38613069,12606964,45270114,42
2014,4798286,728045,4382624,35522056,15491259,45456803,40
2013,3546731,6674871,6112763,33326519,23674626,49672026,39
2012,5916696,482828,4139383,34188310,8978882,37551044,39
2011,5747056,1355079,4321620,33632755,9585058,37660556,33
2010,5803682,3311442,2824605,35253050,8050199,38660846,31
2009,5422854,4623434,3950335,35162810,8764748,37045575,29
2008,3054250,10037223,595058,27831627,9250609,33150948,43
2007,909911,7105656,4083197,23471950,6984184,26372937,37
2006,3674319,1898544,4281843,19014349,1300102,14526486,34
2005,2592177,6655407,2023566,14868112,4719744,15955646,26
2023,1674494,433854,1088431,268013,1312533,472900,3
2022,1827309,508297,1004590,309014,1243913,548337,3
2021,2601260,1082775,707017,322912,1510666,1126561,3
2020,2756383,1154986,1170424,370143,1994310,1194029,3
2019,3268804,1381971,692166,329952,1776329,1421015,3
2018,2607887,769074,305783,139466,973705,808117,3
2017,2401878,1002517,250403,181124,1140573,1071294,3
2016,1923095,615624,271587,128643,827341,684397,3
2015,1786475,442313,185371,182049,574095,570773,3
2014,1375985,232499,215009,110574,405187,300752,3
2013,1132773,245611,245725,78523,941394,774192,3
2012,1626209,499166,192113,96767,1029659,939523,4
2011,1216263,380585,519087,122625,826578,440357,0
2010,1024433,193134,453260,3183,709849,259772,4
2009,896614,144248,313361,3729,569404,259772,4
2008,661043,76481,364565,4275,475814,115524,5
2007,730609,124399,392351,0,431394,39043,4
2006,705299,304168,426995,0,466038,39043,3
2005,512822,203502,85834,6155,322224,242545,3
2023,11829681,2404362,3452821,8190149,6382260,9883837,2
2022,10804631,1142927,2233490,7178865,3711622,8467465,2
2021,5246947,635460,460445,7464412,2166542,9702340,2
2020,4124867,215692,521431,7798756,1983592,9123365,2
2019,3780324,322241,205781,8346161,1482613,9090041,2
2018,3718491,281909,657944,8055782,1996963,8767799,2
2017,4228332,671926,1363163,7873491,1975858,8486186,1
2016,3179183,254720,2269660,8348924,1730495,7814260,3
2015,2915482,124957,2868265,8479848,2473862,8085445,2
2014,3942506,244304,3258050,8816145,2402393,7960488,2
2013,3964268,150321,4038590,9392180,2380596,7716184,6
2012,3749722,317355,4686061,9919156,2350770,7565863,6
2011,3777642,379097,4837238,10372406,1727692,7248508,1
2010,3374160,328656,4734602,10758142,860224,6869412,2
2009,4741406,1179308,4497819,9610368,1442560,6540757,1
2008,3343403,527294,1065495,5895669,647053,5480877,1
2007,3563442,910669,1012444,3792959,2777276,5557791,6
2006,2032075,1382229,966925,3760126,2003635,4800484,1
2005,3171328,2613645,1385300,3144364,2647862,4256625,1
2023,8253708,80111,906307,25252141,8166577,31352584,15
2022,7661613,-1036255,1394763,25845820,7779006,31272473,14
2021,6507004,405404,1357397,27153115,7144950,32643337,16
2020,5594941,194424,752996,12173608,6255917,17580231,18
2019,5613605,64749,1028923,11861705,6690540,17413501,19
2018,4873224,-44531,569938,12700471,5340051,17337791,19
2017,4481620,-350595,2004984,13470984,6062776,17391890,20
2016,4319194,27286,453855,16102557,5684406,21180934,22
2015,3914841,667543,364661,16947881,4343541,20759306,21
2014,3577814,247093,339995,17886073,3675229,21039804,23
2013,6114473,1320059,328354,18972918,3744907,22193004,27
2012,6363932,468536,735420,19028819,3966205,21984776,30
2011,5519694,258572,627480,5577821,2959195,7647389,30
2010,5340718,1104494,570414,5921024,3259983,8326344,30
2009,4842737,788550,501940,4671961,2607301,6480161,31
2008,4558722,605609,343549,5079759,1570969,5993781,30
2007,4262988,496558,737968,4844336,1562434,5668802,32
2006,3522825,371849,527378,4606567,1607931,5380788,33
2005,3232653,452127,426993,4270890,1610262,5132541,33
2023,18075,-94964,0,960350,652008,1612358,3
2022,26250,-138965,5737,1002829,710230,1707322,5
