Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,332981023,-17973308,24393433,295386114,200113858,141902290,609
2022,424509686,17062103,44139432,288987350,219119196,159037845,595
2021,321696269,100106771,31304578,242492407,281963593,194555358,620
2020,255523727,6913774,30713681,283444752,184387393,94997643,592
2019,262802035,7642629,32641783,289047204,160433818,83617491,600
2018,217526048,5073452,20626219,264930748,118543386,71178775,561
2017,149791833,5600331,34592696,269918622,104266283,73453698,539
2016,119174481,4664737,16314150,134695272,61707398,57224242,533
2015,140757842,3406121,23524315,58058300,65648316,51607519,534
2014,145035045,5585845,33048033,57091343,74288309,51222647,509
2013,151979911,7944827,42590273,51527844,83908104,49956503,491
2012,154154153,11369361,55172610,45378010,83611371,43670118,494
2011,150566703,30680272,64362195,44362641,65936480,32264978,476
2010,113908373,18825347,71558625,47023515,41256139,2522675,431
2009,20227970,-17983372,72610923,51069939,23403895,-16338072,203
2008,29399069,4449571,64903994,57773542,28574173,1645300,148
2007,31371665,2958222,96881340,58496678,33063476,-5321186,187
2006,104777755,5874015,81292569,63892207,35528104,-8289698,824
2005,74089049,-13499115,77260533,72567859,13787297,-14310713,"1,009"
2023,6407723,152821,35964799,103933043,5941761,60294326,60
2022,6411921,4328428,36633437,106610201,4718612,60543772,61
2021,5896027,469454,36570533,101603539,5887091,56235794,63
2020,5367230,-389027,36580121,103241782,5199223,56141666,67
2019,5997439,187510,31752629,104269844,5444952,61105358,88
2018,4442981,86877,30680541,105037845,4868563,61198256,81
2017,3495861,-1251320,29571266,105861742,4256147,61276907,81
2016,3453259,85987,27452959,112078991,3904737,85313533,67
2015,3398548,41152,27135041,113350229,5171428,85349093,67
2014,4130481,11364,9302992,96052914,4517671,85320233,94
2013,3388331,122808,9094933,100868401,4617334,86268595,87
2012,6200556,11160767,142229255,168908288,4581023,22812685,107
2011,6679374,-67468968,148282574,157416043,6516545,26165141,120
2010,8472154,-2045360,146768308,186547428,7943500,35737528,138
2009,11527385,64574,145843181,186878837,9274673,37881640,126
2008,18512362,-6984546,11020598,75718055,12834003,63386523,232
2007,11745913,-1716529,66140964,60493539,47769998,42122573,333
2006,10376919,-3315968,44533402,53279658,39667223,43839102,123
2005,79223,-1178582,19027399,39613371,17335038,31425823,62
2023,263927,-85274976,2393598709,955696,783629,-2393474383,21
2022,229430,-187920364,2309028806,897540,917744,-2308229504,22
2021,251360,0,2127974349,8742975,2293087,-2120309140,22
2020,171387,90381831,1884735322,8055949,2004489,-1875084169,24
2019,92566,-184994472,1980572744,11763779,6401620,-1965466000,26
2018,49913,-177940461,1802070894,21607139,4587553,-1780471526,26
2017,42029,92255029,1645855808,43592816,5171186,-1602531065,30
2016,44013,-132110629,1713614350,44069220,3274463,-1667763330,32
2015,11197,-1330038603,1595503533,64152080,2947087,-1535584249,83
2014,66469,-212785114,1362517952,1172800277,2604334,-205545646,250
2013,361114,-58759573,1138599742,1148776015,18993810,7327608,487
2012,393105,-111554429,1365061998,1111221237,19684124,-255988039,465
2011,11801,-161030402,1181045090,1027009689,33906660,-143428764,478
2010,11785,-165402226,910018555,932236287,18256492,17852892,314
2009,12864,-162822137,733513436,902532311,27435583,181986971,193
2008,7600,-226045527,1142276168,887318762,48061906,-254198941,212
2007,107111,-63031174,740392389,706035576,9405963,-31981208,450
2006,18752,4441900,496452588,511542774,17861147,31054345,394
2005,517727,-29605381,400626074,413136922,3444345,16241813,340
2023,3914428,25488,15940050,22127490,4334317,10785018,82
2022,7747000,62364,15519276,21984886,4111820,10759528,80
2021,13609793,901122,22105739,22636070,3569057,3560931,80
2020,11993861,773370,21631169,23409332,2587235,2659809,75
2019,9450415,320482,21674421,24345898,2164440,1965044,82
2018,9690047,489261,22237061,20901097,2664775,-2800866,75
2017,7636876,35739,22007536,21934794,2061513,-3308037,75
2016,9611114,18299,23103722,16271642,5039455,-8256565,80
2015,11683262,-7459069,20468653,17224990,2614469,-8274864,80
2014,10508689,25884,17557859,18525993,7243145,-815795,110
2013,4010162,19162,13407128,19091559,3667835,-841679,81
2012,2001202,-3209996,11397237,19059301,2577591,-1120679,49
2011,4286459,36085,13739470,20440548,7914204,2089316,49
2010,5049705,-559642,10428161,21875384,4296893,2053229,30
2009,3975182,-2205108,7544226,23649119,1365998,2612872,30
2008,7830385,44793,7243903,25509310,2556496,4817980,200
2007,9222348,49038,17673952,15451466,7513799,4773187,200
2006,24601000,516512,5094658,8368806,6915173,4724150,250
2005,20128000,35532,6406146,8261820,5444177,4207637,368
2023,23552,-1224461,13848775,5487677,185465,-8175633,4
2022,24202,-1429561,12946755,5806603,188980,-6951172,4
2021,275261,-1407805,12428043,6359560,546873,-5521610,5
2020,109387,-1630427,12608977,7656427,838744,-4113806,4
2023,370079,46371,108011,633681,703690,1229360,4
2022,1151202,579165,294712,680570,953052,1338910,4
2021,768227,255423,582729,169001,1173472,759744,5
2020,768849,282851,133866,50730,1287457,1204321,4
2019,1051119,246845,268500,14065,1175905,921470,3
2017,1884145,409266,878249,46237,1057722,312324,16
2016,1435441,288404,485861,66330,601179,181648,19
2015,3318603,130310,542427,98369,444352,23554,26
2014,1881851,107182,508951,57414,282376,426,27
2013,1870533,-106956,591205,70252,414197,-106756,33
2012,891322,80137,501032,1991,579378,80337,32
2023,127981,365,26059790,2103576,881288,-23074926,1
2022,86386,-52332,26057228,2103576,878361,-23075291,1
2021,39886,-195538,26053059,2103576,926525,-23022958,2
2020,293870,-150358,26070918,2103576,1139872,-22827470,2
2019,100114,-44260,26060447,2103861,1819823,-22136763,2
2018,123593,18784,26051709,2104045,1855161,-22092503,1
2017,103147,1313,26047314,2104045,1831982,-22111287,0
2016,118517,34785,26049266,2108556,1828110,-22112600,2
2015,121239,30224,26074887,2108925,1818577,-22147385,2
2014,112490,14865,26265894,2106188,1982096,-22177610,3
2013,117773,1670,26451936,2113296,2146229,-22192411,3
2012,114604,55504,26565388,2113296,2258011,-22194081,3
2011,119648,-197107,26572818,2064335,2258898,-22249585,4
2010,91349,-2695421,26558142,2247278,1459644,-22851220,3
