Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,2874261,285268,332514,297639,1130200,1095325,3
2022,2378400,219054,219142,314448,720492,815798,3
2021,1697523,171856,121253,344960,426909,649940,2
2020,1106291,138117,83259,223775,357913,498294,1
2019,831070,46967,165360,232114,306983,373602,1
2018,585229,27136,206823,247602,285991,326635,1
2017,366041,18958,162057,265209,224105,299499,1
2016,298372,15283,211319,210046,212719,211311,2
2015,229871,20681,159783,173249,183032,196028,1
2014,174184,6518,132277,175501,132123,175347,1
2013,15523,-4454,124649,175538,116153,163096,0
2012,85,-5456,103565,175538,89834,167550,0
2011,893,-13508,102143,175538,93868,173006,0
2010,2472,-9531,101256,204512,106489,215488,0
2009,6126,-27530,96315,204512,111079,225019,0
2008,502953,-32664,127109,231118,142161,252549,5
2007,626258,6083,221940,153963,259472,191495,7
2006,653029,17413,162796,118854,226828,185412,7
2005,470290,5316,136116,120334,181255,167999,5
2023,14384063,1639645,4834405,6079271,12200903,13458127,42
2022,14152504,1517094,3079989,5969587,10005775,12901087,41
2021,11839915,1282728,1432956,5928072,8309005,12810305,46
2020,12843723,2142564,886307,5479224,8424282,13021257,48
2019,12275183,1806446,891824,5048236,8275694,12438480,46
2018,9743084,762028,658683,5165915,6893261,11378870,50
2017,9794217,1056429,631508,5456665,6882592,11714732,52
2016,10470931,1517899,974249,5670893,7331742,12040406,52
2015,13471718,2278382,875124,5731214,9120194,13984836,51
2014,13223064,2087399,1016271,5978285,7445860,12393028,53
2013,14756848,1872238,871300,6340100,6977557,12397893,60
2012,15836902,1579396,1588948,6611183,7633997,12565320,66
2011,13367926,677961,1154371,6792839,6868521,12374852,68
2010,12906354,825015,963810,7131372,6689376,12686176,71
2009,14673799,1284310,856039,6847507,7300460,13078233,81
2008,17628209,3679958,1296515,7408402,8391251,14248684,98
2007,16760039,2018384,1447086,7716386,6229886,12499186,103
2006,17035220,2236264,1341329,4198715,7947960,10488659,109
2005,15635814,2633453,1104036,3116328,6369573,8406588,114
2023,7922838,1921624,643811,1155398,1621514,2138847,21
2022,6970582,1113920,1295312,1207586,1494213,1413522,19
2021,5385718,625505,795662,1222571,1353261,1786809,0
2020,5534229,834905,1720526,1398276,1978436,1661303,23
2019,4686453,861392,1384034,1390455,1455526,1474443,23
2018,3656883,483922,1215221,1222986,1599041,1616732,20
2017,3325055,335389,1052942,946887,1251051,1152810,20
2016,3826481,808060,1200399,1000166,1067580,878621,22
2015,2791432,262250,843292,979559,1815084,1911359,19
2014,2903621,404951,922104,982091,1696275,1715211,19
2013,3402681,384755,1048962,1003254,1396363,1310260,22
2012,2749345,263841,932617,965840,890048,925505,18
2011,2259638,49438,782073,690708,749974,661664,16
2010,1778323,58298,584634,440352,756508,612226,17
