Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,6386403,1321580,662315,574669,2374051,2329293,2
2022,5647616,1399522,231979,522983,1343698,1640371,3
2021,3246178,167153,790630,541480,484766,240848,3
2020,1963531,-588806,1348973,881682,535755,73696,3
2019,4750308,-345211,1543433,1152449,1048254,662502,7
2018,5523741,276815,1451920,1264819,1453455,1271586,7
2017,6739147,693898,1295158,1666649,1190490,1569925,5
2016,6851661,1074385,981171,1336767,1120500,1495407,3
2015,4694926,799862,901803,1073197,813975,937559,2
2014,4249077,465725,560473,629448,397950,466925,2
2013,3484481,337798,329931,414172,254757,338998,2
2012,2508724,305682,238698,401538,144042,306882,2
2011,2406741,245773,452838,362626,337185,246973,3
2010,2602428,409175,196813,187831,416795,410375,2
2009,3291130,308889,142898,165837,279071,310089,1
2008,3013829,410947,347641,101404,610642,412147,1
2007,352779,109905,144100,2842,142458,1200,0
2023,348067,69932,566327,48430,134271,-383626,1
2022,167343,-65005,598744,62917,82269,-453558,1
2021,71394,-41842,566229,77403,100273,-388553,1
2020,35220,-40858,509720,91891,71118,-346711,1
2019,62236,-77560,497535,106378,85304,-305853,2
2018,82008,-60757,445036,120865,95878,-228293,1
2017,46672,-81609,386663,136560,82567,-167536,1
2016,77206,-23396,237326,59669,91730,-85927,1
2015,76160,-20463,156541,3863,90148,-62530,2
2014,45215,-21233,120269,5761,72441,-42067,2
2013,65939,-11047,89505,7658,61013,-20834,1
2012,76691,133715,89969,9555,70627,-9787,3
2011,57920,-37959,226094,1492,81715,-143502,2
2010,71612,-42740,192715,15174,72613,-105543,1
2009,95671,-95248,182369,24848,91261,-62803,3
2008,119506,-60212,110604,32995,109431,32446,3
2007,157280,97849,70002,0,162660,92658,3
2006,52211,2266,44760,0,43252,-1508,1
2005,23714,-1796,17442,0,13668,-3774,2
2023,3694872,113624,2276387,268744,2697710,1011585,5
2022,2296170,97606,2395565,361300,2701686,897961,4
2021,1140519,-91604,1380434,64471,1982268,800355,4
2020,1738153,320338,1206944,236946,1787194,891959,3
2019,1612638,213415,1300044,329547,1455043,571620,6
2018,2529797,14566,1047289,159031,1311605,357996,5
2017,666272,39785,1376336,128123,1566255,343429,3
2016,2178666,27890,1860624,153617,2073645,303644,2
2015,1505183,14077,923980,8359,1291746,275759,1
2014,2053927,51626,1114565,9937,1472676,261682,5
2013,1238999,-18875,619190,11710,608504,210056,4
2012,1550069,225665,521483,11035,336378,228931,2
2023,3428090,51009,1478734,3113190,489073,2123529,31
2022,3052174,173131,1965306,3196290,547745,1778729,28
2021,2637712,335198,1563673,2821838,347434,1605599,31
2020,1383533,3326,2203294,3000155,515175,1339826,33
2019,3139684,256428,1797903,3037564,160998,1453817,38
2018,2810780,-25575,2270161,3206842,170762,1197389,37
2017,2679423,73509,2954793,3646048,466671,1222964,39
2016,2580921,18454,3438654,4136342,416148,1153763,42
2015,2747352,271566,4050200,4640671,503563,1130547,43
2014,2631157,6572,3788238,4358423,115665,776386,42
2013,3509918,462093,3705912,4312965,236756,769814,46
2012,3038876,56171,4157539,4838889,121623,307721,50
2011,2846014,-719072,4765150,4952221,167819,-110100,51
2010,2488278,-1762409,4789010,5591555,527440,631712,30
2009,1006309,30991,4430695,4067955,316952,915314,11
2008,911229,79290,2886776,3373233,286777,901794,10
2007,463974,17617,1481343,1813299,490548,822504,9
2006,6175380,94771,997426,1633196,184938,777079,29
2005,12095918,360999,2278581,1530580,1221436,682308,34
2023,1735196,435680,809096,1381131,693031,1275275,13
2022,1894395,507046,373988,568166,626790,839595,10
2021,1706816,541451,193919,428102,627347,874000,10
2020,611071,-287021,423535,633585,101468,332549,12
2019,1725602,371453,526762,783635,329961,619570,17
2018,1515891,350097,780274,888860,92394,248117,13
2017,1026882,79886,816618,637276,68516,-101980,12
2016,916818,227300,717229,470424,47703,-181866,9
2015,508302,188787,821104,324588,68296,-409166,4
2014,84383,-67859,715770,81619,35032,-597953,2
2013,78048,-148456,594722,6208,54937,-530094,3
2012,71199,-123555,534672,96830,55037,-381638,3
2011,96328,-116858,398052,94480,41408,-258083,3
2010,131452,-90141,298356,123152,33979,-141225,5
2009,44979,-31970,178065,125183,1798,-51084,3
2008,0,-17620,51560,31733,713,-19114,0
2007,0,155,1679,0,185,-1494,0
2006,0,-1849,43371,0,41722,-1649,0
2023,133487,9084,490038,57268,150587,-171780,0
2022,0,-64,453733,51465,111148,-180864,0
2021,0,0,453733,51465,111212,-180800,0
2020,0,0,453733,51465,111212,-180800,0
2019,0,0,460539,51465,118018,-180800,0
2018,0,-63,460539,51465,118018,-180800,0
2017,5100,-2492,460514,51465,118056,-180737,0
2016,122920,-46086,464442,52352,123498,-178245,0
2015,206387,11839,510583,111056,153857,-132159,1
2014,291412,1388,449171,45116,136169,-143998,1
2013,287011,11722,543887,18752,236099,-145385,2
2012,1222055,-52359,403476,29986,72203,-157107,4
2011,1654560,13598,534860,67656,152178,-104748,4
2010,850135,-65151,561972,130417,283465,-118346,6
2009,1328537,-91592,549826,191437,291454,-53195,4
2008,2592019,-190649,684288,323549,389308,38397,6
2007,3499363,227415,679059,247032,661073,229046,6
2006,1891900,65410,365605,202053,247776,92701,6
2005,1773240,25660,233218,60117,196725,27291,6
2023,228366,2785,96845,0,141119,44274,1
2022,231233,91723,181931,0,223420,41489,0
2021,0,-4054,63053,0,8765,-54288,0
2020,0,0,99420,8404,40782,-50234,0
2019,0,0,99420,8404,40782,-50234,0
2018,0,-134,99420,8404,40782,-50234,0
2017,0,-18483,102891,8404,44387,-50100,0
2016,10350,-41523,84710,4250,48812,-31618,2
2015,26495,-65289,63870,5034,68741,9905,3
2014,453427,11589,101190,5818,170566,75194,3
2013,318843,-26393,58376,6602,111576,63606,3
2012,531655,-7227,59252,11825,131621,89995,4
2011,377264,64651,108489,10783,188302,97202,4
2010,213071,-23001,58552,4182,86701,32531,4
2009,316367,10551,31489,6070,80738,55532,3
2008,178061,15544,18474,5283,54472,44981,3
2007,154031,28837,14544,178,43803,29437,2
2006,58610,9591,6971,305,16741,10075,20
2005,0,-16,605,377,712,484,0
2023,1729269,413927,530942,2749923,1236896,3455877,10
2022,1550841,716082,565541,2451993,1383768,3270220,7
2021,612723,242417,441474,1967556,1139149,2634136,3
2020,264827,-50816,511070,2032464,933483,2454877,6
2019,925829,112423,543166,2101646,947213,2505693,8
2018,714243,265127,634221,2081911,945579,2393269,9
2017,640370,386123,840370,2116845,851667,2128142,9
2016,552984,-7505,1281317,2205541,817795,1742019,6
2015,593741,-91300,1366418,2301252,814690,1749524,5
2014,593625,268996,1296921,3703816,1350694,3757589,9
2013,581979,15470,1276329,3907561,769808,3401040,10
2012,474843,7020,1940863,3888958,908495,2856590,10
2011,511757,-6452,1988753,3947139,915228,2873614,10
2010,537684,14994,2092208,3915040,933993,2756825,9
2009,385902,-49763,2696242,4349102,1049679,2690989,8
2008,106514,34944,1661171,3960413,457163,2756405,1
2007,7972707,58577,427196,1003949,185699,762452,1
2006,9228766,267163,1255535,1004567,954082,703875,1
2005,182395,93371,722380,995538,159072,436712,1
