Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,2285691,282055,1820612,456862,3855668,2527998,12
2022,2704479,590727,1606274,462573,3384336,2245943,14
2021,2414325,515110,1446217,486968,3654277,2718920,14
2020,2756480,428572,1541258,450187,3288567,2203809,14
2019,3727194,217796,1851630,464145,3584353,2207710,22
2018,4101045,214676,2103227,706015,3371704,1989913,27
2017,4830863,287398,2224175,731950,3246167,1775238,26
2016,6434796,572568,2778359,990595,3483960,1719419,22
2015,5817165,407552,2007773,1026803,2880388,1917557,22
2014,5731703,334061,1872812,602618,2757253,1510005,27
2013,6227251,322585,1651239,362392,2467794,1173474,30
2012,6663233,180062,2874360,236950,3240549,609951,36
2011,6956201,15377,3030249,260352,3212277,454496,44
2010,7550089,52622,2691661,320377,2797420,439119,42
2009,7209146,31505,2803373,414365,2767179,386497,44
2008,6698797,222237,2428398,243298,2532482,354991,44
2007,4296401,37763,2353827,240839,2245742,132754,46
2006,5067623,36953,2513934,218776,2436903,141745,42
2005,4615960,14538,2252367,207308,2135598,90539,44
2023,5431653,213085,857939,266136,1096145,504342,30
2022,6522668,477916,874615,292529,1240017,657931,29
2021,4834393,646442,728864,687683,908716,833135,33
2020,3799715,19543,538002,1062764,726588,1136523,34
2019,4271961,1825,469893,1337000,892589,1564442,37
2018,4901016,1390065,562143,1667542,1383877,2213595,36
2017,4168162,87021,704598,1454652,836482,1230025,29
2016,3977187,137526,581155,1684333,829139,1408793,28
2015,3665727,106324,281398,2076871,541931,1629661,33
2014,3795202,81742,502174,2383677,516478,1523337,34
2013,4609724,647644,1142099,1803059,1088691,1440090,29
2012,3325006,107565,898621,1665966,410493,792446,27
2011,3424223,390599,897468,1797964,343389,778631,26
2010,2697372,69522,687170,1396263,643958,819105,23
2009,2414006,326400,206863,924872,260430,872212,20
2008,2800408,422674,544086,833854,587495,805454,26
2007,1081325,122629,191400,289655,284525,382780,21
2006,870921,139686,294023,453132,98933,260151,23
2005,644485,119956,344805,392267,72507,120465,17
2023,10229133,1368084,6032619,2277596,6098354,2384420,22
2022,11165174,1999296,6342654,2100123,7245319,3016336,22
2021,3682392,199516,894220,2111413,1569909,2817040,22
2020,3379556,183985,785721,2172621,1220183,2617523,21
2019,2831982,235686,843574,2336196,1610903,3117750,20
2018,11089200,83728,1075656,2418130,1513029,2882064,28
2017,2873962,125266,4217966,2638649,5484273,3932416,28
2016,9655491,1464374,3555603,3105489,4236309,3807151,24
2015,6195648,1251189,1282647,1765324,3552385,4053618,20
2014,2941163,240518,247096,1598836,1746645,3107784,22
2013,6004922,1892546,470016,1638844,3405640,4574468,24
2012,6051208,1352319,833177,2013168,2601437,3781921,22
2011,5456674,1174524,656354,1504749,1874953,2723348,22
2010,2829616,221841,961323,1639867,1094595,1770665,19
2009,2201434,14438,920066,1478320,1028093,1586347,18
2008,6389466,316653,2886688,1620906,2837692,1571910,22
2007,1481362,293746,1000739,1510680,581367,1091308,24
2006,24928187,3359486,8979973,953627,11810537,3789640,24
2005,3369979,876239,1621869,458859,1584367,430154,24
2023,572147,4495,430239,2030,841542,62482,4
2022,847435,5370,419989,18110,434818,57988,4
2021,2537321,7804,288442,51453,290395,52618,5
2020,3194810,2369,1905584,149862,1834546,44814,7
2019,2029236,45714,1081238,56039,3067529,325675,5
2018,575390,49233,237318,14415,467026,279961,5
2017,4427625,53877,526789,23426,715304,230728,6
2016,1231105,58788,83149,31207,273342,176852,6
2015,2655883,33042,377326,46741,510676,125446,7
2014,2018985,31571,303501,61523,334382,92404,10
2013,2312905,56833,656245,58331,658747,60833,10
2023,15553761,667941,4801946,2323501,10726169,4288275,25
2022,13915353,589179,4378020,2192600,8516666,3793383,26
2021,8252707,475720,2186911,2242530,5322129,4327225,23
2020,9547732,636135,2675257,2296638,4786528,3931505,25
2019,11893572,691560,3451992,2154133,5291962,3433170,27
2018,10561924,281748,4325485,2040648,6368791,3463816,32
2017,9104039,261748,4327719,2511509,6336268,3542019,34
