Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2014,464955,0,211270,5097432,1697839,60006,12
2013,398503,0,257304,1029330,977838,629,12
2012,374462,2,198534,932927,1124158,629,12
2011,363642,13,484209,984743,2193209,4216,12
2010,400370,4206,157191,759554,142010,4202,12
2009,180557,-3592,152297,599875,137305,-4,10
2023,2093739,0,838170,9793877,763964,920917,15
2022,1779162,0,1007460,6272549,5237987,913121,14
2021,1469084,0,947816,6286905,1095011,913121,14
2020,1273131,0,924981,6471245,1418248,913121,14
2019,1345421,0,935402,6648290,1134016,59801,14
2018,1301842,0,996114,6819560,989926,913120,14
2017,1089204,0,812278,6833636,354602,51074,13
2016,875348,1,866356,7097514,431402,51075,13
2015,743096,1,2677824,7396614,458028,51074,13
2014,538291,2,3886260,4155833,3989015,51073,15
2013,607687,0,1177953,3758847,3697222,51072,15
2012,747367,0,905280,3218129,2472146,51072,15
2011,597522,90,721395,3151438,254948,51072,12
2010,570739,-6381,582720,3203779,180855,50981,12
2009,260689,-1508,577160,3039994,198279,57362,11
