Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,1218171,79799,423461,11195,637335,225069,2
2022,244187,86275,107594,11897,240967,145270,1
2021,125470,49666,12939,12740,59194,58995,2
2020,73025,7610,31256,13582,27002,9328,1
2019,34292,173,27456,3352,25822,1718,1
2018,22625,1345,13330,122,14753,1545,0
2023,15151387,138718,4517321,1096842,1356213,-2012955,156
2022,13192804,-182731,4361545,952455,1233499,-2151672,146
2021,11567975,-534149,4462485,1174562,1239410,-1968941,150
2020,9092358,-1265397,4997637,1561287,1863170,-1434792,143
2019,14705492,269498,3936157,2154710,1622123,-128482,193
2018,12629139,141285,4305668,2343751,1373146,-337119,171
2017,10669184,50394,4309423,2062646,1564420,-478404,140
2016,8736066,94626,3764587,2017811,1159939,-508354,119
2015,7394938,31986,3140246,1487453,975302,-602980,0
2014,6663833,25888,2663755,1176543,801001,-634966,0
2013,6615760,16876,3086578,1558732,851291,-660854,109
2012,6472044,145767,3498109,1860834,969831,-667444,180
2011,5481558,72362,3773429,2141996,820957,-810476,133
2010,4934486,-459446,3905938,2006208,974662,-882838,99
2009,5198846,-523789,3308774,1910795,957317,-423392,81
2008,4714842,-75355,2000595,1133772,882112,83063,81
2007,3605247,216621,806427,403969,689668,287210,69
2006,3338375,60518,647178,316014,401368,70589,68
2023,3067639,122921,4142716,5240950,227909,1343046,7
2022,2788242,317794,4332329,5377171,240058,1296212,7
2021,3353737,1148023,749073,1422930,675941,1349798,5
2020,2459413,358259,530247,1025829,132724,628306,6
2019,1820396,385289,431184,962658,100152,631626,5
2018,1394918,326148,180931,948568,139754,907391,5
2017,1068173,200007,584667,981857,167383,564573,4
2016,837006,1421,935726,1233427,66865,364566,42
2015,814356,110739,952287,1237833,77600,363146,4
2014,699710,84173,1020563,1212756,60214,252407,3
2013,716922,88473,763747,821279,111161,168693,4
2012,655887,-34946,833698,922490,40341,129133,5
2011,842891,7511,1017957,1091221,90815,164079,6
2010,871424,5494,899387,1061938,82846,245397,5
2009,925319,10526,748727,815552,74535,141360,7
2008,784096,13096,801744,861131,71447,130834,6
2007,550718,24675,530259,601352,46644,117737,4
2006,413419,17724,89137,86482,71430,68775,40
2005,234755,-15116,107924,130105,28870,51051,4
2023,5636661,1003446,2486393,610993,5571463,3728297,7
2022,12396999,3011396,1902336,790924,4123008,3011596,5
2021,8874247,1715722,2629501,214088,4809921,2394508,1
2020,3993006,983885,1066013,223776,2076810,1234573,1
2019,2128297,830224,451660,79300,1121942,749582,1
2018,289370,122784,66226,60172,143289,137235,1
2017,206383,104892,8458,6334,51845,49721,1
2023,5363343,939111,2176699,62177,3869161,1754639,4
2022,5665961,1111306,2888868,848029,3176367,1135528,5
2021,5165593,690186,1313049,393775,2843237,1944222,5
2020,4369643,782054,536239,281716,2508559,2254036,4
2019,3674067,585133,775501,222777,2024706,1471982,4
2018,3572063,403606,1088703,140512,1835040,886849,3
2017,3005354,289084,1275752,136505,1622490,483243,3
2016,2926473,193919,1369175,59649,1503685,194159,3
2015,2948501,346377,457652,79497,1639216,1268241,3
2014,2485475,336033,306043,73236,1265212,1040905,3
2013,2321934,374770,158391,44585,1227298,1121512,3
2012,2228741,384178,189564,17066,1276361,1103863,2
2011,1785394,316506,173280,29815,863150,719685,2
2010,1293656,206129,148634,42703,609110,503179,2
2009,754175,124803,69990,17842,349199,297051,2
2008,587285,86664,106162,17971,260410,172247,1
2007,449775,38506,56401,16478,125506,85583,1
2006,172032,22800,17053,22182,64748,69877,1
2005,154758,46837,15920,0,62997,47077,3
2023,403411,6859,747496,142763,427522,-177211,3
2022,268649,-193408,531833,136661,211102,-184070,3
2021,549448,133760,247784,135032,252089,139337,3
2020,299578,45247,69925,13502,107000,50577,4
2019,277034,28636,9213,13520,25523,29830,3
2018,201555,18882,44073,0,63267,19194,3
2017,214045,50422,13191,0,87503,74312,2
2016,134363,23656,3582,0,27473,23891,2
2015,106264,8075,5595,0,31710,26115,2
2014,75478,17592,5888,0,23928,18040,2
2013,51597,772,4518,0,4966,448,2
2012,135,-524,14972,0,14648,-324,1
2023,0,0,5402,19059,0,13657,0
2022,0,-476,5402,19059,0,13657,0
2021,0,-476,4926,19059,0,14133,0
2020,0,-595,5883,19059,0,13176,0
2019,0,-357,5288,19059,0,13771,0
2018,0,-476,4931,19059,0,14128,0
2017,0,-100,4455,19059,0,14604,0
2016,0,-100,4355,19059,0,14704,0
2015,0,-2920,4255,19059,0,14804,0
2014,0,-1901,9355,19059,8020,17724,0
2013,0,-40,9355,19059,9921,19625,0
2012,0,-400,9355,19059,9961,19665,0
2011,0,-161,9355,19059,10361,20065,0
2010,653,-3078,9355,19059,10522,20226,0
2009,39502,12930,30811,19059,35056,23304,0
2008,35455,19326,18898,19059,10213,10374,0
2007,151317,-48789,37229,19059,9218,-8952,7
2006,297460,327,61239,59104,41972,39837,10
2005,332958,0,65013,80300,24223,39510,12
2023,310204,-78292,57863,681553,178901,802591,5
2022,327128,-55170,58296,725086,214093,880883,6
2021,210411,-175207,30672,783779,182947,936054,6
2020,329892,-82928,33375,833412,311223,1111260,6
2019,503280,17889,124796,880898,438086,1194188,7
2018,470805,28215,158813,934601,400511,1176299,7
2017,461799,4048,151865,843294,453283,1148084,7
2016,531782,51211,177557,888888,427356,1144036,7
2015,472417,32319,301075,812299,581601,1092825,9
2014,410291,3101,396787,780905,1219866,1060506,11
2013,400543,52676,188018,461423,784001,1057406,6
2012,441399,164216,111884,468459,648155,1004730,6
2011,388931,95331,46837,285997,601354,840514,6
2010,435560,162928,135398,265747,614835,745184,6
2009,453751,178571,226735,248243,560627,582256,7
2008,448426,193170,191403,256984,336247,403685,6
