Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,852609,143037,444648,271737,668726,391593,3
2022,722290,-45014,347304,153440,594630,248555,3
2021,738024,-51752,247207,42898,513228,293569,2
2020,692249,-165595,315276,89050,587086,345321,5
2019,1825657,189394,345842,137727,718287,510916,11
2018,1247708,10464,350039,66442,605119,321522,7
2017,1479269,175209,286123,75560,521621,311058,12
2016,1608035,236708,253253,17335,371767,135849,17
2015,1001917,-179707,460605,19914,339832,-100859,15
2014,2215192,72455,277494,29262,327079,78847,19
2013,680259,10684,177597,36764,143250,6393,10
2012,755500,8466,98647,39004,49052,-4291,11
2011,512403,67786,67983,32672,21754,-12757,7
2010,563020,-76194,557497,461813,15142,-80542,7
2009,514352,-108041,537421,525535,57438,45552,7
2008,589642,41974,521887,463633,211846,153592,10
2007,507248,75074,532020,467335,176304,111619,6
2006,110895,33163,59602,70541,25606,36545,1
2005,126765,65293,23604,6749,20236,3381,3
2023,373532904,1929252,59722651,1707897,86804827,24450977,"3,380"
2022,327071213,6674132,60953476,2125224,83256266,22521725,"3,426"
2021,282595829,8142895,46453653,445373,63900977,15847593,"3,330"
2020,186178653,4910066,41888571,415617,50986932,7704698,"3,249"
2019,101812691,1825955,21721117,532768,24763033,2794632,"1,157"
2018,56139528,1329,10366927,291572,11258762,968676,601
2017,69867388,344218,10365933,303063,11024731,967348,574
2016,81632627,1907833,8531084,554353,9982309,1992210,"1,293"
2015,77358622,13903,9161090,894157,9928007,704788,"1,195"
2014,63608771,512106,6671469,717949,8176068,1383344,988
2013,60937429,49546,5667278,699042,5893723,1075533,880
2012,51122016,43779,4921483,925584,4867078,1088161,831
2011,43859263,496998,3647830,406985,4457574,1400277,738
2010,40615175,468481,2741117,212534,3739976,1403279,807
2009,41397939,170228,2462978,392103,3118081,1234798,842
2008,60916441,982326,3158867,629370,3844077,1416222,"1,192"
2007,40100151,1763648,2729697,525054,4049457,1844814,914
2006,29527410,791136,1874030,455501,2140794,856249,627
2005,12713132,127983,1031724,249191,869159,193096,260
2023,7077055,1024626,556049,10149,1556182,1026110,0
2022,7337873,459580,1740650,21079,2111828,420903,120
2021,6603309,-40117,780936,52622,2409020,1699017,108
2020,10061539,786644,1585331,274698,3202090,1920188,133
2019,11394610,1300565,2340043,259164,3354287,1301965,163
2018,11867984,1283555,1587613,187459,3984441,2600994,198
2017,8241772,694750,1853976,183083,3216872,1569538,150
2016,5711913,861788,1106567,66544,1910000,874788,177
2015,4963812,261089,518039,83842,1074739,640873,201
2014,5052202,704341,463380,109809,1084524,730953,217
2013,3912705,866141,1043831,143721,926722,26612,170
2012,4043650,776104,2417483,489519,1088436,-839528,175
2011,3893953,-235434,3259183,529076,1114475,-1615632,154
2010,3594880,6193,2983029,489366,1113465,-1380198,130
2009,2285075,-999169,2333536,434553,512539,-1386444,131
2008,627053,-379600,532002,72017,72711,-387274,50
2007,116663,-9733,21530,2364,11492,-7674,4
2023,695364,87530,57445,1045,264162,211102,6
2022,801660,121172,71701,1830,189033,123572,7
2021,966604,258698,51314,317,840344,793677,0
2020,956296,186032,90901,2222,619329,534980,0
2019,766487,157911,90955,4127,458814,376316,6
2018,444371,54036,69756,0,285231,218405,4
2017,123309,37543,32132,0,196501,164369,1
2016,147753,51910,32662,0,158773,126826,1
2015,157902,34703,38027,0,112943,74916,4
2014,245529,86666,65435,6,105642,40213,2
2013,358323,86838,119972,1199,72319,-46454,5
2012,378637,73747,206503,6308,66903,-133292,4
2011,423979,-114870,268623,12126,49458,-207039,5
2010,271158,-85958,152431,15461,44801,-92169,5
2009,198951,11425,59693,21168,32314,-6211,2
2008,90879,-16185,63536,31687,14213,-17636,2
2007,752,-3451,7789,5514,824,-1451,1
2023,3151078,238732,521389,2711534,1297109,3487254,2
2022,6011575,370979,321102,2695451,1245152,3619501,35
2021,6171967,780010,494341,2467839,2055034,4028532,72
2020,6261959,422377,857829,2956540,1572188,3670899,97
2019,7805268,2192755,872833,3110268,1876811,4114246,123
2018,6702025,786750,1001652,1787957,1921936,2708241,129
2017,5294887,535057,1713647,1858092,2312103,2456548,129
2016,4542036,497204,615937,2141088,893544,2418695,139
2015,4442126,898408,781748,2199247,1402400,2819899,124
2014,4743713,855200,829316,2345460,1260547,2776691,133
2013,4602795,818664,470335,1428716,1550730,2509111,0
2012,5194698,738956,799722,1401718,1658451,2260447,117
2011,4454554,851444,384860,1207756,1294606,2117502,123
2010,3228794,562404,709572,1083935,1060416,1434779,95
2009,2099049,314589,823648,1188743,704538,1069633,69
2008,2854731,751736,858109,722533,882115,746539,108
2007,1529699,492663,636623,270843,629206,263426,66
2006,134247,88916,53828,2604,137464,86240,31
2023,934171,544179,69273,29266,598280,544539,1
2022,993529,449234,80205,42174,502364,449594,1
2021,1032361,526617,89555,58023,589173,526978,2
2020,895172,492159,56665,2996,679225,492520,2
2019,810495,197980,72820,11955,473015,198341,5
2018,740153,40523,97712,19838,331229,41022,7
2017,592881,131159,46226,33711,136023,134499,5
2016,503122,100284,80221,31406,133092,84341,5
2015,274076,-68679,124437,48447,59906,-15943,5
2014,215873,9276,110213,75342,86912,52735,4
2013,234222,-12822,24798,23507,44309,43460,4
2012,421345,55941,39038,40558,54762,56282,7
2011,277678,45775,47003,57609,20931,31537,7
2010,68480,-7040,76194,14572,47384,-14238,4
2023,22696154,477410,3415174,41581,4368490,941954,186
2022,20146293,445881,2475866,66360,2867093,464544,193
2021,16918986,446608,1321093,16828,2513285,1221185,186
2020,16542977,358698,1359014,2519,2220986,849577,237
2019,18360698,241395,1303130,838,2001002,699100,250
2018,17578066,278180,1320684,1629,2148713,833421,256
2017,18436371,352238,1278976,1846,2130527,854454,295
2016,17431797,321773,1351890,3396,2368051,1016705,296
2015,16578999,290018,1368854,2286,2135438,764932,285
2014,13928208,261855,1235151,4360,1879187,644926,271
2013,10360342,76887,995602,4308,1377743,383071,209
2012,9572955,195941,780718,0,1337742,552935,205
2011,9356482,213207,752423,0,1323281,568099,206
2010,9198764,170472,716018,0,1203767,487004,209
2009,8351764,197370,599490,0,1150899,548194,194
2008,10413507,462467,836406,217,1307843,468157,239
2007,6923432,325094,503870,0,834654,330784,194
2006,4519102,225780,501937,3785,735519,231470,125
2005,3318005,152619,175987,29376,347461,158309,92
2023,403563730,5929835,59754327,2443270,77361918,15492554,"3,961"
2022,372836639,1565186,69798715,2958745,84030953,12142550,"3,923"
2021,318762500,4185785,58166577,3599807,71136808,11208943,"4,217"
2020,277942975,2300213,62837187,1533867,72870222,7220229,"4,081"
2019,310343122,2898210,61469463,1182922,75454123,11651258,"4,975"
2018,321720362,3720296,71013869,1394209,82552493,10171898,"5,633"
2017,274343545,2337030,58102601,2470228,64794423,8220021,"5,357"
2016,238561704,2129185,52795434,707999,58849827,6679024,"5,194"
2015,165176968,2568118,41775745,632409,46151149,5013331,"4,009"
2014,93466403,796323,24353652,646934,26275709,2522475,"2,725"
2013,72655238,514290,16102508,782493,17011395,1726152,"1,485"
2012,58393313,896823,11928747,910215,12119785,1211863,"1,425"
2011,64587732,270935,16856020,1279466,15820455,315040,"1,698"
2010,53028527,993561,8458249,512866,8015055,44105,"1,713"
2009,25264909,-984757,7479734,1010737,5539296,-949456,703
2008,29164115,35061,4288700,1154155,3060101,35301,"1,091"
2007,21106174,37573,2193649,798396,1433066,37813,886
2006,16985739,14335,2683005,622129,2021007,14575,948
2005,13810926,332170,2190294,538540,1965060,332410,639
